🔴 Wakacje w Teyvacie | GENSHIN IMPACT Livestream #15
🔗 https://www.youtube.com/watch?v=9ILtuiAVQFI

4:  Cześć.
615:  Krzysztof, dzięki za przeczytanie dwa razy.
617:  Również witam po raz drugi.
618:  Dzisiaj szybko, moi drodzy, czytanie w takim razie.
620:  Od razu spieszymy do najwspanialszej i jedynej w swoim rodzaju Raiden Shogun.
625:  Zapytacie, w jakim dziwnym miejscu jesteśmy.
628:  No więc nie mam zielonego pojęcia.
629:  Moi drodzy, trafiłem do tego miejsca przez zupełny przypadek.
633:  Jesteśmy w lesie błogosławieństw.
637:  Kto by przypuszczał?
638:  To jest niestety czasowy region.
639:  Bardzo tego nie lubię i stwierdziłem, moi drodzy, że nie ma lepszego sposobu niż eksplorować czasowy region razem z wami.
646:  Miałem dzisiaj dwa wybory, jeżeli chodzi o dzień.
649:  Albo pójść do kina na film pod tytułem Twisters, ale potem zobaczyłem recenzję na gałęzi i zostałem zniechęcony do pójścia na film pod tytułem Twisters.
657:  Albo streamować wieczorem.
658:  W związku z powyższym stanęło na streamowaniu.
660:  Mam nadzieję, że jesteście zadowoleni.
662:  Prawda, że jest ładny region.
663:  Co więcej, moi drodzy, znalazłem tutaj alpakę.
668:  Nie mam źlego pojęcia, dlaczego tu jest alpaka z origami, ale są tutaj stworzenia z origami.
690:  Chyba tu trzeba rymować.
693:  A nie, nie trzeba rymować.
699:  Jezus Mary... Co tu się dzieje?
702:  Dlaczego?
703:  Dlaczego ta alpaka się wydłuża?
709:  Nie mam pojęcia, co tu się dzieje.
713:  To jest strasznie dziwne.
714:  Chyba chce... Już wiem, co trzeba zrobić.
717:  Ona chce widzieć to królestwo, mówię wam.
721:  O!
723:  Musi się ukłonić.
725:  Co?!
730:  Przecież to nie ma żadnego sensu.
733:  Dlaczego ta alpaka wydłuża szyję jak żyrafa?
739:  Ewidentnie, zobaczcie, ona wydłuża szyję tylko w jednym momencie.
742:  Teraz nie wydłuża szyi.
745:  Ona wydłuża szyję w określonym momencie.
758:  To się fantastycznie zaczęło.
761:  Fantastycznie po prostu.
763:  Ja myślałem, że to jest... Ja myślałem, że to jest... Wydłuża, jak odchodzisz od niej.
767:  Im dalej ciągniesz, tym dłuższa szyja.
769:  A ja teraz... Aha, w ten sposób.
775:  Jezus Maria!
777:  Dlaczego ja się w to wkopałem?
781:  Okej.
783:  Okej.
785:  Zadziałało?
787:  Co się dzieje?
790:  Nic nie rozumiem, ale dostałem skrzynkę.
794:  Jak się ciągniesz, to bardziej wydłuża, pisze fajny Robert.
796:  Widzicie?
798:  Widzicie?
798:  No właśnie.
800:  O, proszę bardzo, jest rzecz, którą ja rozpoznaję.
804:  Ona ci mówi, gdzie ma się ukłonić, bo to poeta i pisze wiersze.
808:  Wisze pierwsze.
810:  10 primo, let's go!
811:  Jeszcze tylko 10 826 primo dżemów, żeby mieć pyroarchątkę.
816:  Nie oszukujmy się, po to tutaj jesteśmy.
821:  Dobrze, co tutaj się będzie działo?
822:  Okej, to rozpoznaję.
824:  Boże, potrzebowałem, moi drodzy, takie cozy gierki już od dłuższego czasu.
828:  Bardzo potrzebowałem.
829:  Widziałbym Krzysztof, który był maltretowany przez Elden Ringa.
833:  Bardzo mi się podoba ta mechanika, która została wprowadzona, a mianowicie mechanika dalekiego skoku.
838:  Lubię daleko skakać.
839:  Au!
840:  Au!
841:  Au!
842:  Nie udało się.
843:  Niedobrze.
846:  Na szczęście, mimo że jest timer, mamy dużo czasu.
850:  Dziękuję.
852:  Małgorzata Musierowicz?
853:  Znam książkę Pulpecja Whippy i w zasadzie wszystkie inne kojarzę.
860:  Czy dostałem 1600 primordzemów?
862:  Dostałem.
863:  O co chodzi z Nivletem?
864:  Bo on jest czasem nerfiony, a czasem nie jest nerfiony, ja już nie rozumiem o co chodzi.
868:  W ogóle do Genshin'a zawitała ciekawa mechanika, mianowicie teraz mamy coś takiego jak long term encounter points, jak wykonujemy zadania i można potem odbierać z tego co rozumiem nagrody za kolejne dni.
879:  Bardzo dobra sprawa.
881:  Czy słyszałeś o Quo Vadis Miecz Miłości?
885:  Niestety tak.
887:  Niestety tak, moi drodzy.
888:  Jest to strasznie złe.
892:  Myślę, że możemy sobie zrobić tutaj questy.
894:  Tak będzie dobrze.
894:  Jak drzmi jadzionek?
896:  Moi drodzy, problem polega na tym, że ja generalnie rzecz biorąc poszukuję weny.
900:  Mam nadzieję, że dzisiaj znajdę i dzięki temu będę mógł w mój właściwy dzień, to znaczy w nocy, zacząć pisać tekst, który potrzebuję pisać.
907:  Oho, oho, usłyszałem dźwięk.
909:  Usłyszałem dźwięk.
911:  Neurony aktywowane.
913:  To jest dźwięk elektrokulusa.
916:  Co zmienili w Nevelecie, że dali 1600 primogemu?
918:  Z tego co rozumiem, nic nie rozumiem, to znaczy informacja była, że miał być tam jakiś, jakieś było issue z Neveletem, że jeżeli się obracało nim bardzo szybko, to wtedy w jednym z tych obrażeń zadawał, uerwady, no i znerfili to, a potem powiedzieli, że story jednak nie nerfią.
937:  Dostaliśmy za to 10 puli.
939:  Proszę uprzejmie...
941:  Nie mam problemu z tym faktem.
943:  Tak, czyli dobrze rozumiem, że znerfili 360-stopniowe kręcenie, a potem przywrócili to.
949:  Rebeat!
950:  Rebeat!
951:  Rebeat!
952:  Rebeat!
953:  Co to jest?
963:  Zapomniałem, że nie jestem w Fontaine.
965:  Dostali pozy w Chinach za to?
967:  Naprawdę?
969:  Naprawdę.
971:  Świadomo, jak już będziemy mieć broń Pyroarkątka, jak znam życie albo dzidę, albo miecz, na pewno nie będzie katalistem, ponieważ katalistów należy prześladować.
980:  No i ja jeszcze płynąłem do żaby, która mówi ribbit i nic z tego nie wyszło.
984:  A mnie to rozbawiło.
984:  Ribbit, ribbit, ribbit.
986:  Dlaczego żaba mówi rzeczywiście ribbit po angielsku?
989:  To jest niemożliwe.
991:  No więc dobrze, tutaj chyba jest to, co aktywowało moje neurony.
995:  Fontana najlepsze.
996:  Kłamstwo.
997:  Inazuma najlepsza.
999:  Są plotki, że to będzie Claymore.
1000:  Nie no, błagam, tylko nie Claymore.
1003:  Najgorsza broń w tej grze.
1004:  Claymore jest źle zaprojektowany, nie uważacie?
1010:  To znaczy, niemiło się nim gra.
1012:  O, to mam na myśli.
1014:  Claymore to powinno być łup, łupnięcie wielkie.
1018:  I po łupnięciu... Ach, to jest prościej niż myślałem.
1021:  I po łupnięciu wszystko ginie.
1023:  Wtedy Claymore byłby sympatyczny.
1028:  Poszukiwania weny, żeby pisać w nocy, pisze Mundays, i również u niego odchodzą.
1032:  No właśnie.
1033:  Ripbeat to powszechna onomatopeja w języku angielskim.
1036:  Pierwszy raz ją słyszę.
1037:  Mnie Elden Ring przekonał do Claymore'a.
1039:  No tak, tak, bo w Soulsach akurat Claymory działały super.
1043:  Natomiast tutaj Claymory to jest takie obracanie dziwne.
1046:  Okej.
1049:  No więc jestem.
1051:  Dzień dobry.
1052:  Dzień dobry.
1053:  Dzień dobry.
1057:  Czy ja mam dzisiaj... Dlaczego dzisiaj mnie maltretują?
1063:  Czytałem coś z 4.
1064:  Gurtkinda?
1064:  Jeszcze nie.
1066:  Jestem ewidentnie w miejscu, w którym miałem być.
1072:  Muszę z żabą?
1075:  Aha.
1077:  A już wiem o co chodzi.
1078:  Już wiem o co chodzi.
1080:  Już wiem o co chodzi.
1081:  Już wiem o co chodzi.
1082:  Już wiem o co chodzi.
1083:  Już wiem o co chodzi.
1084:  Już wiem o co chodzi.
1087:  Głupia żaba, doskocz dalej!
1090:  Durna żaba!
1094:  Durny płaz!
1096:  Wstrętny, głupi, odrażający płaz!
1100:  Dobrze.
1102:  Skandal absolutny, że z kim ja pracuję?
1105:  To jest jakiś dramat absolutny.
1107:  Dobrze, jest żaba.
1109:  Dlaczego w tym świecie skacza się żabami?
1111:  Czy ktoś wie, dlaczego jesteśmy w świecie, w którym origami żyje?
1120:  Rozwala mnie ta muzyka.
1122:  To jest taka muzyka, jaka jest w każdej sali do lekcji muzyki, kiedy wszyscy zaczynają grać na raz na flecie.
1129:  Mnie gumming przekonał do Claymore'a, ale tylko on, żadna inna postać.
1132:  O nie, wymówiłem to gumming zamiast gaming.
1139:  Nie, to nie jest zabawna gra.
1140:  Będziemy się przeklikać przez te dialogi, ponieważ nie ma voice actingu, a mi hojo stać na to, żeby zrobić voice acting.
1145:  A wiecie, dlaczego teraz można się przeklikać przez dialogi?
1148:  Ponieważ jest coś, czego nie ma!
1150:  Nimo!
1152:  Nimo, Weldenling!
1154:  Nimo!
1155:  FromSoft be like, oh, I'm, I'm too weak.
1160:  Grać musi zapamiętywać kasztu, linijkę dialogową, meanwhile gra mobilna.
1166:  Easy.
1167:  Proszę.
1167:  Zrobione.
1168:  Po trzy lata tylko czekaliśmy.
1174:  Jezus, matko.
1176:  To jest ta muzyka, która gra na naszych streamach, jak się coś głupiego dzieje.
1179:  Nie, nie, nie, to jest inna muzyka, moi drodzy.
1181:  To jest inna muzyka.
1183:  To jest to.
1186:  I też pasuje.
1188:  100% pasuje.
1189:  No przecież, a nie?
1191:  100%.
1191:  To jest dokładnie to.
1193:  Możemy cały czas słuchać tej muzyki, nikt się nie zorientuje, że to jest co innego.
1199:  Widzicie?
1203:  Michojo brał udział w finansowaniu reaktora?
1206:  Jezus, jakiego reaktora?
1207:  Jądrowego?
1210:  Nie Krzysztof, penisoidalnego.
1212:  Czy czytamy Hyperion Dona Simonsa?
1213:  Tak i kolejne tomy również.
1216:  To jest Hyperion, Upadek Hyperiona, Endymion i Triumf Endymiona.
1219:  Nawet pamiętam.
1220:  Ale wiecie czego nie pamiętam?
1222:  Treści.
1225:  Muzyka się wyłączyła, a zatem... To jest genialne.
1232:  Ja teraz mogę puszczać dowolne rzeczy i będzie idealne i zgodne to z lore gry, zgodne z tym co widzimy na ekranie.
1239:  Rewelacja absolutna.
1244:  Jedno mnie ciekawi, mianowicie dlaczego papierowe żaby są w wodnym terytorium?
1248:  Nie uważacie, że to by sprawiło, że rzeczone żaby zaczęłyby tonąć i się rozpuszczać?
1254:  Wydaje mi się, że tak.
1258:  Okej.
1261:  Reaktor fuzyjny Mikoyo robiło.
1264:  No proszę bardzo.
1265:  Okej, już wiem, co należy zrobić.
1266:  Należy uratować tamtą żabę.
1271:  Przed pewną zgubą, to znaczy przed zatonięciem mówiłem, że tak będzie.
1276:  Let's do it!
1287:  Proszę bardzo, mistrzostwo.
1292:  To jest najpiękniejsze, że włączyła się muzyka, nic to nie zmieniło.
1302:  Czy papierowy statek to nie... O!
1304:  Ktoś pytał o Musierowicz.
1305:  Pieniądz nie umie pływać.
1307:  Głupi pieniądz, bo to nie.
1314:  To było chyba pulpecja.
1317:  Tak mi się przynajmniej wydaje.
1326:  Na co zbierane jest archontka pyro?
1329:  Czy czekam na grę z Potterem o Quidditchu?
1331:  Nie.
1331:  To jest sport.
1333:  Ja nie czekam na gry sportowe.
1335:  Quidditch powinien być częścią Hogwarts Legacy.
1337:  Change my mind.
1339:  To było absolutnie logiczne.
1347:  Miło się ogląda te żaby.
1348:  To prawda.
1349:  Ja generalnie jestem bardzo po stronie tych lokacji okolicznościowych, ale żałuję, że one nie zostają w grze, bo mają pewien urok.
1357:  Melanfa pisze, że pytała o Hyperiona, bo zamierza spróbować jako nie fan science fiction.
1360:  Ej, ej, ej, a może zabierzesz się jako nie fanka science fiction za coś, co jest, że tak powiem, more approachable po polsku?
1367:  Bo Hyperion jest napisany dość ciężkim językiem.
1370:  Dan Simmons generalnie ma ciężkie pióro.
1372:  Nie znaczy, że to nie jest dobre, ale to nie jest taka lektura wakacyjna, powiedziałbym.
1377:  Jeżeli szukasz czegoś
1379:  Co jest dobrym wejściem w science fiction, to prędzej bym polecał Leviathana, czyli tą pierwszą część serii, którą znacie bardzo dobrze z serialu science fiction pod tytułem... Jaki to był tytuł?
1396:  Nie pamiętam.
1398:  Dlaczego nie pamiętam tytułu serialu, który mi się tak strasznie podobał?
1403:  Tam była taka genialna muzyka na wstępie.
1406:  Ekspans, dziękuję Karo.
1408:  Ja nie wiem, co ja bym bez was zrobił.
1409:  Ekspans ma niesamowitą muzykę na samym początku.
1413:  Ja wam tylko dam w tym momencie link do tego.
1416:  Będziecie zachwyconymi ludźmi.
1424:  Spojrzałem tylko w to i uruchomiły mi się wspomnienia.
1426:  Ekspansja jest rewelacyjna, absolutnie.
1429:  Spodoba się Melanfa, spodoba się.
1432:  Ja z Science Fiction zacząłem od Dune'y.
1434:  To zacząłeś od fantasy.
1436:  To jest zabawne, bo Dune'a jest i trochę tym i tym.
1440:  Czy odpowiedzieli ci lektorzy na temat tego, dlaczego czytałem jak Piotr Pokraśko?
1444:  Nie.
1446:  Wiedziałem, że nie będzie odpowiedzi.
1449:  Kontrowersje związane z tym trailerem Natlan.
1451:  Ja te kontrowersje rozpocząłem, Reptilian, żartuję.
1454:  Nie, tak naprawdę to jestem absolutnie zgodny z tym, że ten trailer to jest katastrofa i że się zapowiada raczej niedobrze ten region.
1461:  Ja się nie spodziewałem kontentu wakacyjnego.
1464:  To, co teraz mamy, to jest kontent wakacyjny.
1466:  Żaby skaczące, które wyglądają jak origami, ale ja nie chcę mieć takich żab, które są origamimi w grze obok Raiden Shogun mojej.
1475:  W jaki sposób podejść do osoby, do której muszę przekazać, że nie jest już częścią zespołu?
1478:  Ło, ciężka sprawa, Karo, ciężka sprawa, ale ja myślę, że trzeba iść od razu wprost, nie?
1483:  To znaczy nie ma co obwijać w bawełnę, ponieważ szkoda jest rozczarować człowieka jakimś bullshit talkiem na samym początku, że o, ho, ho, że porozmawiajmy sobie o tam czymś, a fajnie sobie pracowałeś ostatnimi czasy.
1494:  Nie, no zacząć od razu i podać racjonalne argumenty, wiesz?
1498:  Skupić się na konkretach, bo to i tak zostanie potraktowane emocjonalnie, w związku z powyższym
1503:  Ważne jest tylko to, żeby to zrobić z szacunkiem i możliwie empatycznie, natomiast nie za bardzo wiesz słodzić, bo słodzenie w takiej sytuacji nic nie zmieni moim zdaniem.
1511:  Trzeba postawić na konkrety.
1512:  Ja zawsze byłem zwolennikiem tego, że należy w pracy rozmawiać szorstko, a potem pójść na piwo razem.
1518:  I na przykład, nie wiem, dać jakieś rady dotyczące szukania, czy pomóc w szukaniu nowej pracy, albo dać jakieś fajne referencje, cokolwiek, żeby podkreślić to, że sympatia nie równa się w szorstkiej ocenie kwalifikacji.
1534:  Były kontrowersje w trailerze dotyczące koloru skóry postaci.
1537:  A to!
1537:  A to ja w te kontrowersje się nie wikływałem, ponieważ mnie jest to jeszcze serdecznie obojętne.
1542:  Ja chcę, żeby był dobry gameplay i chcę, żeby Archontka była potężną maginią ognia, a nie jakimś popychadłem.
1548:  I cimci-rimci.
1550:  Nie chcę, żeby to było cimci-rimci.
1554:  Z cześć do dna ekipa.
1555:  Spalmy to, otworzyła nowy kanał, będę robić sesję z Pathfinder.
1557:  A jak się nazywa ten kanał, to byśmy od razu polecili na live'ie.
1565:  Dla onej strony pisze, że w Natlan wszyscy wyglądają jak turyście nierdzenni mieszkańcy.
1568:  Ja w ogóle nie wiem nic o Natlan, nie?
1569:  Na początku nie podoba mi się to, że to jest taki turystyczny hub, ale myślę, że Michał w tym momencie nas bejtuje i że poza tym turystycznym hubem będzie jeszcze coś więcej.
1577:  Ten dialog się nigdy nie kończy, a wiecie co jest wspaniałe?
1579:  Mogę sobie podejrzeć i zobaczyć, czy tutaj było coś istotnego.
1582:  Absolutnie nie było tutaj nic istotnego.
1585:  Widzicie, to jest genialne, bo dzięki temu można przeklikawczy się sprawdzić, czy jest coś interesującego.
1590:  Oczywiście w idealnym świecie mielibyśmy dobrze napisane dialogi, ale nie oszukujmy się, nie żyjemy w świecie idealnym.
1599:  Dobrze.
1599:  Twój komentarz, Krzysztof, o Zdychającym Bralczyku był bardzo nieładny.
1602:  Nie, ja powiedziałem tylko... Ja powiedziałem, że skoro Jerzy Bralczyk nie widzi różnicy między umierającym psem a zdychającym psem, to na nekrologu Jerzego Bralczyka, ja teraz to powtórzę, żeby się nagrało, otóż na nekrologu Jerzego Bralczyka powinno być napisane profesor Jerzy Bralczyk zdechł i tutaj data, dnia takiego, takiego.
1620:  Absolutnie ten zrobił. 100%.
1624:  Byłbym nawet skłonny zrobić taki performance artystyczny, ponieważ jeżeli ktoś nie jest wrażliwy i nie rozumie, czym jest empatia, należy mu pokazać, jak to jest być ocenianym według tej samej monety.
1639:  Ja jestem strasznie cięty na ludzi, którzy w Polsce, gdzie mamy naprawdę problem z treningiem empatii, nie są empatyczni, a jeżeli są jeszcze naukowcami, robią coś takiego w przestrzeni publicznej, to nie ma litości.
1655:  Czy fantastyka to nie jest taki ponadgatunek, w którym można zasadzić każdy gatunek?
1658:  A Łukasz G., absolutnie mówisz to, co mówią autorzy najważniejszej encyklopedii science fiction, czyli m.in.
1665:  John Clatt, pisze się go clute, mianowicie jest fantastyka, to jest fantasy plus science fiction plus horror.
1670:  Absolutnie tak jest.
1671:  Żeby było śmieszniej, to polskie słowo spodobało się na tyle Anglikom, że utworzyli słowo fantastyka, pisane przez T. I. G.
1679:  K oraz A, autentycznie Fantastica, bo jako właśnie taki ombre laterem to się sprawdzało lepiej, gdyż albowiem język angielski takiego pojęcia parasola nie miał.
1689:  Po prostu mówiło się o fantasy, science fiction, horrorze, natomiast nie było takiego pojęcia ogólnego, a w językach słowiańskich, w tym polskim jest.
1698:  Jest nowy kanał.
1699:  Gramy sobie RPG, moi drodzy.
1701:  Ej, to ja od razu polecę ten kanał, bo wiem, że z Palmy to było popularne.
1706:  Proszę bardzo, gramy sobie.
1709:  Bardzo sympatycznie.
1710:  I widzę, że już jest jakaś jedna rozgrywka.
1712:  Trzy typy rozgrywki w Pathfinderze.
1715:  Na wszelki wypadek przyciszę, bo nigdy nie wiem, czy ja nie mam do tego praw licencyjnych, czy... Proszę bardzo, zaczyna się od radosnej animacji.
1723:  Dobrze, moi drodzy.
1724:  Więc nowy kanał.
1725:  Radek Pisula, znany z napisów końcowych oraz z palmy.
1728:  To i Oskar Rogowski, zakładam, również.
1733:  Dlaczego nie używasz furiny do chodzenia po wodzie?
1734:  Dlaczego?
1735:  Dobre pytanie.
1736:  Ona po prostu nie jest w drużynie Raiden Shogun.
1740:  To dlatego.
1742:  Jeszcze jest polecany kanał Radosny Grajek.
1744:  Super analizy stare gier robi.
1745:  O, proszę bardzo.
1746:  Polecaj kanałów zawsze mile widziane.
1749:  Zwłaszcza, że ja jestem bardzo, ale to bardzo, moi drodzy, nie w temacie polskiego YouTube'a, niestety.
1754:  Szanuję za miniatury.
1756:  Zawsze szanuję za miniatury ludzi, którzy robią cokolwiek nietypowego.
1764:  Zawsze już te historie postaci robili to dwa razy w tym samym uniwersum.
1768:  Ani w HSR, ani w Gęślinie spodziewałbym się śmierci Pyro Archontki.
1771:  A chodzi ci o to, że są spekulacje dotyczące tego, jakim mieczem będzie się posługiwać na podstawie uniwersum.
1777:  Okej, rozumiem.
1780:  Ja myślę, że Pyro Archontka będzie miała włócznie.
1784:  Albo, to byłoby lepsze, gdyby miała broń typu Navia, prawda?
1788:  To znaczy, jest broń archetypowa, ale ma inny wygląd.
1791:  To byłoby radosne.
1794:  Po trailerze Natlan to będzie taka meksykańska Afryka.
1797:  Ja bym się cieszył, gdyby wątki mezoamerykańskie były, ponieważ moi drodzy w Mezoameryce żyli kiedyś Majowie!
1803:  Aaa!
1806:  Radość!
1807:  Słońce, możliwość, radość.
1808:  A ten pisze, że nie spodziewał się, że będę grał w tę grę.
1811:  To jest któryś odcinek.
1812:  Nie wiem, który, bo to wy macie napisane, który.
1814:  Na streamie chyba z 15?
1816:  Coś takiego.
1817:  Polecił mi jakiś kanał polecanie Krzysztofa na jego sim jest bez sensu.
1820:  Nieprawda.
1821:  Absolutnie nieprawda.
1822:  Proszę, proszę, proszę, proszę.
1828:  Nie ma problemu.
1830:  Mizonabim, moi drodzy, to się ładnie nazywa w teorii narracji, czyli coś w czymś.
1834:  Narracja szkatułkowa.
1836:  Czasem niektórzy mówią na to incepcja, mając na myśli to, że wiecie, dream within a dream.
1841:  I na to wszyscy, którzy znają zjawisko rekurencji, robią coś takiego.
1847:  To jest rekurencja.
1852:  O, a Stetsinkowie też byli... Tak, ale Majowie ważniejsi, Serenoks.
1856:  Majowie ważniejsi z ludów Mezoameryki.
1859:  Według teorii Slejmu mogły być dwie archątki.
1860:  Jeszcze lepiej.
1862:  Jeżeli dwie archątki to... O, proszę bardzo.
1864:  Ładny widok z góry na całość tego dziwnego miejsca.
1868:  Zobaczymy, czy warto wrócić do Gnęśnianów, bo w serwisie pisze Szauniewi.
1871:  To jest, wiecie, tak jak się rozkręcałem przy eksploracji i robieniu sobie jakiegoś World Questu, nieważne, ale potem sobie zrobimy, tak jak obiecałem, Archon Quest, który mam specjalnie zachomikowany na stream.
1883:  I dziękuję Ci, Szaweł, za wsparcie od 8 miesięcy.
1885:  Wiadomo jeszcze, że w Natlanie będzie wulkan, a wiecie, co jest piękne?
1888:  Nie słyszymy, co mówi Paimon i to jest wspaniałe.
1891:  Joanna Maśniewicz pisze, że ten stream ja za streamkami z Gnęśnianów.
1893:  No widzicie, że Steam Kids Gęśnina mają tę przyjemną wartość, że można sobie pogawędzić spokojnie, radośnie, poeksplorować świat.
1901:  Zawsze wam mówiłem, że Gęśnica jest grą eksploracyjną i absolutnie to podtrzymuję.
1906:  Eksploracyjną w drugiej kolejności, wbrew pozorom, bardzo dobry jest gameplay.
1912:  Zwłaszcza ten już bardziej, no nazwijmy to, endgame'owy gameplay w Abyssie lubię.
1919:  I na samym końcu fabuła z uwagi na to, jaka jest fabuła główna gry, bo niestety fabuła, jeżeli chodzi o poszczególne postaci, jest słaba, z drobnymi wyjątkami, ale najgorsze są te momenty, kiedy nie ma voice actingu.
1943:  Dobrze.
1945:  Nie mam pojęcia, co zrobiłem.
1946:  Pa, Genshi to jest comfort game, absolutnie się zgadzam.
1950:  Ja nie lubię tylko bardzo tego, że gra wymusza regularne logowanie, więc ta mechanika tutaj, ta wprowadzona, wiecie, o co mi chodzi, mianowicie, że zbieram sobie punkciki na zaś, no to to jest wszystko, czego ja potrzebowałem.
1963:  Nie potrzebuję nic więcej.
1964:  Robiłem teatr, czy robimy sobie na streamie?
1967:  Możemy sobie zrobić też na streamie.
1969:  Czemu by nie?
1969:  Robiłem już go w prawdzie, ale to jest akurat content, który można chyba robić wiele razy, nie?
1973:  Tak mi się wydaje.
1974:  Nie wiem.
1974:  Tak, nie, nie wiem.
1976:  A bitter pill to swallow.
1979:  Zapomniałem, czym się to robiło, chyba tak.
1983:  Niezagodanym wszystkim postacią oprócz Paimon.
1986:  Proszę bardzo, Lonny Sonny.
1987:  Podoba mi się to, co mówisz.
1993:  Questy są długie i nudne, wręcz nie pisze Adrian.
1995:  Bywają nudne, dlatego, na drugie mówię, wszyscy się przeklikują przez dialogi, dlatego to jest genialne.
2000:  To jest, widzicie, esencja user experience.
2003:  Zaobserwowano, że ludzie się przeklikują przez dialogi?
2006:  Zaobserwowano.
2007:  Nie chcą wprowadzić innowacji w postaci voice actingu?
2010:  Nie chcą z jakiegoś powodu.
2011:  Prawdopodobnie oszczędzają, ale wprowadzają, proszę bardzo, log dialogów, czyli coś, co powinno być absolutnie w każdej grze FromSoftu.
2021:  Tak jest Raymester, była aktualizacja, nie trzeba tak zbierać codziennie, więc ja nie potrzebuję nic więcej.
2037:  Rozwala mnie ta muzyka.
2040:  Jezus.
2040:  Krzysztof musi zagrać dwie najnowsze części Legend of Zelda.
2044:  Wiem, ale to jest na tym... Jezu, jak to się nazywa?
2047:  Na Switchu, Nintendo Switch.
2050:  Trzeba przyznać, że grę rozwijają.
2051:  Tak, oczywiście, dlatego w ogóle uważam, że jeżeli by się robiło recenzję gęśnienia na przykład, to by można było dopiero to zrobić na samym końcu.
2060:  Gdyby ktoś zrobił rap, bitwę, pajmąc za Treusem, to byłby to najbardziej wkurwiający film na YouTubie.
2069:  Znaczy, na wszelki wypadek, gdyby ktoś nie znał kontekstu, no to oczywiście chodzi, moi drodzy, o epic rap battles of history.
2076:  Ja kocham absolutnie.
2078:  Uwielbiam.
2079:  Mam swoje ulubione.
2080:  Oczywiście one nie będą się wyświetlały.
2082:  Popularne.
2083:  Proszę bardzo.
2084:  Raz Putin versus Stalin.
2085:  Od razu widać, w co klikam.
2088:  Steven Spielberg vs Alfred Hitchcock.
2090:  Eastern Philosophers vs Western Philosophers.
2093:  Chyba najlepsi moi ulubieni.
2095:  Ale mam zaległości.
2096:  Rany boskie.
2097:  Rany boskie.
2103:  90 milionów dolarów globalnie miesięcznie zarabia Genshin.
2105:  Niech wyciągną wnioski inne firmy.
2107:  Każda firma jest w stanie zrobić taką grę jak Genshin i zrobić jakąś innowację.
2112:  Będę cały czas uważał, że groznawstwo mówi nam jedno.
2115:  Każdy jest w stanie wprowadzić jakąś mechanikę, którą ktoś się może zainspirować i każdy jest w stanie rozwinąć nawet najlepszą grę o mechaniki z innej gry.
2125:  Czy mam opinię na temat ostatniej kontrowersji dotyczącej koloru skóry w postaci nowego regionu?
2128:  Kolejna osoba pyta, ale w ogóle to mnie dominęło kompletnie.
2132:  Skipować dialogu dalej nie można, co nie?
2134:  No możesz, bo teraz dostałeś log dialogów, nie?
2136:  Więc możesz sobie skipnąć wszystko.
2137:  Czy teoretycznie nie ma jednej rzeczy i wam powiem zaraz dlaczego.
2140:  Mianowicie nie ma skipnij wszystkie z tego względu, że Michał chce, żebyśmy byli jak najdłużej w grze.
2147:  Na tym rzecz polega.
2148:  Czy warto tu się dogęślać?
2149:  Ja myślę, że teraz tak.
2150:  Jak jest jakaś nowa rzecz do eksploracji, to zawsze warto.
