Ród Smoka odc. 4 | Omawiamy Sezon 2
🔗 https://www.youtube.com/watch?v=lGTyj0MYkS8
KMM (Krzysztof M. Maj)
GW (Grzegorz Wątroba, Okiem Deva)
TN (Tomasz Nowakowski, Ubieram Się na Czarno)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

17:  BFP - Taniec smoków już naprawdę się zaczął.
747:  BFP - Więc generalnie twoje zarzuty, których ja nie podzielałem do tej pory, zostały potwierdzone przez osobę, która się tym zajmuje zawodowo.
754:  BFP - Ale przeczytam jeszcze komentarz trola niekulturalnego, gdy Renis nakazała swojej smoczycy Mleis zaatakować ponownie.
763:  BFP - Po tym jak młody zjeb, nie będę tutaj cenzurował, spadł z rowerka, popłakałem się, bo wiedziałem jak to się skończy.
770:  BFP - No była to wspaniała scena, ale delektujmy się eskalując i budując crescendo, to jest masło maślane, więc tworząc crescendo i stopniowo zmierzając do tego, co faktycznie jest apogeą w tym odcinku.
784:  BFP - Zacznijmy od Geralta, który przechadza się po hala Harrenhal.
787:  BFP - Ja po prostu nie wierzę, jak bardzo Matt Smith nadaje się na Geralta.
793:  BFP - Jakby ten gościu jest...
795:  GW - Nawet nie na Geralta, po prostu na jakiegoś Wiedźmina.
797:  GW - Ja bym mu dał po prostu jakiś side story w świecie wiedźmińskim i tyle, i byłbym z tego satysfakcjonowany.
803:  KMM - No tak, bo jak na Geralta, to byłby Geralt na diecie 1300.
806:  KMM - Tak.
808:  BFP - A Millie Alcock nadaje się Annie Milcock... Nie, ja zawsze... Co ty masz z tą Annie Milcock?
817:  KMM - Millie Alcock... Prosto Filip jest myślami w Empire of Milfgaard i dlatego.
823:  BFP - Byłaby całkiem niezłą Ciri.
826:  BFP - Przepraszam, ale zatrzymałem się na tej twarzy, która moim zdaniem wiele wyraża.
830:  KMM - No to jest prawda, swoją drogą.
832:  KMM - Bardzo się cieszę, że wracają aktorki, które zostały wymiecione z tego serialu.
837:  KMM - I bardzo się cieszę, że to robią, chociaż w dalszym ciągu uważam, że jest znaczące zauważcie, myślę sobie, że dopiero na poziomie tego trzeciego, czwartego odcinka ten nowy cast zaczyna sobie nas zjednywać.
849:  KMM - Mnie na przykład zjedna absolutnie w tym odcinku
852:  KMM - No nie tyle Damon, co właśnie Eymont i to jest dla mnie bardzo zaskakujące, bo do tej pory był dla mnie mlasgrawy.
858:  GW - Tomaszu, mam jedno pytanie, właśnie jak jesteśmy przy tej scenie, bo tam jest szereg różnych szeptów i głosów i się zastanawiam, bo cały czas mi nie pasuje audio jednego tekstu, zanim Damon widzi młodą Rejnyrę.
874:  BFP - Ale to jest efekt snu, tak mi się wydaje, że on ma problem z...
878:  GW - Bo tam jest ileś różnych tekstów i on tutaj idąc pojawia się, jak jest z góry, to wtedy jest jakiś taki szept kobiecy, ale nie dziewczęcy.
888:  GW - I czy, nie wiem, jesteś w stanie dogrzebać się do tego, kto to mówi?
892:  TN - Sprawdzałem to, szukałem tego, ale no niestety nie wiadomo.
895:  GW - Bo to nie jest, bo to nie jest młoda Reinera, tylko to jest ktoś inny.
898:  GW - Być może to jest ta wiedźma z Harrenhal, ale... No ja właśnie tak na to stoję, że to jest tak, że to jest ona.
904:  KMM - No i druga kwestia jest jeszcze taka, że przecież Damon śpi na łożu z czar drzewa.
911:  KMM - wykonanym, bo Haren czarny, jeśli mnie pamięć nie myli, ściął czar drzewo.
915:  KMM - No i potem zostało to wykorzystane właśnie do tego między innymi, żeby ubeblować spustoszony Haren Hall, więc wydaje mi się, że to jest właśnie ten moment, w którym wreszcie w serialu zaczyna być kanalizowana magia, no bo to jest ta najstarsza forma magii, która jest w Westeros.
931:  BFP - Napisał Agnieszka Królik, że sceny z Daemonem niestety najdudniejsze w całym odcinku.
937:  BFP - Ja tego też nie podzielam, tym bardziej, że zostaje wprowadzony ten element magii i nadnaturalny, którego wcale poza smokami, które są czymś oczywistym w tym świecie, nie było to specjalnie eksponowane w tym serialu.
952:  BFP - Ale Tomek, ty powiedziałeś, zanim zaczęliśmy, że ciebie znudziły te sceny.
955:  TN - Tak, ja troszeczkę podzielam to zdanie tej użytkowniczki, która napisała, że właśnie ten wątek Damona jest troszeczkę nudny, bo moim zdaniem te sceny, które widzimy w tym odcinku, nie wnoszą dużo więcej niż te, które widzieliśmy w poprzednim odcinku, bo tutaj ponownie widzimy Ali... Millie Alcock na tronie, tak, młodym Ramiro?
978:  S01 - Ej, sudało mi się!
980:  TN - Zainfekowałem twój mózg.
982:  TN - Tak.
985:  TN - Widzimy ją na tronie i ponownie widzimy te same wątpliwości Daemona, odnoszące się do tego, że po prostu ona zabrała mu tron i on przez całe życie pragnął tego tronu, więc on musi się z tym teraz zmierzyć, tak samo jak musi się zmierzyć ze śmiercią Lainy czy z...
1005:  TN - który jest jego największym wrogiem.
1008:  TN - I właśnie dlatego specjalnie też wymieniłem te trzy osoby, ponieważ te trzy osoby są w tych wizjach w Harrenhal.
1014:  TN - Ponieważ właśnie Damon w Harrenhal musi się zmierzyć z tymi wszystkimi złymi rzeczami, które go spotkały w życiu.
1023:  BFP - Przeczytałem komentarz Pawła M., który mówi, Damon coraz bardziej zaczyna wyglądać na pierdołę bezrozumnego księcia z kompleksami.
1028:  BFP - Ja się z tym nie zgodzę.
1029:  BFP - Ja uważam, że Alice Rivers, dojdziemy do tej sceny oczywiście, która jest fenomenalna, doskonale go podsumowuje.
1036:  BFP - Ona mówi, że ty cały czas chcesz coś udowadniać.
1039:  BFP - Ty przybyłeś do Harrenhal.
1040:  TN - Ja z kolei się zgodzę, ponieważ moim zdaniem to jest bardzo małostkowe, że jeżeli on dostaje kruki ze Smoczej Skały i na nie nie odpowiada.
1050:  TN - I tak naprawdę też widzieliśmy w tym odcinku i w drugim odcinku, że on troszeczkę próbuje, tak trochę się waha, tak?
1057:  TN - Nie wiadomo do końca, czy Damon nie chce grać na swoją rękę.
1061:  TN - i sama armię dożycza, zbiera i nie wiemy, czy on chce to.
1067:  TN - Co prawda on tutaj jest w końcu nazwany tym prince consort, czyli tak jakby tym właśnie książę małżonkiem, czyli tak jakby właśnie... King consort.
1074:  GW - Nawet king, nawet tak.
1076:  GW - On się krzywił na prince, dlatego, bo on się uważa za równorzędny,
1084:  TN - Dla Reniry, że jest monarchą, tak.
1087:  TN - Ale aczkolwiek tutaj też widać w tych niektórych scenach, że na przykład ten Oskar Tully ma problem z tym, jak ma go nazwać, ponieważ to jest pierwszy raz w historii Westeros, kiedy to mężczyzna, kiedy to kobieta jest królowa i trzeba jakoś nazwać mężczyznę, który jest jej małżonkiem.
1102:  TN - I my też mamy z tym problem, bo nie wiemy, czy to jest w końcu książę, czy to jest król, czy to jest król małżonek.
1108:  TN - I to jest właśnie takie też wolne do interpretacji.
1113:  BFP - W książkach jest mega zapatrzony w Renierę, napisała Szepciucha, to wygląda jakby miała ją zdradzić dla własnych interesów.
1118:  BFP - Tak, a w książce też od pewnego momentu w ogóle nie wydaje się mieć charakteru, zresztą większość postaci nie ma charakteru.
1125:  TN - Więc ja uważam właśnie, że Daimon jest taki małostkowy i że Czarni też dużo na tym traco, ponieważ gdyby on się z nimi wymieniał jednak tymi listami i widzieliśmy go też, że strzelił tego focha i on tak naprawdę jest dalej w tym fochu, tak?
1138:  TN - że jest zły na Renirę, no i moim zdaniem to jest trochę właśnie małostkowe, głupie ze strony Daemona, no bo to jest na rzecz Zielonych dobrze, że on się nie będzie z nimi kontaktował, ponieważ to z kolei sprawia jakieś tam problemy strategiczne, bo
1159:  TN - Też gdyby na pewno dostał jakąś informację ze Smoczej Skały na temat tego, że na przykład Criston Cole idzie na Gawronie Gniazdo, no to możliwe, że on by mógł się pojawić na tym Caraxis, tak?
1169:  TN - Albo właśnie gdyby cały czas się wymieniał jakimiś informacjami, no to...
1174:  TN - ze Smoczą Skałą, to to miałby więcej informacji na temat tego, co się dzieje i też z kolei Smocza Skała by wiedziała, tak, co Damon planuje i jaka jest sytuacja.
1186:  TN - Pomimo tego, no właśnie on strzelił focha i tego nie robi.
1189:  KMM - On się porusza między dwoma biegunami, zauważcie, bo z jednej strony właśnie ma taki zamglony umysł i nie wiadomo, czy to jest częściowo działanie otępiające tej rzesz magii, czy też po prostu stupor i mlazgroć, która go dopada w tym wilgotnym i nieprzyjemnym miejscu, jakim jest Harrenhal, a z drugiej strony jest ten daemon, który jest zadziorny w momencie, w którym opędzlowuje tego Tuliego, mówiąc, że to jest rybal, może bez głowy, jaki to jest piękny.
1212:  KMM - To jest jeden z najlepszych dialogów.
1215:  BFP - Przepraszam, ale muszę przeczytać komentarz, który jest jednym z najlepszych komentarzy, jaki dzisiaj padł, od Shendry69.
1220:  BFP - Mata Smitha trzyma jeszcze foch po pierwszych sezonach The Crown.
1226:  GW - Ale tutaj w ogóle jaka była sugestia w pewnym momencie, że no... To nie była sugestia.
1232:  GW - To nawet nie była sugestia.
1235:  BFP - To jest jeden z najlepszych dialogów w tym odcinku.
1238:  BFP - To znaczy przychodzi chłopak i mówi, proszę pana, bo mój dziadek tak mało kontaktowy jest.
1242:  GW - Ja kocham swojego dziadka.
1243:  GW - Kocham swojego dziadka jak tatę.
1245:  GW - Wiesz co, połóż mu poduszkę na twarzy, będzie mu lepiej.
1247:  BFP - To przyspiesz to, to weź jakąś podusię, usiądź na podusie i zrób tak, żeby szybciutko.
1252:  BFP - A on mówi, nie, nie, bo ja dziadziusia bardzo kocham.
1254:  BFP - Kurwa, nie mam czasu na takie pierdoły.
1256:  BFP - Wychodź.
1257:  BFP - A tamten Strong podchodzi, głaszcze go ten Paul Strong, Simon Strong, przepraszam, podchodzi i mówi, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie.
1276:  TN - Swoją drogą, jak mówiliśmy o imionach, no to Oscar Tully właśnie jest, jego dziadek, o którym tutaj jest mowa, jest nazwany Grover Tully, co jest postacią właśnie też z ulicy Zazamkowej, to jest Florek.
1288:  GW - Oni wszyscy się nie nazywają jak postacie z ulicy Zamkowej?
1290:  TN - No, Oscar Tully akurat nie, ale właśnie w jego rodzinie i najprawdopodobniej właśnie Kermit i Elmo Tully będą zamienieni tą postacią Oscara i niestety się nie pojawią.
1299:  BFP - Znaczy, nawet ten chłopak wygląda jakby był na planie ulicy Zamkowej w tym momencie, sobie, ho, jaka literka, ho?
1304:  GW - Dzisiejszy odcinek, tak, dzisiejszy odcinek sponsoruje literka O, tak, właśnie.
1309:  Ach.
1312:  KMM - No więc wróciły wreszcie dobre dialogi.
1315:  KMM - Zauważcie, pojawił się dialog, który zapamiętałem ja, który nie zapamiętuje żadnych dialogów i możemy o czymś pogadać.
1321:  KMM - To była siła gry o tron, jeszcze o tym wspomnę, że była niesamowicie memogenna.
1326:  KMM - To znaczy, tam scenarzyści mieli taką umiejętność, która oczywiście była w znacznej mierze zawdzięczona Martinowi, że umieli
1335:  KMM - wstrzyknąć do sceny taki jeden szlichwort, jeden dialog, który się zapamiętywał absolutnie wszędzie i zawsze i który do końca będzie z nami.
1344:  KMM - Natomiast w tym przypadku to nie jest jeszcze aż tak dobry dialog, ale liczy na kolejny.
1348:  KMM - Mam nadzieję, że to jest jakiś kierunek, w którym podążą scenarzyści.
1351:  TN - Tutaj jeszcze to, co musimy wyjaśnić, no to on dlatego Taliego wzywa do siebie, ponieważ Tali jest lordem Brackenów i Blackwoodów.
1361:  TN - Brackenowie i Blackwoodowie są wasalami Taliego.
1364:  BFP - I potem wzywa bezpośrednio ich.
1367:  BFP - Tak, tak.
1368:  BFP - Jeżeli to jest odcinek ulicy Zezamkowej, to co widzimy, to z pewnością literką, która sponsoruje program jest P jak poduszka.
1374:  BFP - Jedziemy dalej.
1377:  BFP - Grzegorzu, chciałeś coś powiedzieć?
1378:  GW - Nieistotne, bo właśnie szukałem gdzieś tam w tle wielkiego ptaka, ale się okazuje, że to był smok.
1383:  BFP - Że to byłem ja.
1385:  BFP - Jedziemy dalej.
1386:  BFP - To jest... Ja mam jakiś problem z tą sceną.
1389:  KMM - Ja tej sceny nie zrozumiałem.
1390:  KMM - O co w niej w ogóle chodziło?
1392:  GW - To jest pysk zaznaczyć, że Rhaenys się skapnęła, że jej mąż dymał na boku, no bo chyba jakby nic innego.
1401:  TN - Dokładnie tak, to jest, chodzi o to po prostu, że Alen jest bękartem Corlys'a.
1407:  TN - I nawet ona kładziła go po twarzy mówiąc, że no twoja matka musi być piękna.
1415:  TN - Bo z tą matką musiał właśnie zdradzić ją Corlys.
1421:  BFP - Ale to dopiero będzie zaskoczone, jak się okaże, że on jeszcze ma brata, więc Corlys zrobił dwieczkę.
1425:  KMM - Nie no ma, nie no, wiemy, wiemy o tym.
1427:  KMM - Marekses20 pisze na czacie, że poznała po włosach.
1433:  KMM - Jezus.
1438:  BFP - Tomek, mała prośba, żebyś odrobinkę albo odsunął mikrofon, albo troszeczkę ściszył, bo wchodzi już na przesterowanie, jak mówisz.
1445:  BFP - Po prostu postaram się nie krzyczeć.
1448:  BFP - Bartusz w Strągowskim, co chciałem tylko zauważyć, że na ulicy Zezamkowej też był Oskar, mieszkał w śmietniku.
1453:  BFP - No tak, no bo Grover, Oskar to właśnie są te imiona, które gdzieś tam były wzięte z ulicy Zezamkowej, pośród wielu innych, które George R. R. Martin, żeby ułatwić nam życie, po czym potem zrobił Elden Ringa i już tam nie było ulicy Zezamkowej.
1468:  BFP - Ale to jest dość interesujące, bo... Ciekawe ile Corlys musi mieć lat, jeżeli ten gościu jest jego synem.
1475:  BFP - Bo ja byłem przekonany, że ci goście są w podobnym wieku.
1478:  KMM - Znaczy ciężko powiedzieć, tego nie powiemy, ponieważ jak wiadomo czas w tym serialu działa inaczej, został zakrzywiony w pierwszym sezonie i dlatego bardzo ciężko jest to akurat stwierdzić.
1488:  KMM - Zarówno aparencjonalnie jest ciężko poznawać niektóre postaci, rozróżniać od siebie, jak i pod względem wieku, więc tutaj ja ci nie pomogę.
1496:  GW - No ty z pewnością, ja jakby nie kierowałem tego do ciebie, ale... Ja bym stawiał, że koło pięćdziesiątki po prostu, no i zaszalał ze stwierdzeniem, że są równolatkami Koloryz i Renis, ewentualnie ono trochę starsze.
1509:  TN - On będzie miał teraz około, znaczy on będzie miał powyżej siedemdziesięciu nawet.
1512:  KMM - Jezus!
1513:  KMM - Byczek brzyczek ewidentnie.
1516:  BFP - Poza tym, że porusza się na morzu, ale tak.
1521:  BFP - Ja wiedziałem, że to jest... Miałem trochę nadzieję, że serial postąpi może inaczej niż książka, bo miałem takie poczucie,
1529:  BFP - Za mało patosu jest w tych ostatnich scenach Renis.
1533:  BFP - No ale to właśnie o to chodzi, żeby nie sygnalizować tego widzowi i żeby nie kłaść nadmiernego akcentu na to, co ma nastąpić, żeby nie ubiegać ciosu, który nam się zada emocjonalnego.
1545:  BFP - Ale jakby nie patrzeć, to są ostatnie sceny między Corlysem a Renis, z tego co pamiętam.
1551:  BFP - Zaraz będziemy jechali w kolejne.
1553:  GW - Stawiam, że się koalicji to nie możebnie, bo jakby tutaj wydaje mi się, że od samego początku, mimo pewnych perypetii, tam drobnych jakichś tam nieporozumień, to oni byli zawsze pokazywani jako taka
1568:  GW - Wiecznie zakochana para, wiecznie wtuleni w siebie, jakby dbają o siebie i tak dalej.
