Dlaczego AKOLITA jest tak ZŁY?
🔗 https://www.youtube.com/watch?v=A4nbDZSWiHA
KMM (Krzysztof M. Maj)
BFP (Bartosz Filip Malinowski, Bez/Schematu)
ML (Michał Lipiński, Ponarzekajmy o Filmach)

41:  BFP - Wiecie po czym poznać prawdziwych przyjaciół?
189:  KMM - Ja osobiście, jeżeli by miało się to rzeczywiście udać, przesunąłbym akcję 3 tysiące lat wstecz.
195:  KMM - Bez tych wszystkich easter eggów, rozmawiamy jak rozumiem ze spoilerami, bez żadnych mistrzów jodów, którzy są pokazywani od tylca tylko po to, żeby zrobić easter egg dla fanów, bez żadnego Kia di Mundiego, który w ogóle nie miał tam żadnego sensu, bez żadnych żałosnych nawiązań do i tak legendy o mocy, która
217:  KMM - No, nie ma żadnego sensu, bo chodziło oczywiście o legendę wybrańca, prawda, czyli albo Anakin, albo Lucas K. Walkera, w zależności od interpretacji, którą psuje całkowicie koncept tych dwóch sióstr.
227:  KMM - Wszystko to odrzucamy i idziemy do starożytnych Jedi, starożytnych Sithów.
231:  KMM - I, no, ile zabawniejsze w tym wszystkim jest to, że nawet nie trzeba było wycastować nowych aktorów.
237:  KMM - ponieważ można byłoby po prostu stworzyć inne postaci i nie byłoby żadnego problemu praktycznie.
242:  KMM - Poza tym oczywiście, że trzeba byłoby zatrudnić jakichś sensownych scenarzystów.
244:  KMM - Więc ja tutaj trochę podbijam ten wątek z recenzji Philippa, to znaczy faktycznie pomysł na to, żeby się odciąć od dziedzictwa Skywalkerów był sensowny.
253:  KMM - Problem polega na tym, że się nie odcięto od dziedzictwa Skywalkerów, tylko je zmieniono.
257:  KMM - I to jest mój beef z tym serialem cały, dlatego dzisiaj się pokazuję jako Sith, albowiem
263:  KMM - Nie ma żadnego wpływu na fabułę.
266:  KMM - Każda z tych zmian lorowych, która została wprowadzona, została prowadzona tylko po to, żeby rozsierdzić fanów.
271:  KMM - Dokładnie tak samo, jakby były wprowadzone zmiany w Rings of Power.
274:  KMM - To jest dokładnie ten sam kazus dla mnie.
275:  KMM - I jeden i drugi serial obiecywał, zauważcie, że będzie prehistoria, że będzie fabuła sprzed tej, którą znamy.
284:  KMM - i nie będzie żadnych ingerencji w lore, po czym zrobił coś dokładnie odwrotnego.
287:  KMM - To znaczy niby ta fabuła jest rzeczywiście przed tą, którą znamy, ale są potężne ingerencje w lore, które zmieniają narrację o świecie.
294:  BFP - Ja pozwolę sobie jeszcze, zanim oddam głos Michałowi, bo to samo pytanie do ciebie, czy uważasz, że ten serial w ogóle mógł się udać, to chcę nawiązać do jednego komentarza, który padł, ale to jest komentarz, który bardzo często się pojawia, a przynajmniej w tym tonie jest utrzymana narracja.
308:  BFP - Disney wypuścił coś słabego, nowe nie znałam.
313:  BFP - I tak, będziemy rostowali ten serial dzisiaj, ale ja naprawdę uczulam przed tą narracją, która zakłada, że Disney jest jak Palpatine i zanosi się tubalnym śmiechem i jest od tego, żeby niszczyć wszystkie możliwe produkcje, jakie istnieją.
327:  BFP - Disney jest ogromną korporacją.
329:  BFP - To Lucasfilm tworzy te seriale.
332:  BFP - To Lucasfilm odpowiada za świat Gwiezdnych Wojen.
335:  BFP - Disney jest właścicielem firmy, czy też filii, jaką jest Lucasfilm, jaką jest Marvel.
340:  BFP - Jest masa innych
342:  BFP - Disney to nie jest jak święty Mikołaj, który roznosi jednego wieczora w święta prezenty wszystkim dzieciom na świecie, tylko w odwrotną stronę jest jak Grinch, który psuje wszystkie produkcje, jakie mogą być, bo tylko o tym myśli.
355:  BFP - To personifikowanie Disneya, który jest od tego, żeby psuć produkcję...
359:  BFP - To jest takie trochę słabe, nazwijmy rzeczy po imieniu.
362:  BFP - Showrunnerka.
363:  BFP - Ona ma imię, ona ma nazwisko i to ona jest twarzą tego serialu.
366:  KMM - Nie Disney.
367:  KMM - Proszę mi mieszać Shiva Palpatina, wybitnego polityka okresu Republiki i Imperium do Kathleen Kennedy.
375:  KMM - Kathleen Kennedy jest typowym przykładem człowieka, który przychodzi do piaskownicy, patrzy jak ludzie mają usypane babeczki jakieś fajne z piasku, ktoś ma łopatkę i Kathleen Kennedy przychodzi i mówi...
388:  KMM - To jest Kathleen Kennedy.
391:  KMM - Więc to nie jest geniusz polityczny i manipulatorski senatora, a później imperatora Palpatina, tylko to jest czysty kretynizm.
398:  KMM - Ale widzisz, już powiedziałeś Kathleen Kennedy, a nie Disney.
401:  KMM - Leslie Henry.
402:  KMM - Tu jest racja, absolutnie.
404:  KMM - Ja też jestem przyzwyczajony do tego, że używam nazwisk, no bo nazwiska są bardziej konkretne, natomiast platforma jest platformą.
413:  KMM - Inna rzecz, że rzeczywiście tych produkcji Disneya dobrych nie było zbyt wiele i na pewno jeżeli chodzi o stosunek złych produkcji Star Warsowych do dobrych od czasu przejęcia LucasArts przez Disneya, no to ten stosunek jest przytłaczający.
425:  KMM - Michale.
427:  ML - No, ciężko odpowiedzieć na to pytanie, które znalazłeś, czyli czy dałoby się zrobić to dobrze.
434:  ML - No bo rzeczywiście, na pewno by się dało, jakby zatrudnili chociażby scenarzystów, którzy po prostu potrafią napisać cokolwiek.
443:  ML - Historie, która w ogóle ma jakikolwiek sens, z bohaterami, którzy mają jakikolwiek sens, w sensie ich motywacje, zmiany.
451:  ML - Sposób narracji, to kiedy i co jest nam ujawnione, co jest zagadką, a co nie jest, żeby miało jakikolwiek sens.
459:  ML - Ten wspomniany lore, tutaj jakieś tam też te zmiany tam, to co było, też można by zatrudnić przy okazji kogoś, ktoś się zapyta tam, kiedy ten Kiyatimundi się urodził i żeby to miało sens.
468:  ML - Chociaż mnie osobiście aż tak to nie przeszkadza, bo ja trochę tak na tyle teraz już obecnie nienawidzę Star Wars, że mam trochę wyjebane w lore.
476:  ML - Ale no chciałbym po prostu dobrą historię, a do dobrej historii tutaj jest
481:  ML - daleko, bo to co w ogóle obiecywali, albo przynajmniej coś się mówiło, że wiecie, ze strony Sithów zobaczymy coś, może z tej drugiej strony jakaś historia, prawda, cover-up Jedi, którzy się zachowują jak jacyś tacy umoczeni policjanci, nie?
494:  ML - Wykasowują nagrania z kamerek, bo kogoś zastrzelili.
497:  ML - Okej, gdzieś jakby... A potem zrzucają winy na kolegę.
501:  ML - Nie no to w ogóle, jak przejdziemy do konkursu, co się dzieje w tej fabule i w ogóle co oni, w ogóle co oni zrzucają?
506:  ML - Jaką winę?
506:  ML - Za co tak naprawdę?
507:  ML - To jest też... To jest tyle pytań.
510:  ML - Ale no gdzieś jakby tak cofnąć się 15 kroków w tej całej układance, jak ten serial powstawał, no to jakbym usłyszał pierwsze trzy zdania, to bym powiedział, no dobra, no to już pewnie z tego da się zrobić coś fajnego, nie?
520:  ML - Tylko no, w obecnym stanie, no to... Kilka niedociągnięć jest.
525:  BFP - Ale to chciałbym zacząć od tego, co ty poniekąd już wyprowadziłeś na front.
531:  BFP - naszych muszkietów, to jest to, że mieliśmy trochę taką obietnicę, że teraz zobaczycie inną, ciekawszą perspektywę.
539:  BFP - I ja w swojej recenzji powiedziałem, jak bardzo same twórczynie i showrunnerka sabotują tę ideę.
546:  BFP - No bo mamy faktycznie tego Kimira, czy też Strangera, ale co on sobą reprezentuje?
551:  BFP - Czy on ma cokolwiek do zachowania?
553:  ML - Jak to, kurwa, to lata siłowni.
556:  BFP - To szczucie cycem, szczucie męskim cycem to jest coś zupełnie osobnego, nad czym możemy naprawdę poświęcić dobre 10 minut.
565:  BFP - Ale i to granie, że skoro jest ładny, to znaczy, że ma rację.
568:  BFP - Skoro jest ładny, to na pewno jest sympatyczny.
570:  BFP - Znaczy granie takim naprawdę najbardziej naszym pierwotnym instynktem i odruchem, taką heurystyką, którą w sobie mamy.
576:  BFP - Ale nawet kiedy Kimir dostaje czas na to, żeby się wypowiedzieć, to on nie ma nic sensownego do powiedzenia.
581:  BFP - Więcej, tamten Darth Plagueis gdzieś tam się skrywa i wiecie, on jest tak inny od Sifu, że on się nie nazywa Sifem, ale on też ma mistrza w cieniu, który normalnie, wiecie, bo mistrzowie Sifów, tak jak Darth Sidious, nie, nie, Darth Sidious, przepraszam, tylko Doku, mają jeszcze kogoś wyżej, prawda?
600:  BFP - I tutaj również ktoś musi być wyżej nad nim, ale wiecie, on nie jest takim typowym Sifem.
606:  ML - Ale tak w zasadzie, czy tak naprawdę my po tym serialu to wiemy, że on jest nad nim?
609:  ML - No więc właśnie.
610:  ML - Z tej sceny, gdzie on się tam wychyla, robi takie hello, cameo.
613:  BFP - Nie, po prostu mieszka w jaskini na tej samej wyspie i tak sobie siedzi.
617:  ML - No ale może, może go obserwować, nie?
621:  BFP - Okej, masz rację, macie rację.
622:  ML - Może to jest faktycznie... Inaczej, bo może nie, może jest tam w drugim sezonie, powiedzą, że tak, kurwa, to jest jego mistrz i tak dalej, ale chodzi mi o to, że właśnie to jest problem tego serialu, jeden z trzydziestu, że nie wiadomo, że nie wiadomo, o co tu kurwa chodzi, kto jest z kim, dlaczego to robi,
636:  ML - Ostatnio z Krzysztofa nauczyłem się słowa labilny.
638:  ML - Tutaj są wszyscy kurwa labilni.
640:  ML - Ja byłem labilny w ciągu oglądania bohaterowie, są scenarzyści.
644:  ML - Dobro, zło, kurwa wszystko tu nic nie ma sensu po prostu.
647:  ML - Nie wiem czemu macham rękami, no.
649:  KMM - Bo chcesz rzucić zaklęcie.
651:  KMM - Chciałem się rozzłościć na wpakowanie Duffa Plegisa Mądrego do jakiejś jaskini zmokniętej na sam koniec.
659:  KMM - Dokładnie tak samo, zauważcie, jest pokazany jak Yoda.
662:  KMM - On nie ma żadnego wpływu na tę historię.
663:  KMM - Wiecie dlaczego on tam jest?
665:  KMM - Bo jest creepem.
666:  ML - Żeby mógł klaskać, jak go zobaczę.
668:  KMM - On jest tam tylko ze względu na to, że w trzeciej części, czyli w Zemście Sithów jest powiedziane, że Darth Plagueis the Wise manipulował midichlorianami, żeby tworzyć życie.
676:  KMM - W związku z powyższym tam jest to wyłącznie po to, żeby strzelić fanom w twarz i powiedzieć, no tak, oczywiście, bo Darth Plagueis, my myślicie, że on tak naprawdę stworzył tego białego, heteroseksualnego anakina.
689:  KMM - Przepraszam najmocniej, on wcześniej stworzył byt doskonalszy.
694:  KMM - I on jest tylko tam po to, nie ma żadnej funkcji, zauważcie, narracyjnej, ani fabularnej powiązanej z tą postacią.
701:  KMM - Ona nie mówi ani słowa, jest easter eggiem i jest tam tylko dlatego.
705:  KMM - I to jest powód, dla którego ja się złoszczę.
707:  KMM - Powiedziałem na reddicie, że były zupełnie inne reakcje, jak oglądałem podczas premiery, to znaczy ludzie mówili
713:  KMM - się pojawia, ale nic z tego nie wynikało, tak?
716:  KMM - To znaczy rozpoznali easter egga i tyle.
718:  KMM - Więc podejrzewam, że jego funkcja tam jest tylko ta.
721:  KMM - Nie ma żadnej innej.
722:  BFP - Ja tylko przeczytam komentarz Złego Czarownika bardzo a propos.
727:  BFP - Ale to by był zajebisty twist, jakby się okazało, że Kimil wiedział,
731:  BFP - o Plegisie w tej jaskini i kurna ani razu tam ze sobą nawet nie rozmawiali.
735:  BFP - Ja bym powiedział, jeszcze lepiej by było, gdyby Kimir wiedział o Plegisie w tej jaskini i by się okazało, że on mu zanosił jedzenie, żeby w tej jaskini mógł funkcjonować.
745:  BFP - Bo to też uważam jest niezwykle, to jest taki banał, taki stereotyp i to jest wręcz odbierające godność, deprecjonujące taką postać jak Plegis, bo ja czytałem o tej postaci, to jest naprawdę legendarna, szczególnie właśnie w tym poszerzonym kanonie.
761:  KMM - Shiva Palpatina.
762:  BFP - Dokładnie.
763:  BFP - I to, że on siedzi w jaskini jak jakiś taki połamany, nagi gollum.
767:  ML - Jak jakiś komar na ścianie, co szuka ofiary.
771:  ML - Troll niekulturalny.
773:  ML - Wygląda jak z tego, jak What We Do in the Shadows.
776:  BFP - Troll niekulturalny napisał ten moment, gdy mój imiennik, a chodzi o Krzysztofa, bo ja wiem, że troll niekulturalny ma na imię Krzysztof, zamiast przyjść w galowej koszuli, ubiera się na czarno, bo jest z nocnej straży albo jest w żałobie po seansie tego tworu.
790:  BFP - – My wszyscy reprezentujemy Darkseid.
793:  KMM - – Oczywiście, że tak.
795:  ML - – Ja zrobiłem cosplay z mojej bluzy Mandalorianina.
797:  KMM - – Tylko, że wiecie, to jest ta mądra, ciemna strona mocy, nie ta, która jest w tym serialu.
803:  BFP - – Ale wracając jeszcze, Michal, jeżeli ty chcesz się wypowiedzieć, czy mieliście poczucie, że w którymkolwiek momencie
812:  BFP - Próbę podważenia wiarygodności moralnej i pewnej integralności moralnej Jedi to widziałem jak najbardziej.
819:  BFP - I uważam, że nawet to nie wyszło autorce.
822:  BFP - W sensie ja widziałem więcej empatycznych, wiernych zasadom i przede wszystkim nie tak porywczych i żądnych krwi postaci po stronie Jedi niż po drugiej stronie, ale nie widziałem w żaden sposób ciekawego przedstawienia
836:  BFP - jak to się mówi, trzeciej drogi.
838:  BFP - Czegoś, co byłoby alternatywą do tego, co znamy z jasnej i ciemnej strony mocy.
843:  BFP - Potrzebujemy po prostu Jedi-sitowni.
847:  BFP - Michale.
848:  ML - Nie no... Nie wiem Pyku, nie wiem co tu powiedzieć, bo to po prostu kurwa nic nie miało sensu, no.
854:  ML - To jest moja profesjonalna opinia, to znaczy... Bo bohaterowie zmieniają swoje zdanie co 5 sekund.
862:  ML - Nie wiadomo tak naprawdę w ogóle... W pewnym momencie to nie jest tak, że o ta była dobra, a ta była zła.
866:  ML - Ja w pewnym momencie nie wiem w ogóle czym jest dobro, czym jest zło w tym seriale.
868:  ML - Już prędzej się zgubiłem... Ja się zgubiłem co oni ukrywają, kto kogo chce zabić, dlaczego.
873:  ML - Dlaczego odcinek temu ona chciała ją zabić, teraz jest z nią, a teraz ją zostawia, a teraz nie z nią, a teraz ją zostawia.
878:  ML - I przy tym wszystkim gdzieś był cały czas ten odroczony cover-up, że my się dowiemy w kolejnym flashbacku, co tak naprawdę miało miejsce.
884:  ML - I jak zobaczyliśmy, to ja nadal kurwa nie wiem, co tam się wydarzyło i czemu jest jakiś cover-up.
889:  ML - Co tak naprawdę nasi bohaterowie cover-upują, skoro... No nie wiem, czy chcecie przejść przez takie konkretne rzeczy, co tam się wydarzyło.
895:  BFP - Bardzo chętnie, bo może to pomoże zrozumieć.
898:  BFP - Znaczy wiecie co?
900:  BFP - To jest ciekawe, bo ten odcinek przedostatni, który ukazuje to wszystko, co się wydarzyło i wydaje mi się, że to jest
905:  BFP - Także kolosalny błąd scenariu pisarski, że powód do tego, żeby jakkolwiek empatyzować z jedną z głównych bohaterek, są dwie główne bohaterki, jest Osha i jest Mei, żeby z jedną z nich empatyzować jakkolwiek, musisz poczekać 7 odcinków.
921:  BFP - Żeby wiedzieć, co się właściwie stało.
924:  BFP - I ten odcinek nakręcił koreański reżyser Kogonada.
928:  BFP - Tam w ogóle jest dość duża reprezentacja koreańska, bo też ten bohater, czy aktor, który gra Sola, to jest aktor, którego możecie kojarzyć chociażby ze fantastycznego Squid Game.
939:  BFP - To Kogonada jest naprawdę fantastycznym reżyserem.
943:  BFP - nakręcił między innymi taki film After Young i tam widać rękę artysty i widać, że był, jest jakieś tam nawet wyczucie w tym przedostatnim odcinku pewnej tragedii, która polega na tym, że doszło do strasznych wydarzeń, chociaż nikt nie chciał do tego doprowadzić, chociaż ja bym się spierał, uważam, że zakon sług generalnie ma jakiś talent do sprowadzania klątwy na siebie, ale wciąż
966:  BFP - Ja nie miałem takiego poczucia, że to było jakieś wielkie halo.
970:  BFP - To znaczy jakaś dziewczynka chciała, żeby jej siostra została, to się zdenerwowała i podpaliła coś, a tamci nie widzieli, co się dzieje i źle zrozumieli intencje jednej pani i on zabił tą jedną panią i wszystkie umarły.
982:  ML - To są dwie ważne rzeczy.
983:  ML - Jedno to jest to, co oni chcieli osiągnąć.
985:  ML - I wszyscy to widzieliśmy, co chcieli osiągnąć.
987:  ML - No, że przez przypadek coś się wydarzyło, że był spór, że o Jezu, no jak ten policjant, no celowałem, tamten sięgnął, sięgał po telefon, no ale strzeliłem, nie?
997:  ML - My wiemy, co oni chcą, jakby do czego nawiązują i co chcą stworzyć, ale w praktyce kurwa nie ma sensu, co się działo w tych odcinkach.
1004:  ML - Te wiedźmy, które od razu są, antagonizują.
1006:  ML - Ci Jedi, którzy wchodzą na zasadzie mamy prawo zabrać wam dzieciaka, jeśli się zgodzicie.
1012:  ML - To macie kurwa prawo, czy muszą się zgodzić, no nie?
1015:  ML - Kto tu w ogóle rządzi, tu prawo dochodzi, czy nie, czy... Jakby, o co, czemu ten Sol w pierwszym odcinku patrzy za drzewa jak jakiś pedofil w ogóle?
1022:  ML - Czemu do nich po prostu nie podejdzie?
1024:  ML - Co to się w ogóle kurwa dzieje w tym serialu od samego początku, nie?
1026:  KMM - O, widzę, że idziemy bingo, dobrze.
1029:  KMM - Przecież tam w którymś momencie, nikt nam nie wyjaśni, jakim cudem ona jest w stanie kontrolować tego Jedi, co to jest za nowa moc, w ogóle, dlaczego ona się w którymś momencie zmienia w cień.
1039:  KMM - Tam się dzieje dużo różnych takich rzeczy, które...
1041:  ML - Czy nasi Jedi w ogóle znają tą moc?
1045:  ML - W ogóle, czy ktokolwiek wie, co się dzieje w tej scenie, wewnątrz tej sceny?
1048:  BFP - Niech ktoś mi wytłumaczy, dlaczego główne bohaterki nie są siostrami, tylko są jedną osobą.
1053:  KMM - I co to zmienia?
1054:  KMM - Jak się to tłumaczy Filip, o co chodzi?
1056:  KMM - To jest cały czas nawiązanie z kolei do tej idei diady mocy, jak znam życie, która została wprowadzona w trylogii sequeli, która nie istnieje.
1064:  KMM - Założę się, że to jest to, ponieważ oni cały czas dają takie kolejne okruszki, które mają umacniać różne bzdury lore'owe, które oni wprowadzili.
1072:  KMM - Wiecie, co jest zabawne?
1073:  KMM - Jak Disney przejmował Star Warsy, to oni wydali taki komunikat marketingowy, że jest chaos straszny w uniwersum,
1079:  KMM - I że oni teraz będą wszystko kontrolować.
1081:  KMM - I że będą opowiadać taką transmedialną historię wspólną, jedną, trochę tak jak Marvel zrobić.
1086:  KMM - I będą to wszystko kontrolować.
1087:  KMM - I teraz zabawne jest to, że wcześniej był chaos dlatego, że tworzyli serial.
1092:  KMM - Ludzie, którzy projektowali gry, George Lucas, fani, fanfiki, ludzie od encyklopedii, a teraz tworzy tylko Disney cały czas.
1100:  KMM - I oni sami robią bzdury, gorsze zdecydowanie niż to, co było we wcześniejszym kanonie.
1105:  KMM - Zwłaszcza, że mamy tego zauważyć o jakieś kilka rzędów wielkości mniej, to znaczy mniej ukazuje się różnego rodzaju i fanfików, i produkcji zależnych, fani są w mniejszym stopniu zdecydowanie zaangażowani, mniej się ukazuje książek,
1118:  KMM - I to wszystko jest dość paradoksalne, bo oczywiście więcej się ukazuje z seriali, ale na przykład jeżeli chodzi o gry wideo, to jest mniej więcej tyle samo, o ile nie mniej wciąż, ale pamiętajmy, że gry się układały jednak przez większą część czasu.
1130:  KMM - I teraz paradoks polega na tym, że te koncepty, które oni wprowadzili, zdecydowanie bardziej akcentują niż to wszystko, z czego
1137:  KMM - albo zrezygnowali, albo na co odlali się zimnym msikiem.
1140:  KMM - I teraz różnica polega na tym, że jak pojawiał się jakiś koncept w tak zwanych starych kanonach, to fani spekulowali, cieszyli się i dziwili, a teraz się tylko dziwią.
1149:  KMM - O co w tym chodzi?
1150:  KMM - Ja nic nie rozumiem.
1151:  KMM - Dlaczego ona się zmienia w cień?
1153:  KMM - Co to jest za moc?
1153:  KMM - Dlaczego jak ona się zmieniła w cień, Jedi był w stanie ją przebić mieczem świetlnym?
1157:  KMM - Dlaczego w którymś momencie... Bo nie skończyła się zmieniać w cień.
1161:  KMM - Być może.
1162:  KMM - Dlaczego mistrzynik w którymś momencie ma bitch świetny?
1165:  KMM - Dlatego, że kiedyś w legendach był bitch świetny.
1168:  KMM - Ona nie używa go po to, żeby skontrować kogoś.
1171:  KMM - Nie jest to dla nikogo zaskakujące.
1173:  KMM - Ona po prostu go używa, żeby użyć.
1175:  KMM - Więc takie połączenie easter eggów i nowych pomysłów
1179:  KMM - które ja by wyciąć z tego serialu, to by była strasznie taka... albo durny rom-com bym z tego wyszedł, albo taki przeciętny serial przygodowy, w którym nic się nie klei i nie ma żadnego sensu.
1190:  KMM - Więc ta otoczka Gwiezdnowojenna, która mnie przywabiła co tydzień przed ekran, jest takim settingiem, który jest totalnie odklejony od tego, co się dzieje na ekranie.
1201:  KMM - Trochę nikt nam nie tłumaczy, krótko mówiąc, tego, co się dzieje.
1204:  BFP - Pozwolę sobie przeczytać komentarz, bo będę starał się włączać komentarze i już ci oddaję głos, Michale.
1210:  BFP - Chayenescu napisał, ale bardzo podobał mi się tekst Kimira, You brought her here, w odpowiedzi na She was a child, Sola.
1217:  BFP - Zawsze mnie mierziło, że Jedi biorą dzieciaki na niebezpieczne misje, bardzo.
1221:  BFP - Czy ja mogę wykorzystać ten moment, żeby tylko i wyłącznie dobić gwóźdź, który dobijam już od swojej recenzji?
1228:  BFP - To, co podał Chayenescu jest idealnym odzwierciedleniem tego, co mam na myśli, kiedy chodzi o sabotowanie własnych konceptów.
1234:  BFP - Czyli tak, na papierze, to jest świetne, no tak, Jedi mają swoich adeptów, zabierają je na niebezpieczne misje.
1240:  BFP - W praktyce, Kimir mówi, bo zabrałeś je tutaj, zabrałeś te dzieci.
1244:  BFP - Czyli co zrobiłeś?
1245:  BFP - No musiałem je zabić!
1246:  BFP - No pozażynałem ich wszystkich, bo generalnie nie lubię Jedi.
1249:  BFP - Znaczy, czy to ma wzbudzić moją sympatię do Kimira?
1251:  KMM - Prawda?
1252:  KMM - Ale w ogóle wyobraźcie sobie tę scenę, jeżeli byśmy mieli podbić ten wątek.
1255:  KMM - Skoro są, to trzeba je zabić.
1257:  KMM - przez Jediów.
1259:  KMM - Wyobraźcie sobie, że Jedi przychodzą do tego zakonu, odkrywają to i w tym momencie się wywiązuje od razu konfrontacja między nimi, jak się orientują na przykład, że ktoś używa ciemnej strony i chcą odbić te dzieciaki.
1272:  KMM - Wtedy my byśmy zaczęli sympatyzować z zakonem,
1275:  KMM - i sympatyzować z tymi dwiema siostrami, bo byśmy wtedy zobaczyli, nie no, zaraz, że te zwariowali kompletnie.
1281:  KMM - I teraz wysuwa się na prowadzenie mistrz Sol i mistrz Sol jako jedyni się na przykład wyłamuje i krzyżuje miecze świetlne z... Carrie-Anne Moss, nawet nie pamiętam, kogo ona grała.
1292:  KMM - Wyobrażacie sobie, jakie to byłoby epickie?
1295:  ML - Przestań pisać lepszy serial, skupmy się na Rosji.
1299:  ML - Powiedzcie mi, cofnijmy się dalej.
1301:  S02 - Cofnijmy się dalej.
1304:  S02 - Tak jak kanon Star Wars, tak jak kanon Star Wars.
1307:  S02 - Jest metafora z Star Wars.
1308:  ML - Słuchajcie, pomijając już nawet sam lore, nawet jakbyśmy na chwilę stwierdzili, Star Wars nie istnieje, to jest kurwa odseparowany serial, nieważne, nie?
1316:  ML - Żeby na chwilę.
1318:  ML - O co tu chodzi nawet w takim sensie, że ona mówi, jak mówiliśmy o tej scenie, że on ją przedziurawia mieczem świetnym, ona mu ubierając mówi, ach, chciałam puścić dziewczynkę, to czemu przed chwilą byłaś...
1330:  ML - No.
1330:  ML - I zamieniałaś się z dym w los.
1332:  ML - Czemu my nawet nie wiemy, dlaczego ci nasi bohaterowie w ogóle wiedzą, że to jest zagrożenie czy nie, jakaś konwersacja?
1339:  ML - Czemu jak oni się pierwszy raz pojawiają w tym miejscu i jest trochę napięty taki Mexican standoff i te baby tam stoją chwilę po tym, jak robiły Power of Medich.
1348:  ML - i nie wiadomo co, czemu ona od razu opętuje na zasadzie jakiejś czarnej magii, nie wiadomo co się dzieje, jednego z nich i oni są tacy, oddaj go nam, dobra to go dałam.
1357:  BFP - Bo chodzi o pokazanie, nie wiem, przepraszam, ja powiem coś bardzo niepopularnego i naprawdę nie sądziłem, że przejdzie mi to przez gardło, ale
1367:  BFP - Teraz, tym razem mogę wejść w narrację kanałów, których nie lubię i które odradzam, ale tak się niszczy postaci kobiece.
1374:  BFP - To znaczy mamy tutaj przykład showrunnerki, która mnie naprawdę zniechęciła do każdej kobiecej postaci, jaka tam jest.
1381:  BFP - I wierzę, że jej intencje były dobre, że może chciała pokazać jakąś siłę, rozlutność tych kobiet, ale to jest antypatyczne.
1387:  BFP - Obserwowanie pierwszej reakcji matki, która wydaje się nawet jakkolwiek
1392:  BFP - ludzka i troskliwa na tle tych pozostałych, bo tam jest taka rogata, ta co jest z rasy Dartha Molla, która po prostu okłada jedną z tych oszy, czy May, okłada ją po prostu, jest taka dobra, stara, pruska szkoła edukacji, okłada ją i żeby wyzwolić w niej jakąś reakcję emocjonalną i ta matka jest jakaś taka w miarę troskliwa, ale również jak dochodzi do zetknięcia z kimkolwiek i zobaczcie, Jedi tam przychodzą spokojni,
1417:  BFP - Wytonowani, dyplomatyczni, chcą porozmawiać, chcą szukać kompromisu,
1424:  BFP - I ni z dupy, ni z pietruchy nagle ta matrona po prostu sprowadza na kolana tego Torbina, bo to jest Torbin bodajże.
1432:  ML - I jeszcze sączy mu jakieś... To może być Tomet, bo Tomet, wiesz.
1435:  BFP - Tomet.
