Krzysztof M. Maj - szczęśliwy jak JAMNIK || W sumie ciekawi ludzie @KrzysztofMMaj
🔗 https://www.youtube.com/watch?v=yzBa4XN-e8w
SR (Szymon Rusnarczyk)
KMM (Krzysztof M. Maj)

0:  KMM - Ja mam złą pamięć, ale chyba ja już po tę książkę w tej jaskini raz chodziłem.
1282:  KMM - Gówno jednostka zmieni.
1284:  SR - Znaczy, w pewnym sensie zmieni.
1285:  KMM - Zmieni tylko wtedy, jeżeli znajdzie inne jednostki, które podobnie myślą i pociągną to dalej.
1291:  SR - Tak naprawdę twój kanał w pewnym sensie uświadamia duże rzesze ludzi, to co powinno się właśnie zmienić.
1297:  KMM - Mam nadzieję.
1297:  SR - Wróćmy trochę do samych podstaw.
1302:  SR - Jaka jest Twoja wymarzona szkoła?
1303:  SR - Taka, gdybyś miał faktycznie znaleźć taki system, który już może nawet działa gdzieś w jakimś kraju, nie wiem, skandynawskim na przykład, to jest często podawany przykład, ale niekoniecznie, to jak byś sobie wyobrażał, co by się musiało zmienić takiego, już pomijając właśnie kwestie społeczne i tak dalej, po prostu jak by wyglądały zajęcia i tak dalej, w dużym skrócie, jak Ty to widzisz, co by musiało się zadziać?
1326:  KMM - Deregulacja.
1327:  KMM - Pełna deregulacja wszystkiego.
