Jak wyrażać EMOCJE nie raniąc innych? Małgorzata Majewska i @KrzysztofMMaj | 54
🔗 https://www.youtube.com/watch?v=ALkJDuJKjtQ
KMM (Krzysztof M. Maj)
MM (Małgorzata Majewska)

0:  MM - Język ci bardzo wyraźnie pokazuje jedno.
291:  MM - Oczywiście one dotyczyły wojny, ale ja tak sobie cały czas myślę w kontekście współczesnym.
297:  MM - Jednym z warunków przetrwania jest umiejętność zarządzania współczuciem.
301:  MM - Bo zobacz, nie jesteś w stanie współczuć całemu światu.
304:  MM - Więc tak naprawdę współczujemy tylko ludziom, którzy są najbliżsi, do których mamy wpływ.
310:  MM - Ale równocześnie jest tak, że jeżeli to współczucie nam się naturalnie uruchamia, no to czujemy pewną bezsilność.
317:  MM - Ja taką sytuację przeżyłam, kiedy w zeszłym roku byłam na wsi rumuńskiej i widziałam hordy bezpańskich psów.
325:  MM - zagłodzonych, chorych, szczęnych sług, które biegają, no dramat, tak?
330:  MM - I teraz wiesz, ja czułam potworną bezsilność, no nic nie mogę pomóc tym zwierzętom.
334:  MM - Przyleciałam jeszcze samolotem, bo pewno gdybym była samochodem, to bym jeszcze jakiegoś psa może, ale co, jednego wezmę, tak?
340:  MM - Ale równocześnie jak rozumiem, jak to działa, że ta empatia do zwierząt się uruchomiła, to sobie myślę, to co ja mogę zrobić dla świata, to w najlepszy sposób dbać o te zwierzęta, które są ode mnie zależne.
351:  MM - Tak samo jest z ludźmi.
353:  MM - No nie jestem w stanie, empatyzuję z tym dramatem, który dzieje się w strefie gazy czy w Ukrainie, ale równocześnie jeżeli pozwolę sobie na rozlanie tego smutku czy tej bezsilności, to ja nic nie zrobię.
365:  MM - A jeżeli tą bezsilność przerobię na sprawczość i...
368:  MM - to co mogę zrobić, to zrobię, no to wtedy tego miejsca sprawczości nagle zobacz, ja czuję swoją podmiotowość.
376:  MM - Bo ja coraz bardziej myślę, że wtedy czujemy się podmiotem, wtedy czujemy się człowiekiem, gdy mamy realny wpływ.
383:  MM - A jeżeli ta empatia ci się rozleje, no to ja nie mam realnego wpływu na to, co się dzieje w strefie gazu.
389:  KMM - To, co mówisz, przypomina mi mojego ulubionego filozofa Waldenfelsa, który powiedział, że dialog nie jest monologiem dwóch logosów.
396:  KMM - To nie jest monolog rozpisany na rolę innymi słowy.
399:  KMM - Tylko właśnie musi być tam ta empatia, musi być poczucie sprawczości, musi być chęć wypracowania jakiegoś wspólnego stanowiska.
406:  KMM - No ale powiedziałaś też rzecz, którą rzadko się słyszy, mianowicie, że
409:  KMM - U podstaw tego stoi ta gramatyka naszego, czy języka, czy istnienia.
413:  KMM - Interesuje mnie to, czy jesteśmy w stanie faktycznie tego nauczyć na takim bardzo podstawowym poziomie.
420:  KMM - Od czego byś zaczęła właśnie naukę do takiego empatycznego funkcjonowania i naukę sprawczości, zwłaszcza w systemie edukacyjnym, w którym się tę sprawczość ludziom odbiera?
430:  MM - Od słówka mi, takiego małego.
433:  MM - Zobacz, jak sobie, jak ci zadam takie pytanie, jakie masz wrażenie, co ci świat robi?
438:  MM - I ty mi powiesz, wiesz co, świat mi to robi na przykład, że jest niesprawiedliwy.
442:  MM - Ja ci powiem, wiesz co, jak oni w tej Rumunii mogą tak te psy traktować, tak?
448:  MM - Mi to źle robi.
449:  MM - Albo kiedy słyszysz, jak ktoś mówi, mama mi umarła.
452:  MM - Popatrz, obiektywnie mama zmarła.
454:  MM - Więc jeżeli ktoś wstawia to malutkie słówko mama mi umarła, to to małe słówko pokazuje, gramatyka zupełnie nieświadomie używana, że dlatego kogoś ta mama była kimś bardzo bliskim.
466:  MM - To słówko malutkie mi, to się nazywa celownik wpływu, ona pokazuje, które aspekty są ważne dla nas.
473:  MM - One mogą być trywialne, bo jeżeli przyjdziesz do mnie do domu w brudnych butach i powiem, gdzie mi tu władzisz, to zobacz, w tym mi ja ci pokażę, że dla mnie jakoś porządek jest ważny.
482:  KMM - Tak, że granica jest naruszona.
483:  MM - Tak, ale może też być poważna sprawa, bo na przykład gdybyś uderzył mojego psa, to powiem, czemu mi bijesz psa?
489:  MM - A przecież logiczne byłoby powiedzieć, czemu bijesz psa.
492:  MM - Ale jak mi powiesz, czemu mi bijesz psa, nie mojego psa, tylko czemu mi bijesz psa, to znaczy, że ten mój pies jest jakimś przedłużeniem mnie, jakimś rozszerzeniem.
501:  MM - I teraz to malutkie słówko pokazuje, ono jest świetne na przykład, żeby zobaczyć w związkach.
506:  MM - gdzie ludzie mają odpowiedzialność.
508:  MM - Bo jeżeli mamy związek i mężczyzna mówi do kobiety, pomogę ci przy dzieciach, to to bez wartościowania, czy dobrze, czy źle, tylko gramatyka pokazuje, że dla tego mężczyzny opieka nad dziećmi jest obowiązkiem kobiety, a nie wspólnym.
523:  MM - I teraz wiesz, jak przyjrzymy się do tego nie z miejsca oceny, ale z ciebie potwór, tylko z takiego miejsca, że ta gramatyka ujawnia taką nieświadome widzenie świata, to wtedy można się dogadać.
535:  MM - No bo jeżeli ja widzę, że coś masz w przestrzeni mi i na przykład powiesz mi, ale mi dogryzłaś z tymi skarpetkami, tak?
540:  MM - Z biwisem i bufferem, tak?
543:  MM - Z Ironmanem.
545:  MM - To ja widzę, że te skarpetki mogą być jakoś, odebrałeś to emocjonalnie, personalnie, a nie to, że mi się one po prostu podobają i je zauważyłam.
553:  MM - I na przykład to malutkie słowo, wiesz, ono jest takim magią zawsze na pierwszych zajęciach, bo ja mówię, zobaczcie, to słówko podpowiada, że pewne obszary dla was są ważne.
565:  MM - I widzisz, to jest początek gramatyki.
567:  KMM - No ale zobacz, że ta gramatyka wchodzi zaraz, to trochę przewrotnie zapytam, w konflikt z tym, czego się nas uczy, że nie można mówić egoistycznie, a tymczasem później człowiek idzie na terapię i słyszy, że ma mówić od komunikatu ja.
579:  MM - A tam jest jeszcze wcześniejszy problem, bo w szkole cię uczą, że jest poprawna polszczyzna i niepoprawna polszczyzna.
586:  MM - A mnie kompletnie ta poprawna.
587:  MM - Ta poprawna mnie interesuje tylko wtedy, jak oddaję tekst do redakcji.
590:  KMM - A też masz tak, że zawsze jak ktoś cię poprawia w internecie, to nigdy nie jest polonistą językoznawcą, bo ja tak zawsze mam.
596:  MM - Ja sobie myślę, że komuś jest trudno z tym, co mówię, więc musi mi pokazać swoją wyższość gdzie indziej.
602:  KMM - Czyli to poprawianie językowe to bardzo często jest przemoc symboliczna.
605:  MM - Nie, jest zawsze przemocą.
606:  MM - Dlatego, że ono publicznie konstruuje taką sytuację, że ktoś traci twarz.
613:  MM - O, o, o. Prawda?
614:  MM - To znaczy, zobacz, no mnie się błędy zdarzają, szczególnie teraz, dlatego, że piszę książkę o chorobie alkoholowej i moi rozmówcy to są rozmówcy, którzy mają często bardzo
623:  MM - Nie chcę powiedzieć piratywnie, ale prosty język, pełen błędów.
626:  MM - Ja spotykam się z ludźmi, którzy nie zawsze są wykształceni.
630:  MM - W związku z tym naturalną konsekwencją, kiedy dużo słucham, odsłuchuję tych naszych spotkań, tam są błędy językowe, one mi się zdarzają.
637:  MM - Ale nie wyobrażam sobie, żeby ktoś klasy, nie wiem, Michała Rusinka, czy nie wiem, Macieja Maxelona mi publicznie zwrócił uwagę.
644:  MM - Ktoś mi może powiedzieć na boku, słuchaj, ale nie mówi się, wiesz, w 2000, tylko w 2000, tam w 2023.
650:  MM - Ale on mi to powie tak, żebym ja się poczuła bezpiecznie.
654:  MM - Natomiast jeżeli ktoś mi to powie publicznie i powie, no taka pani mądra o języku pani książki pisze, a nie wie pani, że się mówi 2023, a nie odmienia, no to mam nadzieję teraz, że znowu ja nie pomyliłam.
665:  KMM - Nie jest w porządku.
666:  KMM - Dzięki.
669:  MM - to wiesz, to ja sobie myślę, że ktoś bierze ten reflektor, jak tutaj mamy te piękne reflektory, z meritum na taką rzecz, która ma sprawić, że się czuje niepewnie.
678:  KMM - Oczywiście, znaczy to jest błąd uwydatnienia przypadkowego szczegółu, nie?
681:  KMM - Falacja, akcident.
682:  KMM - Jeżeli chcesz zaatakować człowieka i powiedzieć, aha, to jest mniej więcej tak, jak niektórzy dziennikarze, albo jak Pratchett mówił złośliwie, co dziennikarze, mówią, aha, jesteś naukowcem, to wymień wszystkich naukowców, nie?
693:  KMM - To też się bardzo często zdarza.
695:  KMM - w różnych wywiadach, gdzie dziennikarz zamiast, żeby docierać prawdy, chce zaorać przeciwnika i za każdym razem wychodzi tutaj ta intencja właśnie komunikacyjna, która jest nieczysta, w której chodzi o to, żeby po prostu poporzyć.
705:  MM - Ale jak nazwiemy tą intencję, to wtedy to przestaje na nas działać, bo ja bardzo, lata temu pracowałam w szkole retoryki i uczyłam tego klasycznego Arystotelesa te wszystkie argumenty ad personam i tak dalej, tak?
717:  MM - I pewnego dnia zadałam sobie pytanie, kiedy była taka sytuacja, że ja w takim autentycznej, codziennej komunikacji merytorycznie miałam rację i komuś ją wykazałam za pomocą Arystotelasa i ktoś powiedział, dzięki Gocha masz rację.
730:  MM - Najczęściej, kiedy im bardziej miałam rację, tym bardziej ktoś uderzał właśnie personalnie.
734:  MM - No mówisz tak, bo jesteś kobietą, albo mówisz tak, bo mieszkasz w dużym mieście, czyli unieważniał mnie z poziomu komunikacyjnego, a nie merytorycznego.
743:  MM - I wtedy zadałam pytanie, dobrze, no to ten Aristoteles może działa tylko wtedy, kiedy ważne jest myślenie przyczynowo-skutkowe.
749:  MM - A ono będzie między nami ważne tylko wtedy, kiedy i ty, i ja się będziemy czuć bezpiecznie komunikacyjnie.
756:  MM - Więc jeżeli ktoś mnie publicznie zaatakuje za to, że popełniłam błąd językowy, czy za to, że nie mam pełnych butów, tylko przyszłam w klapeczkach do was...
766:  MM - no to ja sobie myślę, że ktoś, wiesz, trudno mu jest być w takiej symetrii ze mną, więc musi się wywyższyć, bo się nie czuje bezpiecznie.
774:  MM - I wtedy, kiedy ja to nazwę, to to przestaje działać.
779:  KMM - A myślisz, że ludzie tak robią intuicyjnie, czy dlatego właśnie, że nie mają wysokiej świadomości językowej i mogą nawet nie wiedzieć, że stosują techniki retoryczne, które mają właśnie na celu upokorzenie przeciwnika?
789:  KMM - Albo już powiedziałem przeciwnika, tak naprawdę powinny być rozmówcy.
793:  MM - No właśnie, już samo przeciwnika uruchomiłeś metaforę walki.
796:  MM - Ja właśnie myślę, że to wynika z nieświadomości.
800:  MM - I ja myślę, że to też wynika z takiego, tak powiem, z takiej socjalizacji w narracji.
808:  MM - Ja mogę wam dać przykład dzisiaj z rana, mianowicie mamy w domu nową sofę.
811:  MM - I wczoraj wieczorem ja już szłam spać i została moja córka ze swoim chłopakiem na tej sofie na dole.
818:  MM - I ja dzisiaj rano wychodzę, a ta sofa jest cała z czegoś białego.
821:  MM - I tak sobie myślałam, kurczę, pewno coś mi się wylało.
824:  MM - Nawet gówniarze sofy nie umyli.
825:  MM - I słuchaj, tak potwornie nakręciłam.
828:  MM - I wiesz, ale ja jestem już po terapii, więc ja już wiem, że wtedy nie wolno, wtedy należy milczeć.
834:  MM - Wzięłam psy, poszłam na łąkę i tak się nakręcam, że im powiem, że to jest nasza wspólna odpowiedzialność, że ja nie będę, wiesz.
841:  MM - I jak już się tak nakręciłam, to sobie pomyślałam, Gocha, przecież tak dokładnie twoi rodzice o ciebie mówili, że to są pokażające, poniżające, nie?
849:  MM - I później sobie myślę, dobra, to jak mam im powiedzieć o tym, a później odkryłam, że to w ogóle nie oni byli winni, tylko po prostu mój pies...
854:  MM - Przyniósł na sofę, wiecie, kwaśne mleko, przegryzł butelkę i ta butelka się po prostu rozlała.
861:  MM - Ale zobacz, gdyby nie pewna świadomość językowa, że ja, bo byłam wściekła, ta sofa jest nowa, że ja chciałam przez tą wściekłość, żeby oni się gorzej poczuli.
870:  MM - Gdyby nie to, że złapałam się na tym, co ja językowo chcę zrobić, bo nawet gdyby to oni zostawili.
876:  MM - to ta narracja, która mi przyszła do głowy, ponieważ u mnie w domu tak się do mnie zwracano, była upokarzająca.
882:  MM - I teraz, kiedy wiesz, już masz ten moment, to ja wyszłam na zewnątrz i myślę, okej, kocha, jesteś wściekła, o co chodzi?
888:  MM - Okazało się w ogóle, że winny jest Harley, ale nawet gdyby nie, to zobacz, myśmy się mogli stracić.
893:  MM - Ja zresztą później z nimi rozmawiałam.
894:  MM - Ja mówię, popatrzcie, jak łatwo mogliśmy się stracić.
897:  MM - Bo wy byście zaraz powiedzieli, dobra, czepiasz się sofę, a sama, nie wiem, zostawiłeś wczoraj brudne buciowy.
901:  KMM - To jest super, że to powiedziałeś od razu.
904:  KMM - Idzie dalej komunikat dzięki temu.
905:  MM - No ale wiesz, wynika to z tego, że ja się czuję bezpiecznie w tym, że ja rozumiem, co chciałam zrobić.
910:  MM - Prawda?
911:  MM - I takie sytuacje miałam wiele z moimi bliskimi.
913:  MM - Prawda?
913:  MM - Że kiedy czułam bezsilność, to na przykład chciałam, nie wiem, komuś dogryźć
917:  MM - I na przykład mówiłam, słuchaj, pchają mi się na usta takie komunikaty, w którym chcę ci dogryźć, bo samej mi jest trudno w tej relacji.
926:  MM - I ktoś mówi, ale coś cię pcha.
927:  MM - No w sumie mówię, nie, bo nie chcę cię zrańczać, nie mówię tego dlatego, że tak myślę, tylko dlatego, że jest mi tak źle w tej sytuacji, pomóż mi sobie z tym poradzić.
935:  S02 - Mhm.
936:  MM - I ta komunikacja na przykład u nas w domu, czy z najbliższymi osobami, ona się genialnie zaczęła sprawdzać.
940:  MM - Wiesz, moja córka już teraz ma 19 lat, ale ja pamiętam, jak jeszcze była mniejsza i ja mówiłam, słuchaj, nie radzę sobie z tym, że się spóźniamy, zaraz zacznę krzyczeć.
948:  MM - I wsiadałyśmy do auta i taką miałyśmy umowę w domu, mamy jeszcze do dziś, że w momencie, kiedy ktoś krzyczy, to się z nim nie dyskutuje, tylko się go przytula.
958:  MM - To od dziecka miałyśmy i teraz już właściwie nie musimy o tym gadać, to już się nie dzieje.
961:  MM - Tylko w momencie, kiedy ktoś krzyczy, to on wcale nie chce dialogu.
965:  MM - jemu jest trudno.
966:  MM - Więc wiesz, dotykiem więcej załatwisz, jeżeli oczywiście to jest taka relacja, w której możesz dotknąć.
972:  MM - Dotykiem więcej się komuś zrobi, córka się podoba, mamo już?
974:  MM - Ja mówię, nie, jeszcze chwilę.
976:  MM - Już?
977:  MM - Ja mówię, dwie minuty jeszcze potrzebuję.
978:  MM - Dobra, masz dwie minuty.
979:  MM - No ale zobacz, to się jakoś udało, tak z mojej perspektywy, że właśnie przez to, że ta ogromna świadomość gramatyki
987:  MM - wiesz, pozwala mi zobaczyć, kiedy coś jest dla kogoś trudne, to ja na przykład, wiesz, wtedy nie dociskam.
994:  KMM - To jest też, myślę, fundamentalnie istotne właśnie w perspektywie tego celownika wpływu, o którym mówiłaś.
1000:  KMM - To znaczy, o wiele lepiej i skuteczniej jest powiedzieć komuś, że zrobiłeś mi przykrość, czy sprawiłeś mi przykrość, wszystko jedno, niż jesteś okrutny na przykład.
1010:  KMM - Ale to już jest od razu, nie?
1011:  KMM - No bo to jest
1011:  KMM - Jest wtedy ten atak.
1013:  KMM - Tak jest, tak jest.
1013:  KMM - No ale wiesz, z drugiej strony jest problem taki, że w naszym mocno rywalizującym, kompetytywnym społeczeństwie osoba, która wskazuje na własną słabość, na przykład jest mi przykro albo sprawiłeś mi przykrość czy cokolwiek innego, wtedy sytuuje się w tej sytuacji retorycznej niżej w związku z powyższym, w swoim mniemaniu już przegrywa starcie zanim się ono rozpoczęło.
1037:  KMM - I dużo ludzi tak myśli.
1039:  MM - Postaram się do ciebie przekonać trochę do mojego widzenia języka, bo zwróć uwagę, że w twoim widzeniu, tak to słyszę, że widzisz te relacje między ludźmi hierarchicznie, prawda?
1048:  MM - Wyżej, niżej, no czasem jest równo.
1051:  MM - A ja coraz bardziej, jak słucham właśnie języka, przekonuję się do tego, że język ci bardzo wyraźnie pokazuje jedno.
1057:  MM - Kogo chce blisko, kogo chce daleko.
1059:  MM - I teraz zobacz, jeżeli ja mam odrobiną lekcję z ważnością swoją, czyli ja nie potrzebuję od ciebie walidacji, że jestem ważna, to ja przychodzę do ciebie i mówię, stary, jak jeszcze raz tak mnie potraktujesz, jak zostawię twój kubek nieumyty, to ja po prostu nie będę chciała cię blisko.
1074:  MM - Jakby okej, jakby jak ci to pasuje, to w porządku.
1077:  KMM - Czyli nie wertykalnie, tylko horyzontalnie.
1079:  MM - Tak, tak, tak.
1080:  MM - Bo na przykład powiem, wiesz co, bo łapię się na tym, że okej, może niefajnie, że użyłam twojego kubka i wypiłam kawę i że jesteś wściekły, natomiast sposób, w jaki mi to powiedziałeś sprawia, że mi się nie chce być blisko.
1091:  MM - I wiesz, jak ja to tak nazywam, ale z takiego miejsca ważności, że stara, to będzie trochę twoja strata, bo ja już cię nie będę chciała teraz blisko, nie wiesz, szantażu, tylko takiego, że wiesz, łapie się na tym, że coraz mi się mniej chce, to bardzo często zauważam, że ludzie na początku mają, a to się w nos pocałuj, albo używają tego zajmka wskazującego, a tam, przesadzasz, no wiesz, to tam jest przestrzenią widzisz oni.
1115:  MM - nie?
1115:  KMM - Tak, tak, prawda.
1117:  MM - To wtedy, wiesz, natomiast w pewnym momencie się reflektują, że wiesz, ta relacja jest wygodna.
1122:  MM - Wiesz, bo to jest trochę tak jak na pierwszych zajęciach studenci zawsze mówią, a to już przy pani się w ogóle strach odezwać.
1127:  MM - A później, wiesz, ciężko się dojść do głosu, bo tyle osób się odzywa, nie?
1131:  MM - Dlatego, że w momencie, kiedy się poczujesz, że to, co ja mówię, nie jest z miejsca oceny, tylko z miejsca takiego lepszej próby zrozumienia ciebie, to nagle, wiesz, ludzie odkrywają, że ta szufladka z ważnością, którą większość z nas ma pustą, wiesz, nagle się zapełnia, bo ja cię chcę zrozumieć.
1149:  KMM - A gdzie myślisz, uczy się nas tej hierarchii?
1151:  KMM - W miejsce myślenia na płaszczyźnie?
1154:  MM - No nawet w domu, wiesz, no przychodzisz do domu i dostajesz czwórkę i ja przychodzę do domu, dostaję czwórkę, mój tata pyta, a co dostała Agata B, nie?
1164:  MM - I każdy ma Agatę B w swoim życiu, nie?
1168:  MM - I ta taka kompetytywność, taka rywalizacja natychmiast sprawia, że, no bo zobacz, jeżeli ja mam odrobioną lekcję z własną ważnością,
1178:  MM - to ja zakładam, że mam narzędzia do weryfikacji tego, co robię.
1184:  MM - Natomiast nas się uczy, że nie mam prawdy, jak powiedziałeś, nazywa się to egoizmem, że ja cały czas się mam pozycjonować względem innych.
1192:  MM - Ta ma lepiej, ta ma gorzej, a skoro nawet Agata B. napisała na czwórkę, to to był trudny sprawdzian, prawda?
1199:  MM - Czyli bardzo trudno jest komuś uwierzyć, nie wiem, moim rodzicom było, mojemu tacie uwierzyć, że powiedziałam, tato, ten sprawdzian był trudny.
1205:  MM - bo się za mało uczyłaś, tak?
1206:  MM - Tam natychmiast była przykrywka.
1209:  MM - Nie?
1210:  MM - Ja już bym teraz zapytała moje dziecko, słyszę, że ci było trudno, co było w tym trudnego?
1214:  MM - Czego nie przewidziałeś?
1215:  MM - Czyli wzięłabym ten reflektor i doświetliła jej ważność.
1219:  MM - No już nie potrzebał z dorosła, ale czy wiesz, takie magiczne zdanie, widzę, że ci było z tym trudno.
1225:  MM - Natomiast zwróć uwagę, co się dzieje nawet w relacji na przykład rodzice-dzieci.
1229:  MM - Oni zawsze wiedzą, że my się za mało uczyliśmy.
1231:  KMM - To prawda.
1231:  MM - Bo graliśmy w Fifę, bo olewamy, bo mamy w nosie i tak dalej.
1237:  KMM - To jest ta słynna pedagogiczna metoda zielonego długopisu, że wskazujemy nie błędy, tylko pokazujemy, to jest dobrze, to jest dobrze zrobione, a jeżeli chcesz poprawić to, to zrób to i to.
1248:  KMM - Zawsze mnie denerwuje strasznie, jak ludzie mówią, że to jest trudne, bo to jest, zauważ, taka reakcja defensywna, że nie chce zmieniać swoich przyzwyczajeń językowych, bo to jest trudne.
1257:  MM - Wiesz, to wymaga wysiłku.
1259:  KMM - No tak i łatwiej jest właśnie sytuować się wyżej w hierarchii, bo to daje nam te małe boosty dopaminowe, że się czujemy ważniej, ale się czujemy ważniej to jest smutne.
1267:  KMM - My się czujemy ważniej przez 5 sekund, a jeżeli będziemy rzeczywiście wychowywać kogoś z empatią i pomagać mu, to możemy się czuć później ważni przez 20 lat, bo będziemy mieć świadomość, że komuś pomogliśmy i to jest o wiele bardziej długotrwałe uczucie dla nas.
1282:  MM - Ta empatia nie jest taka prosta, bo żebym ja Ci mogła dać empatię, to ja muszę wiedzieć, gdzie są moje granice, bo inaczej jest takie ryzyko, że się zlejemy.
1289:  MM - Ja będę oczekiwała, wiesz, wdzięczności.
1291:  MM - To są te matki, które mówią, to ja Ci pieluchę całe życie, a Ty nawet mi szklanki wody na starość, nie?
1296:  MM - Wiesz, bo ja myślę, że my żyjemy też takiej presji empatii, natomiast nikt nam nie mówi o cenie, jaką płacimy za tą empatię.
1303:  KMM - O, tak.
1304:  MM - Prawda?
1304:  MM - I że to jest trochę tak, ja to widziałam na przykład wśród moich przyjaciół, którzy kiedy wybuchła wojna w Ukrainie, wiesz, pomagali tym rodzinom, ale tam było w tle takie oczekiwanie, wiesz, jakiejś takiej wdzięczności.
1315:  MM - Prawda?
1315:  MM - Albo na przykład właśnie w pewnym momencie niektóre sytuacje były bardzo trudne dla niektórych.
1319:  MM - No wiesz, to ja mu, a on mi nawet.
1321:  MM - I teraz jak popatrzysz, gramatyka ci znowu.
1323:  MM - On mi nawet.
1325:  MM - Czyli on powinien czy ona zgadnąć, czego ja chcę.
