Jak komunikować się bez HEJTU? Paulina Mikuła @mowiacinaczej  i @KrzysztofMMaj | 55
834:  PM - Po dziewięciu latach takiego codziennego podszczypywania mnie, takiego wiercenia dziury w brzuchu, ja już w pewnym momencie stwierdziłam, że mam dość.
846:  PM - I to nie jest tak, że ja na przykład się teraz kasuję wszystko, tylko ja sobie daję prawo do tego, hej, ten komentarz mi zrobił krzywdę.
857:  PM - Ja nie będę sobie teraz mówić, to jest tylko komentarz, taka jest twoja praca.
861:  PM - Robisz już tyle lat w tym biznesie, powinna się przyzwyczaić.
864:  PM - Nie.
865:  PM - Ten komentarz mi zrobił krzywdę.
867:  PM - I ja teraz troszkę sobie to poprzeżywam, zakręciło mi się w głowie, ale nie powoduje to, że ja zamykam swoje profile.
875:  PM - Ja działam dalej, bo to jest największe... Wiesz, jak najbardziej wkurzyć hejtera?
880:  PM - Robić dalej swoje rzeczy, więc ja nagrywam dalej.
883:  PM - Ale już po prostu tak nie udaję, że te hejty to tak średnio mnie dotykają, że taki urok tej pracy.
890:  PM - Tylko nie, ja tak staję twarzą w twarz z nimi i się po prostu z nimi czasem rozprawiam.
896:  PM - A czasem przedłamanuję, oczywiście.
897:  PM - Tego pana, który powiedział taka stara...
900:  PM - Z Shadow banowałam, widzisz, a przeszliśmy na hejt, a zupełnie mieliśmy o czym innym rozmawiać.
904:  PM - Ale to jest też ważne zjawisko.
907:  PM - Hejt to też język, bo przecież ludzie też często mówią, po co słowo hejt, to jest nienawiść.
912:  PM - To nie jest nienawiść, bo nienawiść to jest uczucie, możesz nienawidzić w ciszy.
916:  PM - A do hejtu potrzebna jest akcja, musisz komuś napisać właśnie, musisz użyć języka, żeby był hejt.
922:  PM - W każdym razie dostałam taki komentarz, taka stara, jeszcze nie ma dzieci,
926:  PM - I ja napisałam, wiele lat starałam się o dziecko, po ósmym poronieniu zrezygnowałam.
933:  PM - Ale to nie jest prawda.
935:  PM - Tylko ja mu chciałam w ten sposób... Ale zadziałało, tak?
938:  KMM - Performatywnie czy nie zadziałało?
939:  PM - Nie zadziałało, dlatego że ten pan napisał, to może powinna pani skorzystać z Jana Nowaka z Podkowy Leśnej.
945:  PM - Chyba chodziło o tego Zbigniewa, tak?
947:  PM - Ręce, które leczą.
949:  KMM - Nie mam pojęcia.
950:  PM - Więc miałam ochotę napisać.
951:  KMM - A czy...
952:  PM - Ale zamysł był taki, że jak ktoś, okej, to przepraszam, to nie wiem, gdyby tylko wycofał się lekko ze swojej narracji, to ja bym napisała, panie Andrzeju, mam nadzieję, że dzięki temu komentarzowi mojemu pan zrozumie, że takich rzeczy się nie pisze, bo pan nic nie wie o drugim człowieku.
970:  KMM - Otóż to.
971:  PM - A ten komentarz nie ma związku z prawdą.
973:  PM - Ja po prostu nie chcę mieć dzieci.
975:  PM - I sztau na końcu.
976:  KMM - Ale to też jest ciekawe, bo ludzie zakładają zawsze, że jeżeli piszą komentarz, to po pierwsze, osoba z drugiej strony chce to usłyszeć i potrzebuje tego komentarza.
986:  KMM - Nie zawsze to jest prawda.
987:  KMM - Po drugie, dają sobie pełne prawo do tego, żeby ten komentarz był osłonięty takim kokonem nietykalności.
996:  KMM - Ja mam taki zwyczaj, bo ja jestem osobą, która zawsze idzie na udry, na wojnę, oczywiście, w związku z tym ja robię pin of shame.
1004:  KMM - Znaczy najgłupszy komentarz, najdurniejszy, najbardziej plugawy względem mnie, przypinam na górze i mówię ludziom, dobrze, teraz róbcie to, co potraficie najlepiej.
1014:  KMM - I ja się przyłączam i dorzucam jeszcze ogieńka do tego.
1017:  KMM - Dorzucam węgla, podpalam.
1020:  KMM - Oczywiście, że jest to coś, co jest nieakceptowalne dla mnie zupełnie.
1025:  KMM - To znaczy, jeżeli by ktoś się zachował tak w moim domu, to bym go po prostu wyrzucił.
1028:  KMM - Ale to jest mój sposób na to, żeby pokazać, że zjawisko istnieje.
1032:  KMM - I żeby ludzie zdawali sobie z tego sprawę, jaka ekspozycja na nie jest absolutnie wszędzie, bo wystarczy zrobić cokolwiek publicznego i to nie trzeba otwierać tego kanału na YouTubie.
1040:  KMM - Można wrzucić swoje zdjęcie, można napisać jakąś wypowiedź gdziekolwiek.
1044:  PM - Można zostać Miss Rzeszowa.
1046:  KMM - Otóż to.
1047:  KMM - I od razu jest człowiek narażony na tego rodzaju uwagi, których nie chce właśnie.
1051:  KMM - Najzabawniejsza, już się zamykam, rzecz, która mi się spotkała, to gdy anonimowo coś mi pisał, ja go właśnie przypiąłem wtedy, on mi powiedział, że ale przecież ty mnie w tym momencie upokarzysz, pewnie w jaki sposób ja mogę upokorzyć anonimowego człowieka na kanale, który się nazywa Krzysztof M. Majczyk i teagia.
1069:  KMM - Wytłumaczysz mi, w jaki sposób ja mam to zrobić?
1071:  KMM - To jest niesamowite, że to nastawienie właśnie ze strony tego anonimowego komentatora jest takie, że wszelkie prawa i przywileje także właśnie w obszarze językowym się automatycznie należą.
1083:  KMM - I zastanawia mnie zawsze, gdzie może leżeć ta przyczyna, bo ja sobie to diagnozuję po swojemu.
1088:  KMM - Kiedy ty zaczęłaś dostrzegać tego rodzaju właśnie zjawiska, biorąc też pod uwagę twój staż na YouTubie długi i w ogóle zainteresowanie językiem?
1096:  KMM - Kiedy właśnie się to nasiliło?
1097:  KMM - Czy to rzeczywiście są te media społecznościowe, czy gdzieś indziej to widzisz?
1104:  PM - Miałam hejt od początku, dlatego że byłam jedną z pierwszych kobiet, która nie nagrywała na temat kosmetyków, mody, tylko przyszłam i powiedziałam, ja was tutaj będę uczyć.
1114:  PM - Oczywiście żartobliwie machałam tym paluszkiem, ale naprawdę nim machałam.
1118:  PM - I ludzie się odpalili.
1119:  PM - YouTube jest męską platformą.
1121:  PM - YouTube jest męski, a wtedy był, myślę, że w 90% męski w 2013 roku.
1127:  PM - To mogło być zakrzywione, bo gdy kobiety oglądały YouTube'a, to pewnie skąd swoich partnerów, bo jeszcze nie wyrobiły sobie takiego nawyku zakładania własnych kont albo anonimowo.
1138:  PM - Ale był wtedy męski, więc na mnie się rzucili.
1141:  PM - Dlatego ja mam trochę zakrzywiony ten obraz tego, jak to się kształtowało, bo ja od razu miałam straszne historie.
1148:  KMM - No, popatrz, a oficjalna narracja jest taka, że gdybyś tylko kobieta nie nagrywała o kosmetykach, tylko o czymś mądrym, to tak byłoby wspaniale.
1155:  KMM - A jak nagrywa, to wtedy pojawiają się właśnie takie komentarze.
1159:  PM - Co to za łańcuch?
1160:  PM - Jaki ty masz długi łańcuch, że z kuchni wyszłaś na kampus UFU i nagrałaś ten odcinek?
1166:  PM - Co to jest?
1169:  PM - Potrzebny ci mężczyzna, bo się za bardzo gibiesz.
1173:  PM - A ktoś napisał, ona chyba mężczyznę ma, tylko jej nie bije.
1177:  KMM - Boże, straszne.
1180:  PM - jak cię spotkam na ulicy, to ci przypierdolę Japonkiem.
1182:  PM - Przepraszam, ale to jest cytat.
1183:  PM - Dlaczego Japonkiem?
1184:  PM - Nie wiem, ale ja naprawdę się tych ludzi bałam, bo jak mnie zaczepiali, a zaczepiali mnie po pierwszym odcinku już, to nigdy nie wiedziałam, do której grupy należy dany człowiek.
1192:  PM - Czy jak cię spotkam, to cię zaatakuje, czy super subskrybuje kanał.
1198:  PM - Dlatego ja od początku czułam się zagrożona i taka właśnie zaatakowana przez ludzi,
1203:  PM - Ale naprawdę nie mam pojęcia, skąd wzięłam w sobie tę siłę, że ja nagrywałam te odcinki dalej.
1209:  PM - Chyba się czepiałam tych komentarzy, które dawały mi siłę i dmuchały w żagle.
1215:  PM - I jednak czułam, że większość mi kibicuje, tylko ta mniejszość jest głośniejsza.
1222:  PM - Oni po prostu hałasują.
1224:  PM - I nie chciałam...
1228:  PM - Ugiąć się pod wpływem tych hałaśliwych.
1232:  PM - Dlatego nagrywałam, nagrywałam cały czas, tylko starałam się jakoś odnaleźć tej nowej sytuacji życiowej.
1237:  PM - No i też ja bardzo szybko poszłam na terapię.
1239:  PM - Więc to, co się działo w życiu i realnym, i wirtualnym, przepracowywałam sobie na terapii.
1246:  PM - I pewnie to mnie też wzmocniło, chociaż moja republika nigdy nie była fanką mojej działalności internetowej.
1251:  PM - Ale nie pod kątem tego, co ja robię, tylko pod kątem tego, co hejterzy robią.
1255:  PM - I ona też mi tłumaczyła, jak już miałam coś w rodzaju wypalenia zawodowego w 2022 roku.
1263:  PM - I wtedy już do niej nie chodziłam, ale poszłam tylko dać znać, co u mnie.
1267:  PM - I ona powiedziała, pani Paulino, proszę tylko pamiętać, że ten współczesny internet to już nie jest to samo miejsce, do którego pani wchodziła w 2013 roku.
1277:  PM - To nie jest ten sam internet.
1278:  PM - Więc jak pani będzie teraz do niego wracać, bo sobie taką przerwę zrobiłam kilkutygodniową,
1284:  PM - to proszę o tym pamiętać.
1286:  PM - I ona zasugerowała, żebym zajęła się czymś innym.
1289:  PM - Ale skorzystałam też z pomocy psychiatrki i ona mnie tak zastopowała i powiedziała, Pani Paulino, spokojnie.
1296:  PM - Może Pani tam nie wrócić?
1298:  PM - Może Pani wrócić i funkcjonować tak jak do tej pory?
1301:  PM - Może Pani wrócić i zmienić model funkcjonowania?
1304:  PM - Jest dużo opcji.
1305:  PM - Więc na razie odpoczywamy i robimy reset, a potem Pani zobaczy, na co ma Pani siły.
1309:  PM - Więc ja wróciłam i mam wrażenie, że z jakąś taką nową siłą wróciłam i
1313:  PM - Taką większą chyba wiarą w siebie, bo ja też sobie skorzystałam po prostu z leków, które bardzo mnie wzmocniły.
1321:  PM - Jakoś tak zdystansowały do tego wszystkiego i też spowodowały, że odważniej działam w sieci.
1326:  PM - Ja też częściej mówię o tym, co mnie irytuje, na co nie ma mojej zgody, a jeszcze kilka lat temu bym się w ogóle na co nie zdecydowała.
1334:  KMM - Masz wrażenie, że ten język, który jest w internecie versus komunikaty językowe, które też napotykałaś podczas swojej działalności w świecie fizycznym, różnią się?
1345:  KMM - Częściej ci się zdarzało otrzymywać czy widzieć w ogóle tego rodzaju komentarze, które naruszają normy społeczne w przestrzeni internetowej?
1351:  PM - Wydaje mi się, że teraz jest gorzej.
1353:  PM - Wydaje mi się, że ludzie... Na początku myślałam, że to przez pandemię.
1358:  PM - Właśnie moja psycholożka powiedziała, pani Paulino, ta pandemia to jest straszny czas oczywiście, ale niech pani nagrywa, bo tyle rzeczy wokół się zmienia ludziom.
1368:  PM - Jak pani będzie nagrywała, to to będzie taka stała dla tych ludzi i oni się będą czuli spokojniejsi, że okej, ta pandemia, taka niepewność, ale oni nagrywają, więc jeszcze to wszystko tak nie zwariowało.
1379:  PM - Ale reakcje były inne.
1382:  PM - Mnie się wszystko wali, a ty dalej nagrywasz jakby nigdy nic.
1386:  PM - Więc jesteś taka, taka, taka, taka i walili w nas jak w tarczę.
1389:  PM - Ja w pandemie miałam tyle uszczypliwych komentarzy, bo to może nie był hejt, ale czepiali się, tego drobnostek.
1396:  PM - I wiedziałam, że to nie o mnie chodzi, że to chodzi o jakąś frustrację ich.
1399:  PM - Ja też starałam się zrozumieć tych ludzi.
1401:  PM - No jak mnie się wali, straciłam pracę na przykład, nie mogę widzieć mojej chorej mamy, która jest w szpitalu, a ta siedzi i nagrywa i zadowolona, że sobie coś tam kupiła.
1412:  PM - No to jest zapalnik.
1414:  PM - Użyłam ostatnio słowa trigger i skrytykowali mnie, no bo przecież wzwalasz, jest po polsku zapalnik, więc jest ten zapalnik.
1423:  PM - No i ja dostaję i oni walą w nas.
