Jak stworzyć GRĘ WIDEO, która wciąga? @KrzysztofMMaj  i Krzysztof Kluza | 53
103:  KMM - Ciekawie jest być na tym fotelu tym razem.
105:  KK - Tak, no zwróćcie uwagę, że Krzysztof jest na innym fotelu, więc to nie ja będę odpowiadał na pytania.
111:  KK - I w sumie jesteś już trzecim prowadzącym, który jest na tym fotelu, którego przepytuję, więc ja tak naprawdę trochę gromadzę tych prowadzących jak takie Pokemony w Pokemon Go.
124:  KK - A mówię o Pokemon Go, bo to jest gra i dzisiaj będziemy mówić o światotwórstwie w grach.
131:  KK - Z tym, że właśnie, czy taka gra jak Pokemon Go cię interesuje, czy niekoniecznie?
136:  KMM - Nie wiem, za dużo naszej rzeczywistości.
138:  KMM - Znaczy trzeba wyjść z domu o zgrozo i wyjąć telefon i szukać jakichś rzeczy w naszej rzeczywistości.
144:  KMM - To jest koszma, mogę sobie wyjąć Google Maps i szukać najbliższej żabki i będzie to dla mnie to samo.
149:  KMM - W moim przekonaniu, jeżeli świat otworzymy, to ja muszę jednak udawać się do innej rzeczywistości.
153:  KK - Czyli jesteś człowiekiem...
154:  KK - nieistniejących rzeczywistości.
155:  KMM - Tak, absolutnie.
156:  KMM - Tolkien pięknie powiedział, to było w jego wykładach, a później zostało zapisane w eseju Drzewo i Liść i Mitopeia, że my musimy usiec do innej rzeczywistości, niekoniecznie uciekać od naszej rzeczywistości, ale to jedno z drugim jest powiązane, więc ja jestem po stronie takiej pozytywnej formy eskapizmu, żeby uciekać do innego świata i w tym innym świecie możemy znaleźć jakieś problemy, które nas będą interesowały i to też ma tę zaletę,
181:  KMM - że jak się odizolujemy od naszej rzeczywistości, to się wtedy izolujemy od kontekstów politycznych, rasowych, religijnych, wszelakich kontrowersji.
189:  KMM - Możemy rozpatrzyć jakiś problem, który u nas jest bardzo polaryzujący, typu migracja i wziąć sobie to w świecie Westeros i Essos u George'a A. Martina w Pieśni Lodu i Ognie i nagle problem migracji, który polaryzuje i ludzie się nie chcą dogadać, rozważasz na podstawie muru, który jest wybudowany w Westeros na północy,
208:  KMM - Mur miał oddzielać krainy Westeros od innych dosłownie, ale ci inni to są potwory.
213:  KMM - Tylko, że wiadomo, w pomroce dziejów zaniknęły informacje na ten temat, więc ludzie, którzy się zjawili po niewłaściwej stronie muru, automatycznie stają się obiektem ostrzału ze strony nocnej straży, która strzela do wszystkiego, co jest poza murem i już nie patrzy, czy to jest człowiek, czy to jest inny.
230:  KMM - I nagle się robi ciekawie, bo zaczynamy patrzeć na perspektywę migracji z zupełnie innej takiej,
238:  KMM - strony, co więcej, wszyscy jesteśmy porówno wyobcowani, niezależnie od tego, czy czyta Pieśń Lodu i Ognia Białorusin, Polak, Japończyk, Amerykanin, Francuz, tak samo będzie odczuwał ten problem, a w momencie, w którym byśmy chcieli rozważyć problem migracji, nie wiem, w reportażu napisanym przez Polaka na temat tego, co się dzieje na granicy Polski i Białorusi, to nagle się robi wszystko mocno jednostronne, a potem jeszcze weźmiemy drugiego reportażystę, który rozważy sprawę od strony białoruskiej i sobie robi jeszcze ciekawiej, tak?
268:  KMM - I nagle się okazuje, że nie możemy wyjść z tej polaryzacji, więc wbrew pozorom w tym szaleństwie jest metoda.
273:  KK - Tylko czy to nie jest trochę taka ucieczka przed światem?
276:  KMM - Właśnie wydaje mi się, że nie.
277:  KMM - To znaczy może uciekasz przed tym settingiem, który cię nudzi.
280:  KMM - Setting, czyli to miejsce dosłownie, gdzie osadzamy naszą historię.
284:  KMM - I mnie nudzi rzeczywistość jak dzieciak z lat 90.
288:  KMM - Zawsze noszę w pamięci ten obraz Krakowa, który był brudny, zaszczany, paskudny, szary przed wejściem Polski do Unii Europejskiej.
295:  KMM - I ja nie widziałem nic pięknego w mieście.
298:  KMM - Teraz zupełnie się to zmienia, ale trochę został mi ten nawyk patrzenia gdzieś w przyszłość, jak będzie Polska wyglądała za 150 lat.
307:  KMM - Więc jednak nawet jeżeli myślę o naszej rzeczywistości, to zawsze trochę w innej perspektywie.
312:  KMM - I co ciekawe, w bardzo podobny sposób można patrzeć na świat historyczny.
316:  KMM - Świat historyczny też nie istnieje, a jest jednak kupa ludzi, która się interesuje historią, mimo że dosłownie nie mamy dostępu do tego świata.
323:  KMM - Więc wbrew pozorom ta nasza rzeczywistość, ten nasz świat, to jest bardzo mnikły wycinek teraźniejszości, na który patrzymy.
330:  KK - Rzeczywiście.
333:  KK - Z tym światem historycznym mamy do czynienia w takim kontekście, że możemy jakieś filmy historyczne obejrzeć.
338:  KK - Oczywiście niektóre te filmy, na przykład seriale jak The Crown, to tam przedstawiają tę rzeczywistość nie do końca idealną, czy nie do końca tak jak ona miała miejsce, ale jednak jesteśmy w stanie dotrzeć do tej rzeczywistości.
354:  KK - W przypadku gier, jak to wygląda?
357:  KMM - Znaczy, jest wiele oczywiście różnych teorii.
360:  KMM - Jedna, którą ja najbardziej lubię, Henry'ego Jenkinsa z książki Kultura Konwergencji, głosi, że światy muszą mieć okna dostępowe.
368:  KMM - Więc jeżeli ktoś chociażby chce sobie poznać świat, teraz weźmiemy przykład bardziej powszechny, Władcy Pierścieni, a ściśle mówiąc Śródziemia, a ściśle mówiąc Ardę, bo Śródziem jest w Ardzie, no to wtedy ma wiele różnych opcji.
380:  KMM - Może sobie zagrać w grę Middle-Earth Shadow of Moto.
382:  KMM - I wtedy pozna trochę niekanoniczną historię, czyli taką niezgodną z wersją Tolkienowską, ale jednak bardzo interesującą.
388:  KMM - Może sobie zagrać w Battle of Middle-Earth 2, która jest w zasadzie bardzo podobna do obrazów Petera Jacksona, więc może też obejrzeć filmy Petera Jacksona.
396:  KMM - I to raczej Władcę Pierścieni niż Hobbit.
398:  KMM - Może również czytać Sima Lirion, który jest swoim...
401:  KMM - swego rodzaju, powiedzmy, mitologią, tak jak Parandowskiego czy Gravesa, tylko że świata Tolkiena.
407:  KMM - No i może wreszcie przeczytać samego Władcę Pierścieni.
409:  KMM - Więc tych opcji jest strasznie dużo.
410:  KMM - Okien dostępowych do świata jest dużo i te światy można poznać bardzo długo.
414:  KMM - Inny przykład, Warhammer, 40 tysięcy, bardzo znany świat, mimo że nie było
419:  KMM - Chyba nigdy jeszcze serialu, który teraz jest w produkcji podobno amazonowy, który by przybliżył Uwrzesz Świat szerszej publice, no ale jest gra bitewna, figurkowa, która jest kultowa, dużo ludzi ją zna, dużo ludzi maluje modele.
433:  KMM - No dobrze, ale można zapytać, no przecież gdzie ten świat powstaje, skoro ktoś maluje figurki?
438:  KMM - No właśnie, on powstaje w opowieściach, które ludzie snują i te opowieści można poznać na YouTubie, odpalając kanał Lutin9, swoją drogą polecam, Luetin09 się pisze.
448:  KMM - i posłuchać dwu, trzy, czterogodzinnych wideoesejów na temat historii fikcyjnego świata, ale może równie dobrze przeczytać kilkadziesiąt tomów Heresii Horusa, czyli serii książkowej osadzonej w tym sieci.
459:  KMM - Więc też są różne okna dostępowe.
462:  KMM - I trochę jest to podobne do tego, jak my poznajemy nasz świat znowu.
465:  KMM - Ten, w którym my żyjemy.
467:  KMM - No i ja nie muszę jechać do Australii, żeby wiedzieć, że w Australii istnieje.
470:  KMM - Mogę wejść sobie na Google Maps, poogląda,
472:  KMM - Mogę sobie na przykład, nie wiem, obejrzeć serię filmów, mogę posłuchać relacji innych ludzi, mogę zobaczyć sobie obrazy i dokładnie w taki sam sposób konstruuje się światy wyobrażone.
482:  KMM - To znaczy dostarczamy dokumentów autentyfikujących, czy jakiś świadectw, kronik, encyklopedii, map i jak spojrzymy na to, jak rozwijają się fikcyjne światy, to w zasadzie za każdym razem są to...
495:  KMM - te same komponenty, więc trochę patrząc na to z perspektywy technicznej, zgadzam się z tym, co powiedział Mark Wolf kiedyś w książce Building Imaginary World, że świat to są dane, po prostu.
506:  KMM - To nawet nie jest fabuła i opowieść, to jest zbiór danych i te dane możemy na różne sposoby reprezentować, to właśnie mogą być mapy, słowniki, kroniki i tak dalej, ale charakterystyczne jest to, że ten sposób przedstawiania rzeczywistości jest bardzo ścisły, spójny i logiczny.
520:  KMM - W momencie, w którym się pojawiają tam jakieś nieścisłości czy nielogiczności,
524:  KMM - To nie jest to moment na powiedzenie, o, to jest licencja poetika, swoboda artystyczna.
528:  KMM - Nie, nie, swoboda artystyczna to może być gdzie indziej, w sposobie prowadzenia historii, opisu bohaterów i tak dalej, ale też na przykład musimy pilnować, żeby ten bohater był rozpoznawalny.
536:  KMM - No i to jest kazus Galadrieli z Rings of Power.
539:  KMM - Jak ja patrzę na Galadrielę, ja nie widzę Cate Blanchett i to jest dla mnie problem, ponieważ kreacja Cate Blanchett Galadrieli zapadła nam w pamięć i to nie jest to samo, co kreacja Bonda, do której jesteśmy przyzwyczajeni, że co ileś lat zmienia się aktor,
552:  KMM - I Bond ma, to jest w zasadzie pewna idea, to jest zbiór cech, które bardzo łatwo jest przypisać dowolnej osobie.
558:  KMM - Natomiast w przypadku Galadrieli wprowadzono modyfikacje, które godziły w zbiór cech właśnie dla niej krytycznych.
565:  KMM - To znaczy to, że to jest po pierwsze Magini, władza mocą, to jest jedna kwestia.
571:  KMM - Druga kwestia długowieczna, w związku z powyższym też nie będzie pełniać różnego rodzaju głupich błędów, które Galadriela serialowa popełnia.
578:  KMM - I to już nie chodzi o to, że ona inaczej wygląda, tylko to chodzi o to, że zmodyfikowano jej kluczowe cechy, które właśnie godzą w ten zbiór danych, które mamy na temat danego świata.
587:  KMM - Tylko strasznie mało ludzi w ten sposób myśli i to też jest kwestia tego, że mało też firm, korporacji zatrudnia osoby, które się specjalizują właśnie w zarządzaniu tymi danymi.
598:  KMM - A te firmy, które to robią, odnoszą sukcesy.
601:  KK - A jak to jest, czy gry według ciebie są dla każdego, czy to jest jakiś bardzo określony krąg odbiorców gier?
608:  KMM - Wiesz co, powiem ci, że to też jest trudne pytanie o tyle, że to już jest tak szerokie medium i tak zróżnicowane, że już to słowo przestaje mnie na przykład wystarczać, bo zauważ, że jako grę jesteśmy w stanie potraktować cyfrowe szachy, ale równocześnie możemy powiedzieć, że grą jest Fortnite, grą jest Minecraft, grą jest...
627:  KMM - Mydle w Shadow of Mordor, wspomniane przeze mnie wcześniej, duże tytuły jak Wiedźmin, Cyberpunk, które tworzą już gigantyczne wirtualne świata, ale grą też będzie Genshin Impact mobilny.
636:  KMM - I to są zupełnie różne już tytuły w obrębie jednego medium i
642:  KMM - No i to jest trochę tak jak z literaturą, czy z filmami, czy z serialem.
645:  KMM - Trzeba już sobie wybrać swoją niszę i stwierdzić, czy to jest dla danej osoby.
648:  KMM - Jeżeli ktoś na przykład boi się, że gry mają wysoki próg wejścia, bo tu jest jednak interakcja i tak dalej, zawsze powtarzam, że można zacząć od gatunku, jakim jest interactive movie, czyli film interaktywny.
659:  KMM - koncentrujący się na światotworzeniu, na historii, na przykład Detroit Become Human opowiada o świecie niedalekiej przyszłości, no powiedzmy, w której mamy androidy walczące o swoje prawa.
670:  KMM - Więc to jest historia do poznania i atutem właśnie jest to, w jaki sposób jest przedstawiona i to, że możemy się zaangażować w jakichś krytycznych momentach, kiedy podejmujemy jakąś decyzję moralną, tak?
680:  KMM - Czy stajemy po stronie androidów, które zaczynają strzelać do policjantów, więc w zasadzie
685:  KMM - Czy jesteśmy zdrajcami gatunku, jeśli to robimy jako gracz?
687:  KMM - A może właśnie dostrzegamy w nich więcej człowieczeństwa niż w tych policjantach, którzy zaczynają pałować roboty mówiąc, że one w ogóle są nikim i nic nie czują, mimo że myśmy widzieli w poprzedniej scenie, że android uratował dziecko, więc coś jest nie tak.
702:  KMM - I w takiej grze my nie potrzebujemy sprawdzać swoich umiejętności, jak w wysoko wymagających grach typu Dark Souls chociażby, do których absolutnie nie należałoby podchodzić.
711:  KMM - No i to jest troszeczkę taka dyskusja, jaką możemy mieć w odniesieniu do szkolnego nauczania języka polskiego, gdzie zamiast żeby zacząć od atrakcyjnej, dobrej literatury o niskim progu wejścia, mamy pan Tadeusz, nie?
723:  KMM - No to to jest tak, jak ja bym powiedział do kogoś, kto nie grał nigdy w gry wideo, nie wie w jaki sposób sterować,
730:  KMM - Zacznij sobie od gier FromSoftu, gdzie wytrawni gracze 60, 80, 150 razy umierają na pierwszym przeciwniku, nie są w stanie przejść dalej.
739:  KMM - To jest właśnie konieczność też uwzględnienia tych potrzeb użytkownika, tu się pojawia, no i równocześnie zdawania sobie sprawę z tego, jak bardzo, bardzo dużo jest tych gatunków.
748:  KMM - Więc zawsze jakbym rozmawiał z kimś, kto właśnie chce się zainteresować grami, to zwykle zaczynałbym od tej strony, która jest najbardziej przystępna, czyli właśnie opowieści, fabuły, historii.
758:  KMM - i tego, w jaki sposób jest przedstawiona, a dopiero potem zastanawiają się nad tym, czy rzeczywiście to jest trudne, czy nie.
762:  KMM - Myślę, że dzisiaj to jest chyba też coraz wyraźniejsze, że bardzo dużo ludzi gra i w tym momencie taką grupą graczy najbardziej grającą poza mną jest młodzież.
773:  KMM - Tylko 24-32 to jest najbardziej grająca grupa studenci i młodzi naukowcy, wykładowcy, haha.
781:  KMM - Ale tak, rzeczywiście starzeje się nam największa grupa graczy,
786:  KMM - Co też sprawia, że gry siłą rzeczy mogą być w różnych segmentach o wiele bardziej wymagające, bo zakładają to, co Eric Zimmerman nazywa grową erudycją, gaming literacy, kapitał kulturowy, który pozwala nam grać.
798:  KMM - Trochę tak, jak pisarz awangardowy będzie zakładał, ok, jeżeli ktoś zaczyna czytać moją książkę, no to pewnie wcześniej poznał wszystkie inne typy narracji, znudziły mu się już one i teraz chce jakiegoś wyzwania większego.
811:  KK - Biorąc pod uwagę te różnice, że ta grupa jest tak dookreślona, największa grupa graczy, to czy to jest związek z jakimiś pokoleniami, jak myślisz?
821:  KMM - Tak, tak, znaczy pokolenie milenialsów dorosło, ma też pieniądze, więcej zdecydowanie niż powiedzmy miewało w latach 90., kiedy to się zaczynało i pamiętam, że wtedy
834:  KMM - Ja chociażby łaziłem po kolegach i graliśmy wspólnie w Heroes of Might and Magic 3, tam był tryb, który się nazywał gorące pośladki, nie żartuję, hot seats.
842:  KMM - I siedziało się rzeczywiście jak na gorącym krześle i się wypychało kolegę wtedy, kiedy była moja tura.
849:  KMM - Więc wtedy granie było zupełnie inne i nikt sobie nie wyobrażał, że przeciętna cena gry, tak jak dzisiaj, to będzie 300-400 złotych.
856:  KMM - Wiesz, i teraz moglibyśmy na to spojrzeć z bardzo dużą powagą, z perspektywy tego, na ile my, jako państwo, czy instytucje edukacyjne, zapewniamy dostęp do najdroższego medium, ale też najbardziej atrakcyjnego i poznawczo, i najbardziej rozwijającego ludziom, młodym ludziom, nie?
872:  KMM - Dlaczego mamy biblioteki?
874:  KMM - Wszędzie, natomiast my nie mamy mediatek.
875:  KMM - Mimo, że książka jest tańsza, wielokrotnie tańsza,
879:  KMM - od subskrypcji Netflixa, czy od, nie wiem, jakiegokolwiek biletu kinowego, czy właśnie od ceny gry.
885:  KMM - Gry te są najdroższym medium i generują największe zysków na świecie.
890:  KMM - Teraz akurat mamy kryzys w branży gamedevowej, niestety, i to dość spore, i stagnację, więc zobaczymy, jak to będzie wyglądało.
896:  KMM - Natomiast z danych za 2023 wynika, że gry wideo jako segment, powiedzmy tak, najogólniej rozrywkowy, wygenerowały najwięcej dochodów.
904:  KMM - całej działalności artystycznej, to też jest informacja dla humanistów, tak?
907:  KMM - Zamiast żeby humanista płakał, że nie ma pracy, że nie zarabia i supłał tę stóweńkę, tak jak Adaś Miałczyński w Dniu Świra, no to może warto się zainteresować tym, czym się interesuje duża część populacji, prawda?
919:  KMM - I wtedy wnieść tam to, co my możemy na przykład jako kulturoznawcy, jako literaturoznawcy wnieść do nowego medium,
927:  KMM - które pozwala na to, na co nie pozwala żadne inne medium, bo jak zawsze powtarzam, to w grze wideo jesteśmy w stanie przeczytać książkę, obejrzeć film, obejrzeć serial i zagrać w inną grę wideo.
937:  KMM - Czyli to jest najbardziej pojemne medium.
940:  KMM - Od nas tylko zależy, jako projektantów gier chociażby, czy zaprojektujemy to medium faktycznie tak, żeby to uwzględniać.
946:  KMM - Ja kiedyś zrobiłem też taki eksperyment złośliwy na konferencji polonistycznej,
950:  KMM - że przedstawiłem grę Bioshock Infinite jako powieść wybitnego, awangardowego, amerykańskiego pisarza Ken'a Levina, który incydentalnie był głównym projektantem gry.
959:  KMM - I przedstawiłem ją, nie mówiąc słowa na temat rozgrywki i tak dalej.
962:  KMM - Ludzie się na to złapali.
963:  KMM - Pytali mnie, gdzie można przeczytać tę książkę.
965:  KMM - Ja powiedziałem, powiem, aha!
966:  KMM - To była gra.
967:  KMM - Więc to wszystko zależy od nastawienia, od tego, w jaki sposób to przedstawimy.
971:  KMM - Jedną nie ulega wątpliwości.
972:  KMM - To znaczy, medium się bardzo rozwinęło i ja uważam w ogóle, że dzisiaj powinniśmy mówić
977:  KMM - o grach i o wirtualnych światach jako o czymś, co się zaczyna bardzo między sobą różnić, bo ten aspekt ludyczny, rozrywkowy w wielu grach już nawet nie jest zachowany.
987:  KMM - Zresztą ludzie bardzo często się na to łapią i pytają na przykład kogoś, kto chociażby tak jak ja lubi gry związane z wyzwaniem jakimś typu Dax, Sekiro, Elden Ring, teraz gram w Hollow Knighta chociażby i pytają, ale dlaczego w to grasz, skoro się nie bawisz?
1000:  KMM - A tymczasem to nie na tym polega, tak?
1003:  KMM - Wyzwanie bardzo często polega na przezwyciężeniu samego siebie, a nie na tym, że oddaje się płochej rozrywce, jak w przypadku skakanki.
1010:  KMM - A tymczasem nawet polszczyzna trywializuje gry wideo, bo jak mamy w języku angielskim first person shooter, to co mamy w języku polskim?
1017:  KMM - Strzelanka, jak skakanka, nie?
1019:  KMM - Aha.
1020:  KMM - I to jest znaczące.
1021:  KMM - Ja jednak mam to ukąszenie polonistyczne, więc zawsze będę patrzył też na to, jak to w języku jest przedstawiane.
1027:  KMM - I myślę, że to w jakiś sposób używamy języka.
1029:  KMM - Też wiele mówi o tym, jakie było w Polsce podejście do gier.
1032:  KMM - To się oczywiście zmienia, ale właśnie tak jak powiedziałeś, to jest kwestia czysto pokoleniowa.
1035:  KMM - W tym momencie też jest, myślę, bardzo ciekawe to, żeby zastanowić się nad tym, na ile generacja Z i alfa będzie tak samo grała jak milenialsi właśnie w wieku 30-40 lat.
1045:  KMM - Zobaczymy, jak to się będzie rozwijało.
1048:  KMM - Ja na razie nie zaobserwowałem żadnych konkretnych też danych, które mógłbym przekazać tutaj.
1053:  KMM - Mogę tylko powiedzieć, że myli się ten, kto myśli, że jeżeli rozmawia się z 20-latkiem, czy z 18-latkiem, czy z 21-latkiem i mówi się, no tam Deus Ex, Age of Empires i rzuca się te wszystkie tytuły, które były ważne dla mojej generacji, to że ludzie to znają.
1068:  KMM - Absolutnie nie znają.
1069:  KMM - Więc pojawia się dokładnie ten sam problem w przypadku gier, co się pojawił dawno temu w przypadku książek.
1073:  KMM - Prędzej czy później będziemy znowu wracać do tej naszej nieszczęstej dyskusji na temat kanonów, które nie mają absolutnie żadnego sensu, bo po prostu każda generacja, każde pokolenie ma swój zestaw lektur, filmów, seriali, gier, które są dla niego ważne i formowanie kanonu cały czas z tej perspektywy przeszłej jest błędne.
1091:  KMM - Nieprzypadkowo to się dzieje tylko u nas i w innych krajach posowieckich, że kanon jest narzucany przez państwo
1096:  KMM - W innych krajach się to robi dynamicznie i co roku.
1099:  KK - Natomiast gry nie wchodzą, przynajmniej na razie, do tego kanonu.
1102:  KMM - No czym mamy?
1103:  KMM - This War of Mine jest, tak, jako lektura nadobowiązkowa, ale od razu spieszę z dopowiedzią, że This War of Mine jest grą, która porusza temat wojny, powstania, brud, smród, ubóstw.
1116:  KMM - o cierpieniu, więc pasuje, nie?
1117:  KMM - Idealnie naszego kanonu martyrologicznych lektur i ładowania po naszej dumie narodowej i mówienia o tym, że no tak, że powstajesz, zawsze źle było, no Boże, no.
1129:  KMM - A swoją drogą, tak poważnie mówiąc, Wiesław Mań naprawdę nie jest grą, którą należy polecać na początek, bo to jest gra, która w bardzo ostry sposób porusza problem samobójstwa, śmierci cywili, wojny właśnie pokazywanej od strony bardzo okrutnej też, więc jakby ktokolwiek to pomyślał, że to jest świetna lektura dla 17-latków, pokazał tylko jedno, to znaczy, że w to nie grał.
1153:  KK - powiedz mi, robisz kursy dotyczące światotwórstwa, nawet jeden jest otwarty, prawda?
1160:  KK - Tak, tak, jest na platformie OpenAGH.
1162:  KK - Każdy de facto może w ten kurs wejść.
1166:  KK - Czy to jest tak, że taki kurs, czy światy tworzyć może każdy?
1170:  KK - Czy to jednak jest pewna sztuka i trzeba mieć talent, trzeba mieć jakieś dodatkowe umiejętności?
1178:  KK - Czy to jest jednak takie wytwórstwo, którego można się nauczyć?
1183:  KMM - Jeszcze dwa lata temu bym Ci powiedział, że pewnie trzeba mieć do tego jakieś kwalifikacje literackie, artystyczne i faktycznie jak zaczynałem na naszej uczelni kursy ze światotworzenia, to studenci, zwłaszcza z wydziałów technicznych, bardzo słusznie i rezolutnie mówili, no ale...
1200:  KMM - byśmy nie przyszli na AGH po to, żeby rysować.
1202:  KMM - Majmy rację, tak?
1204:  KMM - Więc w momencie, w którym się pojawiły narzędzia AI-owe, to nagle się okazało, że możemy zająć się faktycznie tym światotworzeniem właśnie z takiej technicznej, ciekawej perspektywy zarządzania dużymi grupami, zespołami, klasterami danych.
1218:  KMM - No bo tak, załóżmy, że
1220:  KMM - sztuczna inteligencja, np.
1222:  KMM - GPT-4 w połączeniu z Leonardo, albo Dalim, albo Mid Journey, generuje nam bardzo ładne karty postaci.
1229:  KMM - Jest jakaś postać i obok jest opis tej postaci.
1232:  KMM - To nawiasem mówiąc, da się zrobić tak, żeby jedno z drugim było sparowane.
1235:  KMM - Zresztą studenci właśnie w zeszłym roku na warsztatach światotwórczych, które robiłem w uczelnianym bazie przymiotów obieralnych, mieli taką strategię, że cały czas iterowali te opisy, żeby była rzeczywiście dobra grafika i później na podstawie tej grafiki mówili, że chcą w podobnej stylistyce innych grafik, więc dzięki temu zachowywali spójność.
1255:  KMM - No dobrze, ale jak już masz wygenerowanych, powiedzmy,
1257:  KMM - N opisów postaci, n kart postaci, n grafik, n lokacji, n opisów lokacji, n przedmiotów, n opisów przedmiotów, no to teraz patrzysz na ten zbiór danych i tu się zaczyna zabawa, no bo musisz zacząć tym zarządzać.
1271:  KMM - Czy w tej lokacji będą te postaci?
1274:  KMM - a czy one będą do niej pasować, a jeżeli będą te postaci, to czy one znajdą tam jakiś przedmiot, czy ten przedmiot jest istotny, gdzie to będzie się działo na mapie, a okej, jeżeli pojawi się ta mapa, to za tą mapą też coś jest poza jej granicami.
1285:  KMM - Każda mapa ma swoje granice i możemy w nieskończoność praktycznie te granice przesuwać, tak jak w naszym wszechświecie, no i tak samo jest w fikcyjnym świecie.
1293:  KMM - To nie jest tak, że projektujesz sobie mapę jednego miasta na przykład, powiedzmy, że to jest dla uproszczenia Kraków, no i teraz co będzie, jeżeli gdzieś w opisie postaci albo w dialogu pojawi się wzmianka
1302:  KMM - Po Warszawę, nie?
1305:  KMM - Z pozdrowieniami dla wszystkich, którzy też lubią te żarty na linii Kraków-Warszawa.
1311:  KMM - No i co?
1312:  KMM - Nagle się okazuje, że musimy mieć gdzieś dane na temat stolicy tego kraju.
1317:  KMM - Czyli pojawia się problem kolejny.
1319:  KMM - Jeżeli tworzymy fikcyjny świat, to nie jest tak, że my tworzymy jedno miejsce.
1323:  KMM - My tworzymy tak naprawdę siatkę, sieć połączeń między różnymi miejscami i to trzeba wtedy przełączyć się na zupełnie inny tryb myślenia.
1332:  KMM - Tak nie myślą pisarze i tak bardzo rzadko myślą artyści, którzy wykonują na przykład grafiki koncepcyjne, więc można się nauczyć czegoś unikatowego, jeżeli chodzi o zarządzanie dużymi zespołami danych, wyciąganie wniosków i przede wszystkim łączenie ich w jakieś sensowne sieci.
1348:  KMM - Takie dobre ćwiczenie, które ja zawsze proponuję ludziom, to jest spojrzenie właśnie na mapę
1352:  KMM - zastanowienie się, jak zachęcić użytkownika do tego, żeby odwiedził wszystkie miejsca.
1357:  KMM - I teraz tak projektujesz park przecież.
1360:  KMM - Dobrze.
1360:  KMM - To znaczy dajesz ludziom standardowe kazu z UX-owy, tak?
1365:  KMM - Babasz, w jaki sposób ludzie będą chodzili, czy będą zainteresowani tym pagórkiem, czy będą tej strony, później sobie robisz alejki i tak dalej, i tak dalej.
1372:  KMM - Ale projektowanie tego miejsca jest ważne właśnie z perspektywy tego, żeby zobaczyć, jakie będą przyzwyczajenia użytkowników i czy jesteś w stanie zachęcić użytkownika do tego, żeby udał się w jakieś miejsce.
1381:  KMM - No i dlatego właśnie na warsztatach bardzo często proszę ludzi o to, żeby zastanowili się, no dobrze, projektujecie to miejsce, ale jak ono ma funkcję?
1389:  KMM - Czy ono po prostu ma być ładne?
1391:  KMM - Bo jeśli tak, to bez sensu.
1392:  KMM - Czy też coś tam ma się znaleźć?
1394:  KMM - Jakie to ma znaczenie z perspektywy przyszłego potencjalnego gracza?
1399:  KMM - Jakie to jest znaczenie też z perspektywy świata?
1401:  KMM - Jeżeli jest jakieś miasto, to niech ono ma dzielnicę przemysłową, ale tak, że jeżeli będzie miało slumsy, to automatycznie musimy się zastanowić, okej, tutaj jest jakieś rozwarstwienie społeczne.
1410:  KMM - A jeżeli będzie to futurystyczne miasto, w którym nie ma biedoty,
1413:  KMM - No to też jest to jakaś interesująca informacja z perspektywy z kolei tego, jak tam funkcjonuje polityka, zarządzanie całą metropolią, finanse, ekonomia.
1423:  KMM - W tym momencie zaczyna się okazywać, że ta dyskusja na temat projektowania świata jest praktycznie nieskończona.
