Czy da się naprawić polski system edukacji? - Krzysztof M. Maj - Rozkwit Skrzydeł
🔗 https://www.youtube.com/watch?v=dcWd-Napm5U
KMM (Krzysztof M. Maj)
PO (Piotr Ogłaza)

0:  PO - Witam wszystkich w pierwszym podcaście projektu Rozfit Skrzydeł.
116:  KMM - Podam szybki przykład z mojej dyscypliny, czyli tej, której mam doktorat z literaturoznawstwa, mianowicie książki, powieści.
125:  KMM - Przeciętne założenie jest takie, że nikt nie czyta.
128:  KMM - Natomiast problem polega na tym, że to założenie jest przyjmowane zanim się spyta ludzi, czym się interesują.
133:  KMM - No i to jest podstawowa kwestia.
135:  KMM - Zawsze jak ktokolwiek pyta mnie, czy mam mu jakąś książkę do polecenia, to ja baranieję i pytam, no ale...
140:  KMM - No ale czym się interesujesz?
141:  KMM - Powiesz mi coś o sobie, to ja ci wtedy coś polecę.
144:  KMM - Muszę wiedzieć, jakie lubisz settingi, jaką estetykę, nie wiem, czy to jest bardziej historyczne, czy bardziej naukowe, to wtedy albo fantasy będzie, albo science fiction, a może kryminał, to wtedy jeszcze coś innego, a może w ogóle nie książka, tylko gra.
158:  KMM - bo prawda jest taka, że z tego też zaczynamy mieć potężne zaległości, bo każdy medium się starzeje i wiesz, nagle się okazuje, że z takiej rozmowy prostej wychodzi ci, że nie potrzebujesz mieć kanonu lektur.
168:  KMM - No i takich przykładów jest oczywiście bardzo dużo, ale w moim przekonaniu one wynikają z tego, że za mało jest tej rozmowy.
175:  KMM - Jest dużo nauczycieli, którzy osiągają sukcesy, to są najczęściej ludzie, którzy dobrze znają swoich uczniów, mają na to czas, nie zajmują się bzdurami w rodzaju
184:  KMM - robienie na przykład 15 pipszterionów, kartkóweczek i teścików, tylko przeznaczało to raczej na to, żeby w tym czasie pomóc indywidualnie ludziom, albo porozmawiać z nimi, dowiedzieć się czym się interesują, albo wiesz, wyłuskać jakieś talenty i skierować na olimpiadę, albo wręcz przeciwnie, powiedzieć komuś, słuchaj, bo masz tutaj fach w ręku, nie idź na studia, tylko zajmij się tym.
206:  KMM - To jest rola człowieka, która jest nie do zastąpienia.
210:  KMM - Wszystkie inne, niestety, taka smutna prawda,
212:  KMM - Obszary działalności nauczycieli, te, które są zuniformizowane czy zalgorytmizowane, a więc właśnie testowanie, sprawdzanie wiedzy i tak dalej, to niestety może przejąć z łatwością dowolny duży model językowy.
226:  KMM - I dla mnie było przerażającym doświadczeniem to, jak mi ludzie po raz pierwszy powiedzieli, że czat GPT był dla nich bardziej empatyczny niż nauczyciel, bo mnie to przeraziło dosłownie, bo on nie jest empatyczny.
237:  KMM - Na tym rzecz polega.
238:  KMM - On nie jest empatyczny.
239:  KMM - On jest po prostu algorytmem, który przewiduje mnóstwa różnych wariantów, jaka odpowiedź będzie najbardziej pasowała do tego szeregu, który mu się ładnie teraz układa i koreluje z systemem, który sobie zastał wcześniej.
251:  KMM - Więc to nie jest empatia.
253:  KMM - I empatii nie jesteśmy w stanie w żaden sposób zastąpić.
255:  KMM - Dlatego ja jestem właśnie zdecydowanie po stronie przemodelowania myślenia o szkolnictwie w kierunku rozwoju indywidualnego, coachowania, tutoringu.
267:  KMM - Na tyle, na ile jesteśmy w stanie to zrobić.
268:  KMM - Oczywiście trudne jest to na skalę masową w szkole, ale to nie znaczy, że to jest niemożliwe, bo są takie przypadki i miałem szczęście poznać takich ludzi.
276:  PO - No tak, nawet prawda jest taka, że tak naprawdę jak już znajdą się nauczyciele, którzy chcą pomagać uczniom, chcą jakby po prostu oddać z siebie wszystko w tym zawodzie, to i tak podstawa programowa w sumie ucina im skrzydła,
293:  PO - Co z tego, że np.
293:  PO - nauczyciel polskiego chce sobie omówić na przykład Dune, jak ma jakiś, nie wiem, Mickiewicza do przeanalizowania?
300:  KMM - Ale absolutnie, bo to jest bardzo ważna sprawa, ponieważ wybitni ludzie zawsze są krępowani przez system, więc wybitnym nauczycielom jest ciężej.
310:  KMM - Tak samo problem jest też ludziom, którzy sobie nie radzą na przykład.
313:  KMM - To są dwie grupy, które najbardziej potrzebują edukacji, taka jest prawda, a są najbardziej przez nią dyskryminowane.
320:  KMM - Natomiast jeżeli ktoś...
322:  KMM - jest na tej krzywej gausie, gausa w tym wymiarze przeciętnym, tak, no to wtedy on sobie jakoś poradzi, tak, dostosuje się.
329:  KMM - Ja zawsze zazdrościłem swoją drogą ludziom, którzy są tak, mówimy o nich przeciętnie, a w zasadzie powinniśmy powiedzieć, że są jeszcze jakby nieukształtowani, albo mają bardzo dużo różnych zainteresowań, albo są bardziej elastyczni, mają więcej kompetencji społecznych, może są...
341:  KMM - ulegliwi, są w stanie przystać na różnego rodzaju kompromisy.
345:  KMM - Milion różnych opcji jest, ale to jest ta rzesza ludzi, którzy są w stanie się dostosować i nie rozumieją bardzo często problemu.
351:  KMM - Wiesz, typ, ok, chodzę do pracy od 8 do 16, nie przeszkadza mi to.
356:  KMM - Ja bym oszalał.
357:  KMM - Ja nie jestem w stanie w ten sposób funkcjonować w ogóle.
359:  KMM - Próbowałem, żeby nie było, ale nie jestem w stanie.
362:  KMM - Dlatego też wydaje mi się, że w takiej sytuacji
366:  KMM - Gdy dwie grupy, które naprawdę najbardziej potrzebują tej indywidualizacji kształcenia, najbardziej też cierpią i po stronie uczniów, i po stronie nauczycieli, to mamy do czynienia z problemem.
375:  KMM - Oczywiście osobną kwestią jest też to, że likwidacja jakichkolwiek minimów programowych jest o tyle skomplikowana, że państwo trzyma łapę na egzaminach różnego autoramentu.
384:  KMM - Tylko, że problem cały czas polega na tym, że
387:  KMM - Matura nie jest rozpoznawana przez pracodawców jako, wiesz, cokolwiek, co coś znaczy, a powinna być, a jest raczej traktowana jako bilet wstępu na studia, którym nie powinna być, bo studia nie są dla wszystkich, tylko naprawdę powinny być dla ludzi, którzy, wiesz, mają czas, pieniądze, to jest też najważniejsze, o tym się nie mówi, pieniądze i siły i determinacje, żeby, wiesz, poświęcić pięć lat życia na to, żeby...
410:  KMM - rozwijać się w jakimś kierunku, który może okazać się totalnie niezgodny np.
415:  KMM - z twoimi zainteresowaniami albo o nierentownym na rynku pracy, to się też bardzo często zdarza.
421:  KMM - To są trudne decyzje i nie wszyscy powinni być zmuszani do tego, żeby je podejmować, a w tym momencie mamy cały czas rosnący odsetek ludzi aplikujących na studia.
431:  KMM - Teraz świeżo pracowałem nad odcinkiem, wyjdzie dzisiaj o akademikach.
436:  KMM - I od lat 90. liczba akademików nie wzrosła.
439:  KMM - Pokrywa jakieś 14% zapotrzebowania studentów.
443:  KMM - Natomiast liczba studentów wzrosła.
445:  KMM - Liczba uniwersytetów nowo wybudowanych też wzrosła, a liczba pracowników naukowych uczących nie.
451:  KMM - Z czego wynika, że mamy sztuczne pompowanie tego zapotrzebowania z tego względu, że uczelnie dostawały dotacje od państwa.
459:  KMM - To jest system naczyń połączonych.
460:  KMM - To też strasznie ciężko o tym rozmawiać i wszystkie rozmowy o edukacji zmieniają się w festiwal dygresji, ponieważ to są naczynia połączone.
467:  KMM - Wszystko się łączy ze wszystkim.
468:  KMM - Podstawa programowa łączy się z maturą, matura się łączy z ocenami, oceny się łączą z presją wywieraną przez nauczycieli, którzy nie umieją inaczej motywować ludzi.
475:  KMM - Motywacja zewnętrzna z kolei wiąże się cały czas z zanikającym poczuciem własnej wartości, bo jak cię cały czas motywuje ktoś zewnętrznie, daje ci albo oceny pozytywne, albo negatywne i w którymś momencie takiego człowieka brakuje, to ty zostajesz z niczym, bo nikt ci nie da takiej oceny już pozytywnej czy negatywnej, nikt ci nie powie, czy robisz dobrze, czy robisz źle i nie masz wykształconej motywacji wewnętrznej.
494:  KMM - I musisz nad tym pracować sam.
496:  KMM - Więc to są rzeczy, które się ze sobą łączą w którymś momencie i dlatego moim celem jest zachęcanie ludzi do tego, żeby zaczęli o tym myśleć jak najwcześniej, nieważne czy są uczniami, czy są nauczycielami.
506:  KMM - Either way wygramy, jeżeli będziemy sobie wcześniej uświadamiać tego rodzaju problemy i po prostu słuchać siebie i swoich potrzeb.
514:  KMM - Wydaje się proste, ale jest trudne.
517:  PO - W sumie to masz rację.
518:  PO - Jakby ja, jeśli chodzi o te szkolnictwo wyższe, to ja teraz siedzę głównie w tym takim, można powiedzieć, zagranicznym rynku, zagranicznym rynku tych studiów i na przykład jakby tam, to dosłownie, żeby się dostać na studia, nie dość musisz mieć fajne CV, które poprzedzone różnego rodzaju społecznymi działaniami, musisz, biorą trochę pod uwagę właśnie też oceny,
543:  PO - czy tam może być egzaminy i też różnego rodzaju właśnie list motywacyjny.
548:  PO - W Polsce jesteś tak naprawdę cyferkami od jednego do stu.
554:  KMM - Niestety, wiesz, mogę powiedzieć z perspektywy człowieka, który egzaminował na studia.
557:  KMM - Ludziom się wydaje, że egzamin na studia to jest, wiesz, strasznie stresująca rzecz.
562:  KMM - Nie, to trwało 10 do 15 minut rozmowa z kandydatem, która właśnie...
567:  KMM - targetowała te obszary, o których wspomniałeś, jakie są motywacje studiowania, jaki cel, ewentualnie dopytywaliśmy o to, właśnie nie wiem, czego się człowiek uczył wcześniej i dlaczego akurat ten kierunek studiów.
578:  KMM - Tam zadawało się jasna sprawa, jakieś pytania wiedzowe, tylko że wiesz, lista tych pytań była dostępna powszechnie na stronie.
586:  KMM - pytań, dosłownie, tych, które dostaniesz na egzaminie.
588:  KMM - Więc to jest zupełnie inne od matury.
590:  KMM - Ja bym powiedział, że to jest o wiele łatwiejsze od matury.
592:  KMM - I co więcej, wiesz, jak masz do liczby dostępnych zagadnień, wszyscy sobie myślą, że to jest łatwe, jak każdy się nauczy na pamięć.
598:  KMM - That's the fucking point.
600:  KMM - Każdy się nauczy na pamięć i ty wybierasz tych, którzy się nie nauczyli na pamięć i daje ci oryginalne odpowiedzi.
604:  KMM - Nie sprawdzasz ich wiedzy wtedy, tylko sprawdzasz kreatywność, sprawdzasz nietypowe myślenie poza pudełkiem i wiesz, okej, ten człowiek się nadaje na studia, a jeżeli ktoś wpruł na pamięć i recytuje,
615:  KMM - To może się po prostu nadaje do tego, żeby sobie zrobić korespondencję, nie jakiś, wiesz, konkretny kurs z konkretnej dziedziny w jakiejś szkole wyższej czy szkole zawodowej, super sprawa, ale na studiach musisz sam się zajmować sobą i sam się rozwijać.
628:  KMM - To jest strasznie ciężkie, jeżeli ktoś ma takie oczekiwanie, że okej, to ja dostanę listę rzeczy, wpruję sobie na pamięć i zakłuję, zdam, zapomnę.
635:  KMM - Niestety, ponieważ było takie oczekiwanie latami, bardzo dużo uczelni takich nowych, które wypoczekowały w Polsce, one po prostu się dostosowały do zapotrzebowania rynkowych.
643:  KMM - Jak ludzie tego chcą, to my to będziemy dawać.
645:  KMM - I teraz jest afera na pół Polski z kolegiem Kumanum, zwanym złośliwie Tumanum, gdzie kupowali politycy certyfikaty.
652:  KMM - Ale wiesz, ja na to patrzę z uśmiechem, bo ja widziałem praktyki kupowania certyfikatów już
657:  KMM - od lat, tylko że to było kupowanie za trochę inną walutę.
660:  KMM - Myśmy się po prostu umawiali, że my wiemy, że ten dyplom nic nie znaczy, ty go dostajesz, ty nam dowozisz rzeczy, żebyśmy mogli w papierach pokazać, że jest wszędzie 100% i wszyscy są zadowoleni.
671:  KMM - No i to też jest fatalny układ, bo on do niczego nie prowadzi i w zasadzie marnuje tylko czas ludziom, bo na początku będziesz zadowolony,
679:  KMM - Jasna sprawa, każdy jest zadowolony, jeżeli ma prościej w życiu na początku, ale potem się orientujesz, że masz przerąbane.
684:  KMM - I szybki przykład znowu z mojego doświadczenia.
686:  KMM - Miałem parę takich zajęć, które były proste na studiach, że patrzyło się na nie, zakujemy, zdamy, nie będzie problemu.
695:  KMM - I wiesz na czym polega dowód?
696:  KMM - Pierwsze zajęcia, które miałem do poprowadzenia sam już, to były właśnie zajęcia z jednego z tych tematów.
702:  KMM - Jak ja wtedy przeklałem to, że ja nie podszedłem do tego sam, na własną rękę, tylko stwierdziłem, a ja się nauczę i zdam.
709:  KMM - O Boże, jak ja to bardzo przeklałem.
710:  KMM - I nigdy nie wiemy w zasadzie, czy nam się coś takiego w którymś momencie nie przyda, więc wiesz, takie pójście na skróty, to jest trochę traktowanie, i rzeczywiście w tym momencie powiem jak nauczyciel, nieuczciwie samego siebie, ale nie dlatego, że wiesz, że ściągasz, tylko dlatego, że
724:  KMM - Nie zastanawiasz się nad tym, czy to, czym się chcesz teraz zająć, faktycznie ci się z takiej egoistycznej pobudki do czegoś przyda.
731:  KMM - Ja bardzo egoistycznie podchodziłem do edukacji.
732:  KMM - Jeżeli widziałem, że jest jakiś kurs przedmiotu czy coś takiego, zastanawiałem się, ok, co ja z tego będę miał.
737:  KMM - Jeżeli stwierdzę, ok, ja nic z tego nie będę miał i stwierdzę to uczciwie, to istnieje niezerowe prawdopodobieństwo, że to samo pomyślę za 20 lat.
744:  KMM - Ale wiesz, jak tak czujesz, że w sumie nie wiem, ale pójdę na skróty, to bardzo często się może okazać, że później cię to ugryzie w życiu.
752:  KMM - Jestem
753:  KMM - Ten kłopot i problem.
754:  KMM - Więc jak ludzie mówią mi, że jestem za na przykład właśnie likwidacją matur i za wprowadzeniem egzaminów wstępnych, no to trochę nie dopowiadają tego kontekstu.
762:  KMM - A ten kontekst jest fundamentalnie istotny, ponieważ matura współczesna, ta, która jest w tej chwili, z mojej perspektywy, miał ja do niej podejść we własnej dyscyplinie, ona jest dla mnie trudniejsza do napisania niż zdanie egzaminu na studiach wyższych z dokładnie tej samej dziedziny.
777:  KMM - I to nie jest normalne i tak nie powinno być.
780:  KMM - Oczywiście moje predyspozycje są bardzo indywidualne, ja bardzo nie lubię testów, nie umiem podpasowywać się pod schemat, no ale hej, takich ludzi też poszukuję się, zwłaszcza na studia humanistyczne, którzy nie podpasowują się pod schemat i którzy chcą być w ten sposób otwarty.
795:  PO - Niestety matura z polskiego rozszerzonego im w tym nie ułatwia.
801:  KMM - Ja mogę tylko cały czas powtarzać, że kiedyś było coś takiego jak temat wolny i to było w czasach mojej baby, więc to już było dość dawno.
810:  KMM - Temat wolny polegał na tym, że dostawałeś pustą kartkę i miałeś pisać.
816:  KMM - Tylko, że jest jeden oczywiście haczyk.
818:  KMM - Haczyk polegał na tym, że masz pisać, ale w sposób, który będzie sprytnie ujawniał ile wiesz.
824:  KMM - Więc wiesz, to jest ciekawe, bo, no tak, czyli użyję jakichś terminów, nie wiem, narrator, świat przedstawiany, cokolwiek, ale równocześnie coś tam powiesz o oświeceniu, coś o czymś innym, wiesz, dobierzesz sobie tak ten temat, żeby jednocześnie obsługiwał twoje zainteresowanie, nie wiem, weźmiesz sobie animkę Fate Stay chociażby i nagle pociągniesz wątek króla Artura i legend Arturiańskich.
843:  KMM - I tutaj już w tym obszarze legend arturiańskich będziesz wykorzystywał te konteksty, które są powiedzmy w programie.
849:  KMM - Natomiast ten obszar z animki to jest ta nowa rzecz, którą ty dowozisz, czego nie zna egzaminator.
854:  KMM - To jest superata dla niego i dla maturzysty.
858:  KMM - Żeby było jeszcze śmieszniej, ludzie, którzy ripostują na to i mówią, no tak, ktoś mógłby sobie coś wymyślić.
862:  KMM - Ja z kolei to kontruję jednym argumentem.
864:  KMM - Jeżeli ktoś jest w stanie na maturze wymyślić utwór artystyczny i zanalizować go i przedstawić go tak, jakby on...
870:  KMM - istniał faktycznie i zrobić to przekonująco, to znaczy, że ma wybitne umiejętności językowe i argumentacyjne i będzie świetnym obywatelem, bo do tego powinna być natura.
879:  KMM - Masz sprawdzić, czy ten człowiek się nadaje do funkcjonowania w państwie, w tych obszarach, które uznajemy za krytyczne.
885:  KMM - Liczenie, mówienie, argumentowanie, pisanie, tego typu rzeczy.
889:  KMM - I ewentualnie
890:  KMM - Ewentualnie z perspektywy państwa jakieś rzeczy wiedzowe, one zwykle są z obszarów historii i kultury po to, żeby wiedzieć, że człowiek, który jest Polakiem wie, co to w ogóle znaczy.
900:  KMM - Bardzo ogólna sprawa.
901:  KMM - Natomiast możemy zacząć dyskusję, czy rzeczywiście krytyczną umiejętnością dla każdego obywatela jest umiejętność chociażby wymienienia wszystkich elementów ameby czy pantofelka.
911:  KMM - Ja już uważam, że nie.
913:  KMM - Możemy się zastanawiać, czy krytyczna umiejętność jest zdolność do wymienienia wszystkich rzek w Europie.
917:  KMM - Ja uważam już, że nie i tak dalej.
918:  KMM - Są takie wiedzowe rezidua i pozostałości po poprzednim systemie, w którym mieliśmy jeden magazyn pamięciowy w postaci naszego mózgu.
927:  KMM - No i ludzie polegali bardzo na tym magazynie pamięciowym, co też jest swoją drogą fatalne.
933:  KMM - Bo jak za bardzo polegasz na swojej pamięci, jesteś nauczycielem, to możesz różnego rodzaju byki popełniać, bo ludzie się mylą i na tym to polega.
940:  KMM - I ufanie swojej pamięci nie jest zbyt dobrą strategią.
943:  KMM - Wiele razy mi się zdarzało łapać ludzi, którzy mieli świetną pamięć na błędach przez to, że po prostu miałem telefon i zrobiłem szybki fact checking.
953:  PO - No tak, no możemy powiedzieć, jeśli chodzi o system rekrutacji na studia, jest on bardzo nieidealny.
963:  PO - A na przykład też ostatnio wspominałeś o tym, że kanon lektur powinien zostać usunięty i powołałeś się na pewno, że tylko w krajach sowieckich takowy pozostał.
977:  KMM - Po sowieckich, tak.
978:  KMM - W krajach byłego ZSRR jest kanon, który jest narzucany przez państwo, bo to trzeba dopowiedzieć, i na Węgrzech również.
985:  PO - Tak, i to wspominając, że to jest element, żeby teraz wyjść poprawnie politycznie, lekkiego takiego propagowania, czy tam można powiedzieć nakładania poglądów uczniom przez system, czy tam rząd.
1001:  KMM - Wiesz, to tak, bo możesz bardzo łatwo wtedy manipulować tym, co nauczyciele mogą mówić, a co nie.
1007:  KMM - Co wychodzi bardzo oddolnie i znowu rynkowo, bo z jednej strony masz oczywiście ten narzucony przez dany rząd program kulturowy,
1018:  KMM - który jest częścią kanonu lektora, ale z drugiej strony masz firmy, które przygotowują opracowania.
1023:  KMM - No i jaki jest cel firmy, która przygotowuje opracowania?
1027:  KMM - No, żeby ludzie je kupili, a kiedy będziemy ludzie je kupować, będą zdawali egzaminy, które są przygotowywane przez państwo, a kiedy będą zdawali te egzaminy, będą pisali to, co państwo chce.
1037:  KMM - Więc wiesz, czyli nie ma niby propagandy, urzędu propagandowego, natomiast jest coś innego, są mikrosystemy, które ze sobą współpracują i prowadzą
1045:  KMM - do bardzo podobnego rezultatu, co nie jest pożądane z perspektywy człowieka.
1049:  KMM - Ale to jest nawet, zostawmy ten temat polityczny.
1051:  KMM - Problem jest zupełnie inny.
1052:  KMM - To znaczy, to są stare rzeczy, które się do niczego nie przydają ludziom współcześnie.
1056:  KMM - Jeżeli chcesz kogoś zainteresować kulturą, to musisz się zastanowić przede wszystkim, po pierwsze, jakie są jego zainteresowania, a po drugie, czy rzeczywiście rzecz, którą polecasz, jest wartościowa w różnych polach.
1067:  KMM - To nie chodzi tylko o to, że o, Dostojewski jest wartościowy, ponieważ mamy lekcje z języka polskiego, a on jest Rosjaninem.
1074:  KMM - To już jest dziwne, ale zostawmy ten aspekt.
1078:  KMM - Jeżeli już myślimy o tej zbrodnikarze, no dobrze, czyli jest to kryminał psychologiczny.
1084:  KMM - Aha, czy mamy jakieś współczesne kryminały psychologiczne, które mogłyby nas nauczyć czegoś więcej ponad robienie portretu psychologicznego?
1091:  KMM - Jest zabójstwo Rogera Akrojda, Agaty Christie, które przy okazji cię uczy w jaki sposób napisać, teraz nie mogę zaspoilować, napisać opowiadanie tak, żeby kompletnie wywrócić zaufanie czytelnika do pojawiających się postaci do góry nogami.
1105:  KMM - O, tak to mogę powiedzieć.
1107:  KMM - I w jaki sposób skonstruować to opowiadanie umiejętnie.
1109:  KMM - I teraz się uczysz czegoś nowego.
1111:  KMM - Uczysz się w jaki sposób, w niestandardowy sposób, opowiadać historię nie po kolei i w taki sposób, żeby właśnie nadwyrężać to zaufanie do postaci.
1118:  KMM - Czyli masz to samo, co u Dostajewskiego, plus coś więcej.
1121:  KMM - A jeszcze moglibyśmy sobie dołożyć inny przykład i inne media i nagle się okazuje, że w zasadzie wszystko się sprowadza do tego, że gdzieś jakaś jednostka subiektywnym głosem swym decyduje, to jest ważne.
1135:  KMM - Ale nie wyjaśnia ci dlaczego.
1137:  KMM - I w zasadzie ludzie, którzy znają odbrodnie i karę...
1140:  KMM - Mogło się im to czytać fajnie, mogło się im to czytać mniej fajnie, ale nie mają do powiedzenia absolutnie nic na ten temat.
1146:  KMM - Nikt nie chciał i nie był w stanie powiedzieć, co faktycznie wniosło to do jego życia.
1152:  KMM - I to jest problem z układaniem tego rodzaju list.
1155:  KMM - Ja zawsze wychodzę z założenia następującego, że albo właśnie zastanawiasz się nad tym, co ludzi interesuje, albo faktycznie szukasz czegoś, co jest ultra i mega wartościowe.
1163:  KMM - Taki przykład jest we Włoszech.
1164:  KMM - Oni czytają po prostu boską komedię, bo uznają, że każdy Włoch musi to znać.
1168:  KMM - Ale dlaczego?
1169:  KMM - Nie dlatego, że to jest boska komedia i że jest o Panu Bogu, tylko dlatego, że tam jest tak dużo różnych rzeczy zrobionych z językiem włoskim, że chyba nikt nie był w stanie zrobić więcej.
1180:  KMM - Tak przynajmniej doszli filolodzy włoscy do wniosku po latach badań.
1184:  KMM - No więc to jest ważne.
1185:  KMM - Czyli krótko mówiąc, założenie jest takie, że na tym tekście jesteś w stanie zrobić bardzo dużo i oni to na przykład czytają przez rok.
1192:  KMM - Wyobraź sobie czytanie przez rok jednej rzeczy.
1194:  KMM - Możesz z tego oczywiście bardzo dużo wtedy wyciągnąć, ale nie z tematów, bo nasze nauczanie polskiego jest tematyczne, tylko z zagadnień językowych, tak żeby ludzie się po prostu sprawnie posługiwali językiem.
1206:  KMM - A to z kolei prowadzi mnie do ostatniego punktu, to znaczy tego, że jeżeli chcemy się sprawnie posługiwać językiem, to musimy wiedzieć jak ten język wygląda współcześnie.
1213:  KMM - czyli konsumować dzieła kultury, które są tu i teraz powstają.
1217:  KMM - Jeżeli ktoś absolutnie się upiera na tym, że ktoś musi znać obrzęd dziadów, to niech sobie odpali Wiedźmina Trzeciego i odpali quest z dziadami.
1225:  KMM - Tam są nawet te same frazy, co u Mickiewicza.
1226:  KMM - Różnica polega na tym, że to jest gra wideo.
1229:  KMM - Czyli temat masz, język masz lekko współcześniejszy, atrakcyjnie to wszystko podane, jesteś w stanie zrobić dyskusję wokół tego.
1237:  KMM - Był taki moment, jeden krótki moment, że nauczyciele faktycznie mieli taką swobodę,
1242:  KMM - Ja w tym odcinku o liście lektur przywołuję Aleksandrę Korczak, która właśnie była dużą orędowniczką tego rozwiązania i myślę, że ono jest najlepsze.
1249:  KMM - To znaczy masz zespół jakichś zagadnień czy kategorii, który jest ważny dla ludzi i na podstawie tego zespołu kategorii i zagadnień, wiesz, mądry nauczyciel w porozumieniu z uczniami, których pyta o to, czym się interesują, ustala sobie, dobra, to czym się będziemy zajmować.
1265:  KMM - Wyobraź sobie zdanie, czym sobie będziemy się zajmować na początku dowolnej szkoły, na lekcji języka polskiego zadane.
1272:  PO - Myślę, że 50% to by były erotyki.
1278:  KMM - Ja mam jeszcze inny pogląd, to znaczy ja uważam, że większość ludzi by nawet nie umiała odpowiedzieć na to pytanie przez pierwsze sekundy, bo byłaby zaskoczona, że w ogóle ktoś ich pyta o to.
1286:  KMM - Ale to mówię z perspektywy pierwszego roku studiów.
1289:  KMM - Za dużo wolności.
1291:  KMM - Wydaje mi się, że to jest ten problem.
1293:  KMM - A jeżeli się byśmy upierali już na jakimś erotyku, to jesteśmy w stanie to zrobić.
1297:  KMM - Ja byłbym w stanie na wizualnowelce dobrej przeanalizować przynajmniej parę zagadnień z zakresu prowadzenia narracji, które się mogłyby potem komuś przydać do czegoś.
1306:  KMM - Zawsze się coś da zrobić.
1307:  KMM - Zresztą jest taki esej Umberta Eco, jak rozpoznać film porno.
1311:  KMM - I w eseju, jak rozpoznać film porno, Umberto Eco to uczynił rzeczony film porno takim asumptem do dyskusji na temat tego, czym jest przedakcja.
1320:  KMM - która musi być rozbudowana, żeby rosło napięcie i w ten sposób, w łatwy sposób zapamiętujesz sobie termin z zakresu teorii narracji i teorii literatury, który się pojawia na lekcjach języka polskiego w kontekście nudnym i w związku z powyższym nikt go nie pamięta.
1335:  PO - A powiedz mi, jak według Ciebie powinny, można powiedzieć, czyli uważasz, że tak naprawdę powinna być konkretna lista zagadnień, w której nauczyciele wybierają, nauczyciele razem z uśmiami wybierają, jakie lektury chcielibyś...
1354:  PO - chcieliby omówić.
1356:  KMM - A na przykład jakbyś miał... Wejdę Ci w słowo tylko na krótko.
1359:  KMM - Lista zagadnień taka sama jak do egzaminów.
1361:  KMM - Po prostu, wiesz, ze wszystkich przedmiotów może mieć tego rodzaju zagadnienie, tylko z polskiego.
1365:  PO - A na przykład jeśli chodzi o język polski, to na przykład jakbyś miał przedstawić pięć takich najfajniejszych książek, czy tam, może powiedzieć, czy to by były nazwane lektury, które by były tak naprawdę przerabiane w szkole, które na więcej... Nie mogę tego zrobić, bo to będzie wtedy lista, nie?
1386:  KMM - A ja jestem przeciwko liście.
1387:  KMM - Zaraz ci powiem dlaczego.
1388:  KMM - To znaczy, ja mógłbym ci powiedzieć chociażby... Ale to może gatunki.
1392:  KMM - Jak...
1393:  KMM - Jak do mojego przedmiotu, który ja prowadzę, albo do mojego kursu, jakie bym zalecił, na przykład gry do rozegrania.
1400:  KMM - O, to tak, prowadzę kurs ze światotwórstwa i ja zwykle z ludźmi gram w Bioshocka Infinite.
1407:  KMM - Dlaczego?
1407:  KMM - Dlatego, że w Bioshoku Infinite przez pierwsze 30 minut rozgrywki masz użytych
1414:  KMM - kilkanaście różnych mediów, od teatru ulicznego, przez filmniemy, a skończywszy na plakatach, użytych do tego, żeby komunikować historię tego świata.
