Skąd nasz BRAK MOTYWACJI do pracy?
🔗 https://www.youtube.com/watch?v=6re7bgJmQgA

0:  Co robić, gdy nic nie chce się robić?
619:  I wiecie, ale weźcie, jak mawiają Włosi, na odwrót, jeżeli ktoś ma złe oceny, no tym bardziej będzie zainteresowany tymi przedmiotami, prawda?
626:  I będzie sobie robił cokolwiek innego.
628:  Więc tutaj bardzo dużo ryzykujemy, podejmujemy spore ryzyko bez jakichkolwiek dywidend, bo nagle się okazuje, że ta stopa zwrotu jest o wiele niższa niż w przypadku tejżeż motywacji wewnętrznej, którą mamy, prawda?
641:  W przypadku motywacji zewnętrznej, która tylko nam mówi, no dostaniesz coś za coś, jeżeli to zrobisz.
647:  Motywacja wewnętrzna natomiast sprawia, że właśnie widzimy nie tylko to zainteresowanie, ale także...
654:  Człowieka, który staje się mistrzem w jakimś działaniu.
656:  Dlatego właśnie, jeżeli coś jest twoim hobby, to tak szybko możesz osiągnąć mistrzostwo.
661:  O wiele szybciej niż wtedy, kiedy ktoś by ci przyznawał punkty w jakimś wyścigu szczurów i rywalizacji.
666:  To jest pierwsza kwestia, bardzo istotna.
668:  Druga, to są wnioski dotyczące natury tych komentarzy.
672:  Zobaczcie.
673:  Studenci w ogóle ankietowani w ramach tego badania, którzy powinni postrzegać te komentarze, które są napisane, jako mniej kontrolujące i równocześnie wspierające ich autonomię w większym stopniu aniżeli stopnie.
689:  stopnie wyrażone cyfrą lub stopnie wyrażone słowem, co wskazuje, że te poprzednie prowadzą do wzrostu motywacji wewnętrznej i równocześnie ukierunkowaniu także na osiąganie motywacji zewnętrznej w następstwie, bo będziemy mieli ten pozytywny komentarz i chcemy troszeczkę więcej tych komentarzy uzyskać, w związku z czym pracujemy bardziej i bardziej i jesteśmy wtedy zmotywowani, mamy ten power i moc do działania.
716:  Natomiast nie wszystkie komentarze są takie same, tak?
718:  Bo są komentarze, które koncentrują się na określonej czynności, którą wykonujecie.
723:  Więc zróbmy sobie szybki przykład, tak?
725:  Powiedzmy, że oceniamy czyjeś poczynanie w grze komputerowej.
728:  To jest najprostszy przykład dla wszystkich, nie będzie w żaden sposób antagonizujący, tak?
733:  Chociażby mówienie ludziom, jak mają poprawnie pisać.
736:  Gra w grze komputerowej.
737:  Jasne jest, że naszym celem jest to, żebyśmy się dobrze bawili.
740:  W związku z powyższym, jeżeli nie wiemy, jak coś zrobić, to zastanówmy się, co nam bardziej pomoże.
745:  Czy ktoś to powie, he he, nów nie umierze, beznadziejnie, zobacz jak on gra, on gra lepiej.
750:  Czy też, słuchaj, żeby wykonać tę konkretną czynność, potrzebujesz zrobić to, to, to i to, poruszę, tutaj masz wideoprzewodnik na YouTubie, który Ci pokaże, jaką konkretnie sekwencję czynności należy wykonać.
760:  Chyba wszyscy wiemy, co będzie dla nas bardziej produktywne.
764:  Obejrzenie właśnie takiego przewodnika, czy też ładowanie w siebie, ponieważ ktoś zrobił coś lepiej.
770:  Spoiler alert!
771:  Zawsze będzie ktoś, kto zrobi coś od Was lepiej, szybciej i możecie sobie używać dowolnej liczby przymiotników.
779:  Zauważcie, to jest problem właśnie z tym typem komentarza.
781:  To jest przymiotnik, którego używacie.
783:  Bardzo dobry.
784:  Co to znaczy bardzo dobry?
785:  Co to znaczy, że coś umiesz bardzo dobrze?
787:  Co konkretnie umiesz?
789:  Co wam by powiedziało to, gdybym ja powiedział na przykład, że umiem bardzo dobrze napisać tekst naukowy?
794:  Co to znaczy, że umiesz bardzo dobrze napisać tekst naukowy?
797:  Szybko?
798:  Nie wiem.
798:  Sprawnie?
799:  Że w ogóle umiesz pisać?
801:  Że masz warsztat jakiś?
802:  Jaki konkretnie?
803:  Nie wiem.
803:  I od razu właśnie to prowadzi nas do takiej nieufności, że ha, ha, ha, się samoocenia, tak?
809:  Zobaczmy, jak go oceniają inni.
811:  Zobaczmy, jak czy naprawdę jest taki bardzo dobry.
815:  Bo my czujemy, że te przymiotniki wszystkie, których używamy,
819:  nie są tak naprawdę w 100% intersubiektywne.
823:  Nie wyrażają zbioru subiektywnych opinii, tylko wyrażają tę jedną subiektywną opinię.
828:  Ktoś, kto powie nam, że jesteśmy bardzo dobrzy, może temu samemu człowiekowi powiedzieć, że jest bardzo zły, jeżeli będzie mieć zły humor.
837:  I ten sam człowiek równocześnie może powiedzieć dwóm innym osobom,
842:  tak samo zdolnym w jakimś temacie, że jedna robi coś lepiej, a druga gorzej, tylko dlatego, że np.
848:  będzie uprzedzony względem jakiejkolwiek cechy powierzchowności danego człowieka albo jego stylu wysławiania się, czegokolwiek bądź innego.
857:  Ja dlatego zawsze ludziom mówię jak
860:  czytam komentarze, chociażby na swój temat, jeżeli ktoś powie, że Krzysztof się odkleił na przykład, ale co konkretnie?
866:  Daj mi źródło, powiedz mi, co mogę poprawić.
868:  Zobaczcie, jak to totalnie zmienia nasze nastawienie na krytykę.
872:  Jeżeli się przestawicie na takie myślenie, gdzie będziecie oczekiwali, że ktoś
877:  koncentruje się na działaniu, jakie wykonaliście i będziecie wymagali tego, żeby ktoś zdefiniował, jak to działanie zostało wykonane i jak konkretnie mogłoby zostać wykonane lepiej, automatycznie zaczynacie się immunizować i uodparniać na krytykę, która jest głupia.
894:  Czyli 90% krytyki, jaką w ogóle możecie dostać w internecie.
900:  przestaje was momentalnie dotykać.
903:  Właśnie dlatego, że patrzycie na to i myślicie sobie, ten człowiek jest niekompetent, on nawet nie umie powiedzieć, co konkretnie zrobiłem, albo zrobiłem, albo zrobiłem źle.
911:  Nie potrafi tego powiedzieć.
913:  Czyli kompletnie was już to od tego momentu nie obchodzi.
917:  Tylko z tego względu, że wiecie coś więcej na temat tego, jak można wyrażać opinię słowem.
923:  Druga kwestia,
925:  która jest o wiele częstsza.
927:  To są komentarze, które mają charakter afektywny.
931:  Global Affective Information, czyli to są nawet przykłady, tak?
934:  Excellent!
935:  Keep it up!
936:  Go, go, girl!
938:  Co?
938:  Co to znaczy?
940:  Jesteś zwycięzcą, tak?
941:  Słynne.
942:  Co to znaczy?
943:  Co konkretnie?
944:  I oczywiście to będzie miało wpływ na nas, żeby nie było.
949:  Ponieważ równocześnie są inne babania, o których moglibyśmy powiedzieć, no chociażby ten artykuł Longitudinal Evaluation of School Climate in Predicting Mood and Academic Functioning in Adolescence, gdzie czytamy, że
959:  Sama atmosfera w miejscu nauki, pracy i tak dalej bardzo dobrze może wpływać na to, w jaki sposób postrzegamy swoją własną wartość i tak dalej, i tak dalej.
969:  Ja absolutnie to rozumiem.
970:  No tylko, że jest jeden kluczowy problem, moi drodzy, to znaczy...
975:  Ta atmosfera to jest coś, co ciężko się bada, tak?
978:  Ciężko powiedzieć, że o, stwórz dobrą atmosferę do działania.
982:  To są lata pracy i właśnie taka kultura, nie wiem, współpracy, oceny, informacji zwrotnej, która wpływa na to, czy rzeczywiście będziemy mieć to dobre samopoczucie.
992:  Ale to jest ważne.
993:  W związku z powyższym te uwagi o charakterze afektywnym, że dobrze ci coś poszło, że jestem dumny, na przykład coś takiego usłyszeć, to jest miłe.
1002:  Ale na ile to wam wystarcza?
1004:  Zastanówcie się, czy jak zabraknie tego człowieka w waszym życiu, będziecie to dalej pamiętać?
1010:  Jakiś nauczyciel kiedyś wam powiedział coś takiego?
1013:  Albo czuł dumę?
1014:  Albo że jakiś pracodawca był z was zadowolony?
1016:  Będziecie o tym pamiętać?
1018:  Będziecie mieć depresję po utracie pracy?
1020:  Naprawdę?
1020:  Pomyślcie sobie, nie, ale przynajmniej Stefan powiedział mi, że był ze mnie dumny.
1025:  Nie, no to spoko, to nie mam problemu z tym, że mnie nie stać w tym momencie na jedzenie i czynsz.
1031:  No nie, to nie pomoże w niczym.
1033:  Co więcej, te uczucia negatywne wtedy zaczną prędzej czy później przeważać.
1037:  Musielibyście przez całe życie praktycznie dostawać same wspaniałe informacje i i tak mielibyście małe prawdopodobieństwo, ale podejrzewam, że większe wtedy od osoby, która nigdy czegoś takiego nie miała, że rzeczywiście takie uwagi stworzą, nie wiem, jakąś masę krytyczną, która sprawi, że te bardziej mroczne emocje ustąpią.
1059:  Życzę wam tego serdecznie.
1060:  Ale prawda jest taka i rzeczywistość niestety to pokazuje bardzo brutalnie, że bardzo rzadko się tak dzieje.
1066:  W związku z powyższym musimy się na to uodpornić.
1068:  I jak najlepiej się na to uodpornić?
1070:  No moim zdaniem, jeżeli jesteśmy tylko w stanie, informujmy ludzi konkretnie o tym, co zrobili dobrze, co zrobili źle i rezygnujmy maksymalnie z tych wszystkich przymiotników i określeń wartościujących, z waloryzacji zewnętrznej.
1085:  Jeżeli będziemy starać się przynajmniej, uczyć się tego nawzajem, to jest duża szansa, że tej waloryzacji zewnętrznej nie będziemy potrzebować.
1092:  Nie będziemy potrzebować walidacji, krótko mówiąc, człowieka, który powie nam tak, tak, tak, jesteś dobry, dobra, dobru i teraz ważne,
1100:  To się łączy również, moi drodzy, z tym, o czym mówiliśmy sobie w filmie, który tutaj postaram się Wam podlinkować jak zawsze, o efekcie spotlightu.
1107:  Ten efekt spotlightu, czyli w dużym skrócie coś, co sprawia, że wszyscy myślimy, że jesteśmy oceniani, właśnie dlatego działa, że potrzebujemy walidacji zewnętrznej.
1115:  Jeżeli potrzebujecie tylko walidacji wewnętrznej, jeżeli macie budowane cały czas, bo nigdy się nie ma zbudowanego w 100%, ale jeżeli cały czas budujecie poczucie własnej wartości, to wtedy w mniejszym stopniu polegacie na opinii ludzi z zewnątrz.
1128:  I jesteście odważniejsi w działaniach, a ludzie odważniejsi w działaniach od razu szybciej sobie radzą, szybciej osiągają różnego rodzaju cele, więc prawda jest, to jest taki niesamowity paradoks, że im bardziej polegacie na walidacji wartościowaniu z zewnątrz, które podobno ma sprawić, że będziecie mieć szybszą karierę zawodową, więcej osiągnięć akademickich, albo lepsze zarobki, lepsze...
1151:  dywidendy, oceny, opinie w środowisku, co chcecie.
1154:  Paradoksalnie otrzymujecie to później.
1156:  Właśnie dlatego, że zbyt polegacie na tym, co powie wam inny człowiek.
1162:  Oczywiście też nie należy przestać w drugą stronę, taka opinia jest ważna, ale uważam, że w Polsce akurat mamy taką kulturę, która sprawia, że w mniejszym stopniu niż Amerykanie chociażby, możemy no...
1176:  mówić o tym egoizmie naszym źle, bo w Ameryce rzeczywiście kultura jest troszeczkę inna, wszyscy na uśmiechach będą wam mówić, że jesteście wspaniali, natomiast u nas jest tak, że jeżeli ktoś może komuś wywalić prosto między oczy prawdę, to powie to bez żadnego problemu, więc musimy bardziej uodpornić się, moim zdaniem, na te informacje z zewnątrz.
1195:  Szkoda właśnie, że nie ma tego rodzaju badań prowadzonych w Polsce, może kogoś zachęcę.
1199:  I teraz druga rzecz, która jest konsekwencją tego, o czym sobie powiedzieliśmy.
1202:  Mianowicie, konsekwencje tych argumentów, które są afektywne, które są oparte na uczuciach bardzo subiektywnych drugiej osoby, są niejasne w nauce, tak?
1212:  I co więcej, mają zbyt mało wartości merytorycznej, żebyśmy mogli przesądzić, czy w ogóle taki feedback się sprawdza.
1218:  Więc macie teraz dwie czytelne sytuacje.
1221:  Jest dowód naukowy na to, że ludzie, którzy otrzymują informację zwrotną w postaci pisemnej, rozbudowanej, zorientowanej na działania, mają lepsze osiągnięcia akademickie i osiągnięcia poznawcze.
1233:  Natomiast ludzie, którzy dostają oceny oparte na tym, że albo szósteczka, albo bardzo dobry, no nie wiadomo generalnie.
1240:  No to wiecie, myślę, że na tym etapie właśnie bardzo dobrze wiadomo, co należy zacząć robić.
1245:  To znaczy należy się przełączać na ten system
1249:  dawania informacji zwrotnej, który ma udowodnione pozytywne działanie.
1254:  Zwłaszcza, że zauważcie, że mówimy teraz o motywacji w bardzo takim fajnym, utopijnym, idealistycznym sensie.
1261:  To znaczy, to jest ta motywacja, która wynika z pozytywnych ocen.
1267:  A teraz co z negatywnymi?
1271:  Co z negatywnymi, jeżeli pozytywne oceny wartościujące mają niejasny wpływ na to, czy nam idzie, czy nam nie idzie?
1280:  Co z tymi negatywnymi?
1282:  Przecież negatywne oceny, które się dostaje w szkole bardzo często i dlatego pedagogika na to reaguje w najrozmaitsze sposoby sprawia, że ludzie przestały się w ogóle uczyć, ponieważ
1293:  Nikt nie wytrzyma, jak się ciągle w niego ładuje.
1297:  I w którymś momencie stwierdza, a pieprzyć to, nie będę tego robić.
1299:  I my potencjalnie, nie wiemy tego, ale możemy tracić przyszłego noblistę.
1303:  Nie wiemy tego.
1304:  To jest zbyt duże ryzyko do podjęcia.
1306:  O wiele lepiej jest postawić na komentarz zwrotny.
1309:  Jeżeli człowiek w odpowiedzi na komentarz zwrotny, który mówi mu konkretnie, co ma zrobić, żeby być lepszy, dalej nie jest lepszy, okej, jest to przegrana sprawa, nic mu nie pomożemy, jego problem.
1320:  Ale jeżeli my dajemy tylko niejasną informację zwrotną, jeżeli nie mówimy konkretnie, co nam się nie podoba, co można było poprawić, to wtedy ryzykujemy i moim zdaniem
1332:  To jest ryzyko, które jest całkowicie niewarte podjęcia.
1335:  Skórka, która nie jest warta wyprawki.
1336:  Absolutnie uważam, że powinniśmy się raczej przestawić na to, żeby udzielać tej informacji zwrotnej, która jest kompetentna, a nie niekompetentna, bo nigdy nie wiecie, kiedy skrzywdzicie człowieka.
1346:  A taką opinią negatywną najłatwiej jest skrzywdzić.
1349:  I wiecie, dyskutujemy na ten temat.
1350:  To nie jest tak, że to zamyka się na szkole.
1353:  To jest kwestia atmosfery w zakładzie pracy.
1356:  Ludzie potrafią się zwalniać z pracy.
1357:  Firma traci.
1359:  Realnie traci swoje potencjalne dochody z tego względu, że pracownicy odchodzą z najbłahszego powodu, to znaczy z tego powodu, że menadżer nie umie im powiedzieć, co mają zrobić lepiej.
1369:  Jak?
1370:  Ile razy też denerwujecie się i frustrujecie, że nie wiecie jak coś zrobić.
1375:  Nie dlatego, że jesteście głupi.
1378:  To niestety jest ta durna konkluzja, która się pojawia w naszych umysłach, która jest uwarunkowana przez motywację zewnętrzną, negatywną, afektywną, właśnie tą emocjonalną.
1389:  A, nie wiem czegoś, więc jestem głupi.
1392:  A, nie rozumiem czegoś, więc jestem opóźniony w rozwoju.
1396:  A, nie daję sobie z czymś rady, więc jestem za wolny.
1400:  To nie jest dobre, to nic wam nie da.
1402:  Myślcie egoistycznie o tym.
1405:  Myślcie o tym, czego rzeczywiście potrzebujecie, konkretnie.
1408:  Jeżeli ktoś wam coś takiego mówi, olejcie to nie dlatego, że o, ktoś wam tak powiedział, tylko dlatego, że nie macie danych, nie dostajecie danych żadnych.
1417:  Więc nie komputujecie tego, co macie zrobić.
1419:  Pomyślcie sobie o tym jako o sytuacji komputera, który nie dostaje dostatecznej liczby danych z zewnątrz.
1426:  Nie jest w stanie komputować, nie jest w stanie robić jakichkolwiek obliczeń, bo nie ma danych.
1430:  Wy też nie macie wtedy danych, jak ktoś wam coś takiego powie.
1434:  Mam głębokie w sobie przekonanie, wynikające też z doświadczenia, bo ja byłem bardzo nieodporny na takie uwagi w czasach szkolnych.
1442:  Że jak przemyślicie sobie to na własną rękę, to może to wam dać broń do ręki, która sprawi, że nic już was nie pokona w życiu.
1450:  Rzeczywiście.
1451:  I tej broni nie da wam żadna mowa motywacyjna.
1454:  Da wam wyłącznie przemyślenie tej sytuacji dla siebie.
1458:  W sposób skrojony do waszych potrzeb, waszej wrażliwości i waszej świadomości społecznej.
1465:  I jeszcze jedna kwestia, to dla osób bardziej konserwatywnych.
1469:  Studenci, którzy byli oceniani wyłącznie stopniami, tak, owszem, radzili sobie lepiej od tych, którzy nie dostali w ogóle żadnego feedbacku, jasna sprawa.
1479:  Czyli oceny mogą w minimalnym stopniu podwyższyć wam krótkoterminowo na przykład poczucie własnej wartości, ale
1487:  mieli potem mniej motywacji do tego, żeby sami, z własnej uwewnętrznionej potrzeby, angażować się w różnego rodzaju działania o charakterze akademickim, wiecie, naukę przede wszystkim, i mieli mniej motywacji, ponieważ równocześnie nie wiedzieli, czy jeżeli to ukończą, to wtedy dostaną nagrodę następną, tak?
1508:  No bo już nie mieli wtedy tego...
1511:  motywatora zewnętrznego.
1512:  Więc to też jest bardzo istotna kwestia, myślę, której nie powinniśmy nie przeceniać, bo myślę sobie, że jeżeli macie tak, że w którymś momencie, a to wiemy, nas 1000%, stracicie ludzi, którzy właśnie są źródłem tych ocen, no to co wtedy, tak?
1527:  Jedyne, co wam pozostaje, to znaleźć następną taką osobę i tutaj to nas prowadzi do porównywania się, rankingów, zestawiania, które nie opuszcza nas bardzo często przez całe życie.
1536:  I w ten sposób jesteście w takim
1538:  feedback loop, że użyję gry słownej, to znaczy nie dostajecie informacji zwrotnej, tylko jesteście w pętli informacji zwrotnej cały czas.
1546:  Potrzebujecie jej non-stop, ale dostajecie ją nieefektywno, więc wystarczy Wam na za krótko, więc potrzebujecie tego więcej i więcej i więcej i więcej.
1554:  A jak nazywamy sytuację, w której potrzebujemy więcej i więcej i więcej i więcej jakiegoś zewnętrznego czynnika, który nas motywuje do działania?
1564:  Zwłaszcza dzięki temu mamy zastrzyki dopaminowe.
1567:  Czyżby czasem wtedy nie chodziło o uzależnienie?
1569:  Czy czasem nie w takim kontekście się o tym mówi?
1572:  Że jeżeli potrzebujesz więcej i więcej i więcej czegoś, żeby być cały czas na haju?
