🔴 Czeski film — DEUS EX: ROZŁAM LUDZKOŚCI Livestream #2
🔗 https://www.youtube.com/watch?v=vWs-sFR3ZYc

33:  Dzięki za uwagę!
667:  Mówiłeś, że ci było wstyd, że nie mogłeś mi spojrzeć w twarz po tym, jak dałeś się wyrobić oszustom, ale nie masz powodu do wstydu.
673:  Jesteś znacznie lepszy niż reszta świata.
675:  Jesteś łatwowierny, ale za to cię kocham.
679:  Będę na Dniach Fantastyki w Wrocławiu.
683:  Dlaczego nikt nie wie o tym, że będę na Dniach Fantastyki?
687:  Miałem wrażenie, że program już jest.
690:  Chyba DF-y nie za dobrze, moi drodzy, komunikują to, jacy będą goście.
698:  Wyprawy w głąb umysłu Richarda Liboria.
700:  Hipnotyczne doznanie bilety do nabycia w Magii.
703:  Kidney Nebrazi.
705:  Piątek któregoś lipca.
708:  Richard, moi drodzy, jest ewidentnie byłym hipnotyzerem.
716:  Jest opcja zmiany płaszcza w menu.
719:  Teraz mi o tym mówicie.
722:  Ooo!
737:  Naprawdę gra musi reloadować się do tego?
740:  Okej.
741:  Zagubiona dusza.
746:  Skroźli ludzie, nie powinni wchodzić, tak?
748:  Pan domu ma wejść, dobre pytanie, prawda?
751:  Na pewno jeszcze tutaj coś jest do znalezienia, zanim wyjdziemy na górę.
754:  O właśnie!
756:  Fundamenty społeczności na plakacie, wpisana propozycja, czy wręcz prawa dotyczące sposobu życia, pełno tu elementów mitologicznych, a wszystko zdaje się obracać wokół mężczyzny w imieniu Richard.
765:  Good people do what they are told.
768:  Good people don't ask why.
769:  Jezus, to jest jak mantra szkolna, tak?
772:  Dobrzy uczniowie nie zadają pytań.
774:  Dobrzy uczniowie nie rozmawiają ze sobą na lekcji.
777:  Dobrzy uczniowie nie przeszkadzają nauczycielowi.
780:  Dobrzy uczniowie nie przeszkadzają nauczycielowi, który ma na imię Ryszard.
783:  Dobrzy uczniowie nie giną.
785:  Dobrzy uczniowie nie idą sikać do łazienki.
787:  Dobrzy uczniowie nie giną w łazience podczas sikania.
790:  Co jest asumptem do tego, żeby nauczyć, ale zabrania im wychodzić do łazienki, ponieważ mogą tam zginąć.
794:  Dobrzy uczniowie nie biegają po korytarzu.
797:  Dobrzy uczniowie nie jedzą kredy.
798:  Dobrzy uczniowie startują w wyborach na przewodniczącego szkoły, mimo że przewodniczący szkoły nie ma żadnej mocy prawnej czegokolwiek zmienić.
804:  Dobrzy uczniowie są dyżurnymi szkolnymi.
806:  To wszystko się zgadza, moi drodzy.
809:  The backbone of community.
812:  Richard jest byłym nauczycielem, udowodnione.
815:  Dobrzy uczniowie w ogóle nie jedzą i nie piją, właśnie.
818:  Dorzucania roślina doniczkowa.
820:  Dobrzy uczniowie obracają roślinę doniczkową, zanim postawią ją na głowie przechodnia.
831:  Proszę bardzo.
834:  Tak samo jak dobrzy konsumenci... O!
837:  O!
838:  Dobrzy konsumenci nie krytykują, dobrzy konsumenci instalują dodatek do Elden Ringa i nie narzekają na walkę.
844:  Dobrzy konsumenci mówią, że Hidetaka Miyazaki jest wybitnym projektantem, niezależnie od tego, czy jest, czy nie jest.
850:  Dobrzy konsumenci nie kwestionują złego designu.
853:  Dobrzy konsumenci mówią, że jest skillisiu, a nie designisiu.
855:  Tak jest!
856:  Tak jest!
858:  Ja to powinienem wszystko był wypowiedzieć z tego miejsca i z tego podium.
862:  Tak to powinno wyglądać.
864:  No dobrze, tutaj idziemy na górę.
867:  Tu jest co?
868:  On chce nas zmacać.
872:  Visioning Humanities.
874:  Proszę bardzo, wszystkiemu winne nauki humanistyczne.
877:  Czy ktoś jest zdumiony?
879:  Kto ci powiedział, Arturze, że szkła to najlepszy okres w życiu?
882:  Jezus, ja nigdy nie słyszałem takiego zdania.
884:  Ja słyszałem, że studia to jest najlepszy okres w życiu.
887:  Owszem.
889:  I chyba się nie zgodzę, ale wiem, że dużo ludzi miało dobre wspomnienia ze studiów, ja na wszelki wypadek zrobię zapis, ale moje zdecydowanie nie.
898:  Jaki jest mój najlepszy okres życia, taki jaki pamiętam?
901:  Przygotowywanie do olimpiady, jak byłem zwolniony z liceum i chodziłem sobie sam do biblioteki.
906:  Czyli okres edukacji domowej to byłby dla mnie najbardziej przyjemny okres w życiu i przed pójściem do zerówki.
913:  Dobrzy konsumenci kupują scamowe subskrypcje.
915:  Jezus, słyszeliście o tym trendującym po myśle tego Logitecha?
922:  Wiedziałem, że coś jeszcze będzie.
924:  Że chcą zrobić subskrypcje dla myszy?
926:  Znaczy, to było w jakimś wywiadzie powiedziane, gdzie babeczka z Logitecha spekulowała, że może zrobić coś w rodzaju Infinite Mouse.
934:  Nie, przepraszam, Eternity Mouse.
936:  Eternity Mouse to się powinno mówić w stylu Jimmy Stefani Sterling, tak?
941:  Eternity Mouse będzie mianowicie tak dobrze wykonaną myszą, że będzie ją można mieć na wieczność i jedynie będzie się płacić subskrypcję za odblokowanie jej kolejnych, nowych, innowacyjnych funkcji.
953:  Na przykład dodatkowy pakiet kliknięć.
956:  Nie wiem, jakie mogą być innowacyjne funkcje myszy.
962:  Dramat, no.
962:  Mysz z Eternitu.
967:  Rozumiem, że nie było ci łatwo patrzeć, jak ją zabierają.
969:  Mysz z Eternitu.
970:  Ale nie możemy uciekać, a nie ukrywać się przed światem.
972:  Nie ma co udawać, że nas to nie dotyczy.
974:  Musimy wspólnie stawić czoła takim rzeczom.
976:  Proszę cię, nigdy tak długo nie było cię poza domem.
978:  Martwię się o ciebie.
979:  Czyli ta Marta Trousill, może ten David Trousill to jest, moi drodzy, właśnie ten hipnotyzer.
990:  Mysz z Duraleksu.
990:  To byłaby najtwardsza mysz, to prawda.
992:  Na nawiązaniu do naszych wczorajszych rozmów.
998:  Okej.
1000:  Dobrzy ludzie nie wchodzą na górę.
1015:  Dobrzy ludzie giną podczas próby wejścia na górę.
1022:  To Darth Bigos, szukaj mnie, ja będę na pewno na Dnia Fantastyki gdzieś w okolicach
1030:  i swojej prelki, i będzie jeszcze na Dniach Fantastyki dyskusja z Bartoszem Filipem Malinowskim, znanym Wam bardzo dobrze z Bez Schematu, oraz z Radkiem Pisulo też coś będzie, więc fajne rzeczy.
1043:  Więc tak, bo trzeba się, moi drodzy, przekraść sprytnie.
1050:  O, proszę bardzo, to jest to, co mówiłem, co można było zaimplementować do LDN-ka, widzicie?
1055:  Stożek światła, nie musi być stożek widzenia kamery.
1059:  Nie wiesz, że pierwsze asysty nie się tak dobrze zestarzały?
1062:  Mmm, dwójka na pewno.
1065:  Dwójka była porządnie wykonana.
1069:  Okej, udało się.
1079:  Ok.
1080:  Wydaje się, że to będzie tak, że myśl ma tysiąc kliknięć, musisz dokupić nowe, jak się skończą, obrzydliwe.
1084:  Wiecie co, ale my się możemy śmiać, ale naprawdę różne korporacje są w stanie to robić.
1089:  Jeżeli korporacja jest w stanie, jest w stanie zdalnie coś zepsuć, przecież oto była awantura z Applem, który zdalnie ludziom downgrade'ował różne podzespoły systemu po to, żeby chcieli kupić nowy telefon.
1105:  To jest temat Deus Exa.
1107:  To jest ściśle temat Deus Exa.
1110:  To jest to.
1114:  To jest ściśle to.
1116:  Dlatego właśnie augmentacja naszego ciała jest bezpieczna i fajna i utopijna i świetna o tyle, o ile nie funkcjonuje w takich realiach kapitalizmu kognitywnego tak zwanego, gdzie już wartością nie jest
1132:  faktyczna wartość kapitułowa w złocie stojąca za produktem czy za pracą, tylko w kapitalizmie kognitywnym wartością są nasze dane, nasze życie, nasz czas.
1144:  Straszne.
1149:  O ile się nie jest CEO Taeyong Medical, to prawda.
1154:  Ja bym nigdzie nie parkował na Dniach Fantastyki.
1156:  Na Dniach Fantastyki da w bigos... Najlepiej zaokrętować się na parkingu w centrum i jedziesz tramwajem do Leśnicy.
1164:  A nie w Urcz, to nie jest Leśnica teraz.
1167:  Teraz w ogóle to nie jest problem.
1168:  W tym roku nie są w Leśnicy Targi Fantastyki w Wrocławiu.
1172:  To wtedy jest rzeczywiście problem, jak są w Leśnicy na zamku.
1177:  Uhu.
1180:  Anomaly detekty.
1182:  Fuck you.
1186:  Ja mam program Stop Ksiądz Robak!
1191:  Eee!
1191:  Eee!
1192:  Eee!
1192:  Ksiądz... Ksiądz Robak!
1195:  Ksiądz Robak for the win!
1199:  Mistrz akowania!
1202:  Ja się zawsze kręcę na DF-ach, poza prelekcjami, po solo, ale będę na pewno... Wiecie, to jest tak kalendarz streamowy dyktuję, to znaczy prawdopodobnie będę na pewno w piątek, no to jest na 1000%, w sobotę, w niedzielę na pewno już nie, albo w niedzielę będę wracał.
1219:  Może w sobotę będę wracał.
1220:  Co to jest za poświata?
1221:  Ta poświata jest od samego początku, jak wkroczyliśmy do domeny Richarda w tej sekcie dziwnej, wiecie?
1227:  Z samego początku wtedy jest.
1230:  Co tu się dzieje się?
1233:  Dobrze, drzwi to tak.
1235:  Domyślam się, że mam tam przejść.
1237:  A co to jest tutaj?
1239:  To jest jakaś serwerownia.
1242:  Pamiętam ten quest, ale nie pamiętam szczegółów.
1245:  No tego questu trudno jest zapomnieć.
1250:  Wyremontowali toli do leśnicy, teraz się dobrze jedzie.
1252:  No to jaka szkoda, że teraz DF-y nie są na zamku, nie?
1256:  To jest w ogóle strasznie słabe, że Dni Fantastyki nie są dla zamku, ponieważ dla mnie ten zamek to był główny atut Dni Fantastyki.
1277:  Jak zawsze.
1279:  Zrobiłem błąd.
1282:  Nie poszedłem wpierw tutaj.
1285:  A nie, tu jest zamknięte.
1291:  Ej, co myślicie, że od razu dać mu w ryj?
1304:  Richard Wielki?
1307:  O, dostaliśmy zdrówko od niego.
1309:  Zdrówko, zdrówko, moja mrówko.
1312:  Jakub pisze, że obejrzał odcinek Altritexta o Euronie Greyjoy'u.
1315:  Oj, to chyba jest najlepszy.
1316:  No Euron Greyjoy książkowy i Euron Greyjoy serialowy to jest studium dokonanej zbrodni.
1326:  Euron serialowy to jest katastrofa absolutna.
1334:  strasznie cierpiałem.
1335:  Juron książkowy, moi drodzy, to jest mag, a w zasadzie czarnoksiężnik i pirat jednocześnie.
1344:  No najlepsza rzecz, jaka istnieje.
1345:  Co tu jest napisane?
1349:  Słabo, że nie można tego przeczytać za bardzo.
1352:  Those of us who feel cold, who feel compelled,
1358:  Are bound by a desire to escape from something.
1364:  Bound by a desire to forget.
1366:  For our own... Już nie widzę.
1375:  Rozumiem, że to jest decyzja organizatorów DF-u, bo konwent coraz większy z roku na rok.
1378:  Nie, nie, nie, nie, to jest tymczasowe.
1380:  Zamek jest remontowany.
1382:  I wróci na zamek po remoncie konwentu.
1388:  Mogłeś go przegadać, jak zrobiłeś tamtą część zadania?
1390:  Skip to jest znaczą część quest'a?
1394:  Proszę bardzo.
1395:  Na tym polega, moi drodzy, robienie rzeczy niestandardowo.
1401:  Wieżyczki, których nie mogę wyłączyć.
1405:  No smutna sprawa.
1406:  Telewizor mogę wyłączyć za to.
1408:  I bardzo dobrze, bo ja już nie mogę tego live from Pykus.
1411:  Nie mogę Pykusa.
1413:  Nie chcę słuchać Pykusa.
1416:  Nie chcę.
1417:  Nie chcę.
1418:  Nie chcę.
1419:  Jeszcze ebuczek był.
1422:  Inicjatywa społeczna.
1424:  5 tysięcy pieniądza.
1424:  Potrzebujemy 10 tysięcy na jeden praksi.
1430:  Dlaczego koncepcja pirata maga jest beznadziejna?
1433:  Proszę się wytłumaczyć Piotrze, dlaczego tak uważasz?
1436:  Żaden projekt nie był tak dogłębnie poddawany analizie w ciągu ostatnich globalnych katastrof jak inicjatywa społeczna.
1442:  Uf, poważny rozwój technologii ulepszeń społecznych został opracowany z myślą o stworzeniu nowego rodzaju przestrzeni komunalnej na zasadzie technologii ulepszeń o działaniu terytorialnym.
1449:  Pierwsze wdrożenie w miejscach takich jak teatry i centra społeczne nie okazały się zachęcające, aczkolwiek szereg innowacyjnych artystów estradowych znalazło sposoby na wzmocnienie doznanie przez osobisty kąt dobór społeczności.
1460:  Na podstawie szybkiego testu osobowości przed występem można było ocenić, czy osoba jest mniej lub bardziej podatna na poddanie się proponowanej mi masowej iluzji.
1469:  No właśnie.
1470:  W siecie po incydencie sama myśl, że tego rodzaju inicjatywa mogła wejść do teatrów na całym kontynencie jest mrzonką przeszłości.
1478:  Dużo jest błędów, zauważyłem w dwójce.
1481:  Konsekwencje okazały się zbyt przerażające.
1482:  Mimo to w połowie 2025 roku przez kilka miesięcy inicjatywa społeczna była zachwalana jako najlepsza nowa technologia.
1488:  Technologia, która zwiastowała ogólnoludzkie zbliżenie.
1490:  Czyli prawdopodobnie ta technologia to było właśnie to dziwne halo, które mieliśmy wokół siebie.
1498:  I które to halo teraz zniknie dla wszystkich?
1501:  Moduł kredytowy następny.
1504:  No nie inaczej.
1514:  Na Nikon w Katowicach był.
1515:  W ogóle mnie umknęło to.
1517:  Przekazuję pytanie Daffa Bigosa do czatów.
1520:  Na tym polega wysoka jakość gry, deweloperzy nie boją się, żebyś skipnął content.
1524:  Zgodzę się, absolutnie.
1525:  Absolutnie tak.
1527:  Nie ma w tym nic złego.
1530:  Zrobiliśmy to po swojemu.
1533:  Ja bardzo lubię grać po swojemu.
1544:  Powiedział Krzysztof, narażając się na ostrzał z wieżyczki.
1551:  No tak.
1552:  No i to jest ten dylemat społeczny, nie?
1555:  Ludzie teraz są nieszczęśliwi, bo wyłączyliśmy im utopię.
1559:  To jest, zobaczcie, kazus z nowego, wspaniałego świata.
1563:  Tak, zniszczyliśmy...
1566:  Coś, co było złego, co kontrolowało ludzi, ale z drugiej strony, z perspektywy zewnętrznej patrząc, wyrządziliśmy im coś na kształt przysługi.
1578:  Ja tylko przypomnę, że drugi Deus Ex został podzielony na dwie gry.
1580:  Pierwsza część to Marka Endewady, druga nie wyszła, bo Marka Endewady dokazał się niewystarczający finansowo.
1584:  No jest to smutne, niestety.
1586:  Nic nie poradzimy.
1589:  Przecież Richard nie może nikomu dowiedzieć się o niczym innym.
1593:  Inni są teraz wolni od niego, tak jak ty.
1596:  Nie jestem modelem rozluźnienia.
1601:  Pytam go, a potem ja... Ja już nie jestem jednym z nich.
1604:  Ale ja nie jestem jednym z nich.
1608:  Miałeś prawo na pytanie.
1610:  Fakt, że mogłeś to zrobić, kiedy inni nie mogli, mówi dużo o twojej siłowni charakteru.
1614:  Widzę twoje pytanie Kratosie, zaraz przeczytam.
1622:  Ja też podejrzewam, moi drodzy, że to raczej wydawca zrobił nam ziazizm Mankind Divided.
1643:  Pytanie o interfejsy.
1644:  Czy te wypisywane hasła na klawiaturze można nazwać interfejsem diegetycznym?
1647:  Tak.
1647:  To, co teraz widzicie, to nie jest interfejs diegetyczny, bo Adam Jensen nie widzi napisu, nie?
1652:  To my widzimy napis, więc to jest nakładka.
1656:  Nie diegetyczna, bo nie jest częścią świata.
1659:  Ale można byłoby zrobić te napisy tak, żeby były częścią świata i przykładem tego jest cyberpunk.
1665:  Jak były kwestie po francusku albo po japońsku, to pojawiało się takie tłumaczenie live, jakby było na interfejsie.
1673:  Więc napisy w grze też mogą być diegetyczne.
1675:  Diegetyczne, czyli będące częścią świata gry, moi drodzy.
1677:  Ja jestem sam.
1686:  Niestety, dylematy biednego wyźnika nie okazały się dla nas wystarczająco interesujące.
1694:  Dobrze, dobrze, więc to ogarnięte.
1697:  Tutaj mamy moduł ucieczkowy, to znaczy wyłazimy z tego podziemia, bo ja już mam... Nie, to nie tędy.
1707:  Interfejs cyberpunku ma bardzo mocne momenty, ale niestety czasem jest spierniczony kompletnie.
1712:  Tutaj można byłoby przejść na przykład, ale Krzysztof jest słaby jak kupa i tego nie zrobi.
1718:  O, to jest interfejs diegetyczny wbrew pozorom, bo gra uczy was, że to miejsce to jest słabsza ściana, którą można przebić.
1728:  Więc czasem coś, co widzimy na ekranie, jest częścią świata w bardzo silny sposób i dlatego niektórzy groznawcy mówią, że to jest meta-interfejs, czyli interfejs, który
1742:  jest do tego stopnia częścią świata, że nie da się w ogóle go od tego świata oderwać, bo jednak te nakładki, które tutaj macie, tak, możemy sobie to tłumaczyć, ta, to jest jakaś wszczepka Adama Jensena, która pokazuje mu minimapę, którą ja zasłaniam, albo która pokazuje mu liczbę nabojów, tak, natomiast, no, na ścianie pęknięcie to już raczej nie.
1760:  A teraz było pytanie od Kratosa, boga wojny, jeżeli chodzi o ufanie źródłom naukowym wtedy, jeżeli się ich nie rozumie.
1768:  Ja nie jestem po stronie ufania źródłom naukowym, jestem po stronie dążenia do tego, żeby je jak najbardziej rozumieć.
1775:  Co znaczy?
1776:  Jeżeli czegoś nie rozumiemy, dopytujemy tak długo, aż zrozumiemy.
1780:  Nie ma nic złego w dopytywaniu.
1782:  Ja naprawdę stąd nie będę w stanie wyjść, wiecie o tym.
1786:  Tutaj były cały czas drogowskazy do wyjścia, a ja nie mogę stąd wyjść.
1793:  Przecież myśmy tędy przeszli na tysiąc procent.
1797:  Tak, żółta farba też, dokładnie Kratosie, właśnie w God of Warze żółta farba, to jest interfejs diegetyczny, absolutnie.
1808:  Skoro o interfejsie mowa, dlaczego Original Sin 2 miał interfejs bardziej przejrzysty i intuicyjny od Baldura 3?
1813:  Bardzo dobre pytanie.
1814:  Moja hipoteza jest taka, że to jest z uwagi na takie lub inne naciski ze strony graczy, nic innego mi nie przychodzi do głowy.
1824:  No nie.
1827:  Pokazują nam wyjście na wprost.
1831:  Teraz po jakiejś drabinie, ale tu nie ma drabiny.
1838:  Jesus Christ.
1841:  No, tego się nie spodziewałem.
1844:  Drabina w lewo.
1847:  Drabina w prawo.
1852:  Tu nie ma drabiny!
1856:  Lies!
1857:  Deception!
1858:  Sogarera!
1866:  Tu są drzwi.
1869:  Drabina!
1871:  Czemu ja jej nie widziałem?
1875:  Ale widzicie?
1877:  To jest piękne.
1878:  To był też interfejs diegetyczny, bo kierowałem się napisami ewakuacja, prawda?
1884:  Boże, ja zapiszę, bo ja już tam nie wracam, moi drodzy.
1886:  Ja już tam nigdy nie wrócę.
1888:  Tak będzie.
1889:  Mówi się na wprost czy na wyprost?
1890:  Ja sobie żartuję czasem, mówiąc na wyprost.
1892:  Nie powinienem tak robić.
1895:  Ale tak, żartuję sobie w ten sposób.
1897:  Mówi się na wprost.
1900:  Widzisz, co byłoby fajne?
1901:  Gdyby kółko myszy działało troszeczkę szybciej, a nie w ten sposób.
1907:  Dobra, idziemy do questów pobocznych, czyli do metra.
1914:  O Boże, muzyka.
1915:  Mam nadzieję, że poziomy głośności są dobre.
1919:  Pamiętajmy, że gracze to między innymi ludzie, którzy uważają, że gry From mają dobry UI.
1923:  O grach FromSoftu, jak wiecie, mam bardzo dużo do powiedzenia.
1926:  Dużo ciepłych rzeczy, dużo rzeczy, które są mocno chłodne, ale interfejs, autorytatywnie oświadczam, jak rzadko, to jest kupa.
1936:  Takie interfejsy można było ewentualnie zrobić w 1999 roku.
1944:  Może.
1945:  Może w 2001.
1948:  Może.
1949:  Ale w tym momencie Uber Eats ma lepszy interfejs.
1954:  Znaczy, to jest straszne.
1958:  Sekiro chyba było najbliżej dobrego interfejsu ze wszystkich gier Fromu.
1962:  Mogę zabrać ten pamflet?
1964:  Oczywiście.
1967:  uczciwie patrząc.
1970:  A to tylko dlatego, że w Sekiro się nie gromadzi ekwipunku.
1974:  My nie jesteśmy Naturals, moi drodzy.
1978:  Nie jesteśmy.
1980:  Mamy implanty.
1987:  Ale wiecie, co ja też wiem?
1989:  Ja znam stacje metra w tej grze i ja wiem, że na stacjach metra są pudełka do niszczenia.
1999:  A jak jest pudełko do niszczenia, to za pudełkiem do niszczenia są sekrety.
2005:  Na przykład cement.
2007:  Cement, wapno, beton.
2008:  Wciąż punktowane czasopismo naukowe.
2013:  Aaa, jednak!
2021:  Musi tutaj coś być.
2022:  Musi, musi, musi, musi, musi, musi, musi, musi, musi, musi, musi, musi.
2028:  Inaczej by nie było tej drogi.
2036:  Toldya.
2039:  Ha!
2040:  Odkryłem klozet!
2050:  Dlaczego tu nic nie ma?
2053:  Musi coś być w klozecie.
2055:  Boże, jak ja nie znoszę pisuarów.
2057:  Czy może ktoś mi wytłumaczyć, dlaczego przy pisuarze nie ma papieru?
2062:  Fascynuje mnie to całe życie, kiedy wybieram właśnie z tego powodu, że nie pójdę do pisaru.
2074:  Ooo... OK.
2094:  Nie bierzcie tego w błąd, ale to może być błąd, w którym nienawidzę to, że to może być błąd, w którym nienawidzę to, że to może być błąd, w którym nienawidzę to, że to może być błąd, w którym nienawidzę to, że to może być błąd, w którym nienawidzę to, że to może być błąd, w którym nienawidzę to, że to może być błąd, w którym nienawidzę to, że to może być błąd, w którym nienawidzę to, że to może być błąd, w którym nienawidzę to, że to może być błąd, w którym nienawidzę to, że to może być błąd, w którym nienawidzę to, że to może być błąd, w którym nienawidzę to, że to może być błąd, w którym
2117:  Robimy to.
2118:  Nie możesz obawiać, że świat musi się zmienić.
2121:  Dla lepszego tego czasu.
2123:  Augmentacje pomogły nam przejść świetne kroki.
2127:  I możemy to zrobić znowu.
2129:  W Rabia.
2131:  Miejsce konceptu.
2133:  3D napisane, poza stanem sztuki.
2136:  Symbol ewolucji.
2139:  Czy mogę... Czy mogę... Czy mogę dostać jakieś wyrazy zachwytu na czacie w związku z płaszczem Adama Jensena?
2151:  Dlaczego nikt na to nie zwrócił uwagi?
2160:  Ani akurat przemęski mężczyzna śmierdzi moczem.
2163:  Tak ma być.
2164:  Otóż to.
2168:  Straszne.
2173:  Swoją drogą, czy to jest ten moment, kiedy mówimy o japońskich toaletach i o genialnych rozwiązaniach ekologicznych, typu umywaleczka nad rezerwuarem?
2182:  Jakie to jest genialne.
2183:  Wyrazy zachwytu płaszczem.
2184:  Dziękuję!
2185:  No przecież jest piękny.
2187:  Teraz wyobraźcie sobie tę koszulę, którą miał David Sarich na sobie wczoraj, do tego płaszcza.
2191:  Oooo!
2193:  Oooo!
2194:  Myślę, że to byłoby piękne.
2197:  Okażemy cynizm, moi drodzy.
2199:  Chcesz, aby ogszy zaznaczył się na przyszłość, która została zrobiona w laboratorium i zbudowana w deserze.
2205:  Wygląda trochę utopicznie.
2207:  Musisz myśleć, że kiedy zamknę oczy, zobaczę ten skrzydeł, który prosi nas o przeczytanie.
2212:  On-message, tak się nazywa.
2214:  Ale nie zobaczę.
2214:  Zobaczę Rabia.
2217:  O, ja bym chciał bardzo taką toaletę, która jest w pełni zautomatyzowana japońska.
2222:  Bardzo.
2225:  O, i bardzo oszczędzali szczęśliwych skrzywien na postaciach pobocznych.
2228:  Bardzo.
2230:  Różnica między Atomem Jensenem a tą babeczką jest jak między interfejsem Dead Space'a i interfejsem Dark Souls.
2238:  Mr. Brown rozumie, że ogromny widział przyszłość późno i ruszył do spotkania.
2248:  Czy będę grał w The Expanse?
2250:  Expanse wychodzi jako gra?
2251:  Here we go again?
2252:  Co ty mówisz?
2254:  Co ty mówisz?
2255:  Ja o niczym nie wiem.
2258:  To jest moment, kiedy Krzysztof googla.
2265:  The Expanse A Telltale Series.
