🔴 Piramidogłowi kontratakują — WARHAMMER 3 Tomb Kings #2
🔗 https://www.youtube.com/watch?v=cj_o-A_z5o4

42:  Dziękuje za oglądanie.
753:  Mam nadzieję, że będziesz zaopiekowana dobrze.
755:  Kobraj Blade jeszcze, Jamnikołaj na sam start streamu.
759:  Co tu się dzieje?
759:  Grzegorz Sikora, Painkiller.
761:  Czekajcie, jest za dużo nazwisk, muszę odpalić jamniki.
764:  Grzegorz Sigora, Painkiller, Harassland, Liliowain oraz Robert Kaniewski i Bartosz Gromko oraz Paula Ramsey, strasznie dużo wsparć rozdał, Jamnikołaj, Cobraj Blade, to znaczy 20, Silent, proszę bardzo, jaki powrót masz od razu po czterech miesiącach i są Jamniki, Kobi, Marcin K., Wojtek Kulik i Merliana oraz TheDoomBoy, Marcin L.,
792:  Wszyscy otrzymujecie jamniki!
794:  Piotr Sikorski też, Wojciech Pietrzyk takoż, Pan Emil również.
799:  Niuch!
801:  I Misiek Milan.
805:  Bardzo dużo wsparć, dziękuję serdecznie, Cobraj Blade, za wsparcie.
817:  Coś spadło, nie wiem co.
821:  To jest ten moment, kiedy coś spada i jesteście zaniepokojeni tym faktem.
829:  Spartiatiksowi zadał Radant 16 godzin, Kiszakowi 11, Tobie łącznie czasowo zadał 5.
836:  Będzie znowu, że to wszystko dlatego, że mag.
840:  Zobaczycie, że tak będzie.
841:  Zobaczycie.
843:  Nie no, jeżeli się walczy Meli z Radanem, to jest zupełnie inna rozmowa.
847:  To znaczy przynajmniej można przyglądać się temu, w jaki sposób wygląda moveset.
852:  Hubert Cok-Utarowski z Janem Nikolajem też, Jacky Left-Belzar, Marcin Mazurek, Szymon Półtorak, wsparcie, Michał K. Ciuch, dziękuję!
860:  Najserdeczniej Hubercie za wsparcie pięciu osób, bardzo dziękuję.
866:  Więc wiecie, ja zoptymalizowałem build po prostu wulgarnie.
869:  Zobaczyłem, że jest gość nieodporny na krwawienie i się ogarnęło wtedy.
875:  Zawsze trzeba coś takiego rozpoznać.
876:  Co myśmy w ogóle robili, moi drodzy?
878:  A już wiem.
879:  Volkmara dojeżdżaliśmy z Setrą, czyli musimy Sudenburg spacyfikować w 100%.
885:  To nie jest dobra wiadomość, bo tu chyba są mury.
888:  Więc... Nie, nie, nie.
890:  Więc liżemy rany.
898:  Niech wszyscy się kłaniają.
900:  Tu rekrutujemy nową armię.
901:  Jest was, którzy nie wiedzą, o co chodzi.
903:  W Warhammerze, jeżeli się gra Tomb Kingsami, czyli królami grobowców, można bez najmniejszych problemów, i to jest radosna sprawa, rekrutować tyle armii, ile chcecie, ponieważ nie płacicie żadnych kosztów utrzymania.
917:  Czy będę grał w trylogię Batman Arkham?
918:  Bardzo bym chciał kiedyś zagrać.
921:  Krzysztof obraził się na LD.
923:  Krzysztof, skończ LD na kajetanie.
925:  60 godzin mieliśmy w dodatku.
926:  Do was należy ocena, czy to jest dużo, czy mało, jak na dodatek.
933:  Bo prawda jest taka, że z tych 60 godzin, jakieś 30, to jest respawn przy ognisku z tego względu, że był atak obszarowy one-shootujący.
942:  Liżymy rany jak rycerz w LD, nie?
943:  Był taki rycerz, który rzeczywiście siorbał nas po twarzy, no autentycznie, dramat.
948:  Z czego zaczynamy recenzję Cienia Ostroż?
950:  A to zobaczymy, zobaczymy.
952:  Zrobimy sobie taki specjalny strumyk i ja go podzielę na świat, level design, quest design, narrative design, gameplay design i tutaj będą podsekcje dla gameplayu, bo tu jest bardzo dużo rzeczy do omówienia.
968:  Mapa, minimapa, samouczki, wszystko.
973:  I interface.
974:  Zrobimy sobie taką porządną recenzję, jak z dawnych dobrych czasów, Cynical Brita.
981:  Jedyny minus grania z suchymi mumiejami jest taki, że nie mamy w ogóle pieniędzy na rozwój.
988:  Więc inwestujemy w to, co nam da pieniądze, nawet jeżeli tego będzie bardzo niewiele.
993:  Coś w sensie, że Numa Numa Yei może być zaatakowane prędzej niż Khemri, więc my się tutaj zasadzimy w zasadzce, jest taki specjalny tryb pogrzebań pod piaskami.
1006:  Pochwalę się, że z okazji moich jutrzejszych urodzin.
1008:  Moi drodzy, dla Tomasza Jimeneza potrzebujemy teraz dużo jamniczych tortów.
1012:  Sam je wyślę.
1014:  Bo jutro nie ma streamu.
1016:  Jutro jest tylko lub aż dla każdego coś przykrego.
1019:  Więc Tomasz Jimenez pisze, że z okazji urodzin jutrzejszych wybiera się na wycieczkę do Krakowawcy do dryfu po mieście z racji, że nie może usiedzieć w hatfu w Warszawie.
1026:  Nie dziwię się.
1029:  Dobrze.
1030:  To co, atakujemy, nie?
1032:  Z odwagą, z odwagą.
1038:  Prawda jest taka, że głównie Volkmar tutaj jest sensowny.
1042:  Jakie to jest... Okej, to jest bitwa polowa.
1046:  To jest w ogóle kupa.
1049:  Może strzelcy pancerni z nul mogą nam napytać troszeczkę biedy.
1053:  I karabinierzy z Hochlandu.
1056:  No i sam Volkmar.
1057:  To będzie problem.
1066:  Nie płacicie za utrzymanie, za odblokowanie możliwości rekrutacji kolejnego lorda, a kasuje jak fliperzy ze mieszkania w Warszawie.
1071:  A to jest prawda akurat, niestety.
1073:  Dobrze, dyscyplina dla kogo się przyda?
1076:  Dla maga.
1077:  Premia do szarży dla samego Setry, myślę.
1082:  No dobra, lecimy.
1084:  Mam pewne wątpliwości co do tej bitwy.
1086:  Może się spektakularnie nie udać.
1090:  Ale byłoby zabawne.
1092:  Walka z Radanem się udała, ale walka w Warhammerze?
1097:  Nie!
1099:  U Volkmara to jest taki wąs?
1100:  Tak!
1101:  To jest sumiasty wąs.
1103:  Volkmar Wegrim ma wąs, którym zawstydza większość owłosionych mężczyzn.
1113:  No zaczniemy oczywiście, że od świata recenzje DLC Dav Bigos.
1117:  Wiadoma sprawa... Uuu!
1120:  Dobre miejsce!
1123:  Dobre miejsce!
1125:  Nawet nie będzie się trzeba specjalnie stąd przemieszczać.
1131:  Tak, mamy od razu nani.
1132:  Dobrze, dobrze, dobrze.
1135:  Jak jest tutaj, jeszcze sprawdzę.
1139:  Noo, tutaj może być lepszy teren troszeczkę.
1143:  Nie, tu będzie lepszy, jest bardziej płaski teren.
1147:  Czy wypłaszczony.
1148:  Znaczy fajnie byłoby się tutaj przemieścić, ale zrobimy tak.
1151:  Strzelcy na Rydwanach idą w tę stronę, bo tu są Rycerze Imperium i trzeba z nimi coś zrobić.
1156:  Czy Setra ma już Rydwan?
1157:  Świetnie, Setra ma Rydwan, doskonale.
1160:  Setra the Imperishable!
1161:  Setra the Imperishable!
1162:  Uuu!
1164:  Nasz Rycerz też ma Rydwan.
1168:  Książę Petru Imperishable, ahaha!
1172:  Skąd on jest, Petru?
1174:  Ciekawe.
1175:  Ciekawe, skąd to się wzięło, prawda?
1177:  Achmana!
1180:  Achmana, to ja mówiłem przez całego Elden Ringa.
1185:  Przyszłam się poskarżyć, pisze Maria Skruca.
1187:  Nie wytrzymam dłużej, tak sobie stresuję wynikami matury i rekrutacją, że zejdą od miesiąca.
1192:  W wakacje nadal mam wyrzuty sumienia, że nic nie robię.
1198:  Przede wszystkim nie miej wyrzutów sumienia, że nic nie robisz, ponieważ potrzebujesz w tym momencie odreagować jakieś 12 lat robienia wielu rzeczy, więc daj sobie na wstrzymanie troszeczkę.
1208:  A jeżeli chodzi o wyniki matury, to jest to coś, na co nie masz absolutnie żadnego wpływu.
1212:  Więc...
1215:  Najprostsza rzecz to jest zapomnieć o tym, a wiesz jak się zapomina?
1218:  Na przykład odpalasz sobie The Boysów, wszystkie sezony, albo zaczynasz sobie grać w jakąś długą grę, gdzie potrzebujesz dużo imersji.
1227:  To działa.
1230:  Trzeba hakować swój mózg w takich sytuacjach.
1234:  Okej, więc tak, puszczamy swetrę na Rycerze Imperium.
1239:  Ale to będzie szarża ładna.
1241:  Szarża!
1242:  Szarża na wroga!
1252:  Setra się ładnie prezentuje na Rydvanie.
1253:  To jest, wiecie, to jest taki, och.
1255:  Och, jaki to jest Rydvan.
1256:  To jest przepiękny Rydvan.
1260:  Setra the Imperishable.
1263:  Dobra, dobra, dobra, dobra.
1268:  Dobrze.
1270:  Ostrzeliwać ich.
1278:  Oj, w sumie Setra może do nich iść.
1280:  Uuu, mamy jakieś zaklęcia, dobra.
1283:  Świetnie, są rozdzieleni teraz, bardzo dobrze.
1290:  Dobra, dobra, dobra.
1293:  Setra sobie nawet całkiem radzi dobrze.
1295:  Świetnie, świetnie.
1296:  Bardzo dobra sytuacja jest.
1300:  A Setra może cały czas...
1302:  Tych łuczników i innych.
1304:  Uuu, karabinierzy z Hochlandu.
1305:  Dobrze, dobrze, dobrze.
1306:  Wiecie co?
1307:  Nawet użyjemy tej inkantacji.
1308:  Co tam?
1313:  To nie jest jakieś mega dobre zaklęcie, ale... Łooo!
1316:  Może został zbuffowany troszeczkę chyba.
1323:  Dobrze.
1325:  Jak tu sytuacja?
1325:  Musimy dwa fronty ogarniać.
1328:  Dobrze, ostrzeliwać mi ich tutaj.
1333:  Rozumiemy sobie tak i tak i... Tu jest jeszcze jakiś magus rezerwowy w razie czego, dobra, dobra.
1342:  Kto do Setry strzela?
1347:  Karabinierze z Hochlandu dalej, dobrze, znaczy niedobrze.
1353:  Okej.
1354:  No i możemy rzucić w razie czego zaklęcie potężne.
1357:  Mniej lub bardziej potężne.
1359:  Wiecie co, rzucimy je teraz.
1365:  Dobrze, w karabinierów z Hochlandu bardzo proszę walić, dziękuję.
1373:  Dobrze, jeżeli chodzi o łuczników, we wszystkich strzelajcie.
1378:  Dobra, potrzebujemy bardzo część z nich przynajmniej wyeliminować.
1387:  Nie podoba mi się to, co tutaj widzę.
1391:  Ooo, Volkmar ginie!
1392:  Dobrze, dobrze, bardzo dobrze.
1398:  Uuuu, kto, kto nas tak strzela?
1400:  Chyba ci karabinierzy z Hochland, oni mają niezły zasięg.
1407:  Chmana.
1409:  Dobra, wyeliminować mi.
1411:  Kusznicy tutaj są, dobrze, dobrze.
1414:  Setra jak?
1418:  Radzi sobie nawet.
1422:  Dobrze, dobrze, dobrze, dobrze, dobrze, dobrze.
1426:  Karabinierzy z Hochlandu mają niezły zasięg, powiem wam.
1431:  No dobra, świetnie.
1434:  To są berserkerzy, straszkepry, więc możemy ich posłać spokojnie na Volkmara, myślę.
1439:  Trochę nasi łucznicy obrywają, ale nie jest aż tak źle, jakby mogło być.
1444:  Tutaj kusznicy się skradają.
1448:  Proszę mi dbać o tę flankę, proszę się nie ruszać stąd, dziękuję.
1455:  Dobrze, część udało nam się ich zwieść.
1460:  Zwodziciel.
1461:  Zwodziciel Setra.
1464:  Setra sobie tutaj nawet jakoś radzi.
1468:  Dobra, zaraz będziemy mieli jakieś zaklęcia widzę.
1478:  Co ci łucznicy zrobili?
1479:  Dosłownie w momencie, w którym dałem im rozkaz do tego, żeby trzymali gardę, to się ruszyli oczywiście.
1485:  No przecież to jest niewiarygodne, absolutnie.
1489:  Proszę mi w tych łuczników strzelać, bardzo proszę mi w tych łuczników strzelać, dziękuję.
1495:  Te sandi.
1498:  Oj, dobrze się gra.
1499:  I mam plus minus godzin w Warhammerze.
1501:  W dwójce mam 2600.
1508:  Natomiast w trójce mam mniej relatywnie, to znaczy jakieś 700 najwyżej.
1513:  Coś takiego.
1514:  Ej, naprawdę dobre jest to zaklęcie!
1517:  Jestem zaskoczony, bo ono kiedyś było strasznie kiepskie, ta inkantacja burzy czaszek Sekhmet.
1522:  Kiedyś to była żenada i straszne kopium.
1526:  Ej, dobrze!
1528:  Ja naprawdę sądziłem, że to się źle skończy.
1534:  Myślę, że te rydwany to jest naprawdę dobre rozwiązanie.
1539:  Cały czas wracają oczywiście, no bo na poziomie legendarnym zawsze tak jest, że oni mają jakieś idiotyczne wytrzymałości.
1548:  Dobra, na Volkmara... Straż grobowców z kalabardami była dobra.
1555:  A możecie przestać, chociaż w sumie mogą przegnać ich z pola bitwy.
1563:  Dobra, chyba mają już... karę, tak.
1568:  Dobra.
1569:  Setrze by się przydał jakiś amulet na regenerację, bo zadał dużo obrażeń, ale... Witamy Zuniego i wszystkich przybyłych.
1579:  Podziwiam aktorów głosowych, którzy nagrali te chrypnięcie.
1581:  Ach, mana!
1586:  Setra does not serve.
1588:  Ja w razie czego się zgłaszam.
1591:  Czy jakieś plany po LDN-ku?
1592:  A, tak, były ogłaszane po Solona, mianowicie wracamy do głosów Tsushima, potem Command & Conquer, moi drodzy.
1598:  No co jak co, ale jak jesteście tutaj na streamie z Warhammera, to jesteście zainteresowani strategiami, więc Command & Conquer, Tiberium Wars i Cain's Wrath.
1605:  Klasyczna strategia, wraca w wakacyjną porą, za tydzień konkretnie będzie.
1609:  Zaczynamy sobie nową przygodę tam.
1611:  I oprócz tego będziemy mieli jeszcze Deus Ex Mankind Divided, taki jest plan na lipiec.
1616:  Kawałek sierpnia może jeszcze.
1617:  We shall see about that.
1624:  Straciliśmy jeden oddział łuczników, ale to chyba nie jest problem.
1629:  Prędkość.
1630:  Prędkość będzie dobra dla naszego lorda.
1634:  Jednego.
1637:  Biorę urny kanopskie.
1639:  Urny kanopskie ważne.
1641:  I... No łuczników sobie bez żadnego problemu zrekrutujemy przecież.
1645:  Chociaż nie, to są dwie tury?
1647:  Ej, to jeżeli to są dwie tury... To nie wiem, czy to się tak opłaca.
1658:  No dobra, powiedzmy.
1660:  Bo potem trzeba się wybrać na Manfreda, znaczy na Kanfreda von Marsteina.
1666:  Praga okiem Amerykanów, tak jest, tak będzie.
1673:  Immortality and power!
1676:  Dobrze, jeszcze tych mu dołożymy.
1677:  Czy mamy jakichś bohaterów?
1680:  No.
1681:  Czy możemy odblokować jakichś bohaterów?
1683:  Za 10 tur dopiero.
1684:  A to znaczy, że trzeba poinwestować w np.
1687:  wytwórnię dzbanów urn.
1693:  Nie podoba mi się to, w jaki sposób jest tutaj bronione.
1695:  Ooo!
1696:  Katapulty Wrzeszczących Czaszek to jest dobra artyleria na początek.
1700:  Czy planuję przejść do Baldura i przejść gry w Dark Edge?
1703:  Prędzej Divinity Original Sin 2 z uni, wiesz?
1707:  Biedny Horizon Forbidden West.
1709:  A, tam Horizon.
1710:  Zdenerwowało mnie.
1711:  Zdenerwowało mnie strasznie Horizon.
1714:  Uuu, sześć tysięcy.
1715:  Wielka piramida Setry.
1717:  Musimy to mieć.
1721:  Dobra.
1726:  Magiczne posiłki.
1727:  Rezerwy wiatr w magii.
1728:  Tak, koniecznie, bo to nas zabiło ostatnio.
1731:  Pełna zbroja płytowa.
1734:  I magiczne posiłki.
1735:  Tak jest.
1736:  Dziesięć punkcików więcej many, no nie wierzę.
1740:  Ach, mana!
1743:  Nie chce nic budować, nie chce nic wznosić.
1746:  Co tutaj mamy?
1747:  Szansa na bronę, bla bla bla, rozwój.
1750:  I... Kogo my tu napotykamy?
1754:  Napotykamy Tic-Tac-Toe?
1757:  Ale wcześniej będzie trzeba rozwiązać problem.
1761:  Możemy ich zwasalizować, ale to się raczej nie uda.
1766:  Musimy rozwiązać problemy z wyznawcami Nagasha, żeby zabezpieczyć lewą flankę.
1770:  Tudzież zachodnią flankę.
1772:  Czy heroesi piątka w tym roku mogą być ogrywani?
1775:  Nie wiem.
1776:  Dużo zależy od tego, jaki będzie grafik gier, bo się sporo zmieniło.
1779:  Miał być na przykład Frostpunk w lipcu i no i co?
1781:  I nie ma Frostpunka w lipcu.
1783:  V-Altus będzie dopiero w pa... W ogóle we wrześniu wszystko wychodzi naraz, to jest jakiś dramat.
1790:  Rok tam ogrywamy Deus Ex Mankind Divided, nie da się ukończyć na nowszym sprzęcie, wywala błąd.
1794:  O nie, no nie żartuj sobie.
1797:  Nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie,
1825:  Bo jeżeli, jeżeli zaatakują nas wyznawcy Nagasha, one będą przerąbane.
1831:  Będziemy walczyć na dwa fronty.
1834:  Możemy spróbować zdobyć piramidę Nagasha, ale to z jedną armią jest bardzo trudne.
1845:  Trajler Pana Lodowego Ogrodu był już oglądany.
1847:  Jaki trajler?
1847:  Co wy mówicie?
1848:  Gdzie?
1852:  Co?
1858:  Stop, stop, stop, stop, stop, stop, stop.
1860:  Oczywiście w Google nic nie ma.
1872:  Gdzie wy to macie?
1874:  Ostatnio przesłane.
1878:  Nie, nie, nie ma czegoś takiego.
1879:  Jest sprzed 11 kuźwa lat.
1883:  To jest trailer książki.
1887:  Chyba, że to jest Lord of the Ice Garden, nie?
1892:  Nie sądzę.
1895:  10 lat temu.
1898:  Co, co, co to za, co to za bejty?
1901:  The Night Wanderer?
1903:  Jak to The Night Wanderer?
1905:  Co to za kretynizm?
1908:  The Night Wanderer to jest Pan Lodowego Ogrodu?
1912:  Co?
1916:  Bla, bla, bla.
1918:  No ale jakoś tam będzie piosenka, więc mam nadzieję, że... Co wy mówicie?
1934:  To jest na pewno to?
1938:  Jezus!
1941:  Dalej jest cholerna piosenka.
1945:  To jest wuko?
1946:  No wygląda w sumie jak wuko.
1950:  Ale już mnie strasznie drażni to, że ktoś sobie wpieprza jakąś piosneczkę cholerną i ja tego nie mogę obejrzeć.
1958:  Nie, to jest wuko, no Jezu, i wygląda jak wuko.
1966:  Poczekaj, pokażę ci coś konkretnego.
1970:  Ja chcę zobaczyć cyfral.
1976:  Dalej jest piosenka.
1977:  To jest taki trailer pod inwestorów, twierdzi Rysław.
1979:  No widać bardzo.
1981:  To jest trochę taki trailer jak, pamiętacie może, The Invincible, który wyglądał jak świetna gra w stylu Island Isolation, a potem się okazało, że to jest Walking Sim.
1989:  W stylu żadnym.
1994:  No tak.
1996:  Mało konkretów.
1997:  Znaczy, mnie by wystarczyło, gdybym zobaczył Cyfral.
2000:  Cyfral? !
2003:  Cyfral?
2004:  Czy to jest cyfral?
2005:  Oj, posolona, to co my na razie widzimy, to jest, wiesz... Nie ma nic wspólnego z gameplayem, obawiam się.
2014:  No dobra, nie ma żadnych konkretów.
2016:  Przede wszystkim nie widzę nietypowości tego świata na razie.
2019:  Więc jak dla mnie światotwórczo mech i nie ma cyfral.
2024:  No i się zaczyna.
2029:  No i się zaczyna.
2038:  Nawet... o, force march zadziała.
2043:  Idziemy.
2045:  Co się tutaj dzieje?
2049:  No bez przesady, my to wygramy, bez problemu.
2052:  Ale to za moment.
2053:  Na razie trzeba skorzystać z faktu, a już wiem dlaczego on to zrobił.
2061:  Nie jesteś w stanie zderbować jednostki.
2064:  Widzisz dlaczego on to zrobił?
2066:  Ponieważ myśmy, my rekrutujemy.
2070:  I AI wtedy od razu musi sobie... A okej, on będzie jedną turę tutaj zajęty.
2077:  Jakie to są sprytne rzeczy.
2079:  Katar sienny.
2081:  Numa Numa Yei trzeba wpierw wylewelować.
2084:  Bo Numa Numa Yei jest zagrożone przez atak z Agrul Miggel, a tam jest, moi drodzy, Skarbrand.
2092:  Czy rozważałem może Steralizm?
2093:  Kiedyś grałem w Steralizm na streamie.
2095:  Strasznie ciężko się streamuje Steralizm, moim zdaniem.
2098:  Ja w Disney Plus popatrzyłem na jakieś walki na miecze w Acolyte, jak wyglądały, to wyglądały całkiem zacnie.
2103:  Zrobię recenzję w Acolyte, dla mnie to jest najlepszy z najgorszych seriali gwiezdnowojennych.
2109:  Naprawdę, o, rezerwy wiatrów magii, o. No tak, no to jest taki no-brainer, absolutnie.
2118:  Bo to my te rezerwy cały czas tracimy z jakiegoś względu.
2122:  Co mnie bardzo niepokoi.
2125:  Dobra, rozegramy sobie na razie tę batalię.
2129:  Dodatek Foxwind skończony do Eldena, tak jest?
2134:  No też mi się wydaje, że Czerwony Lisie, że Stellaris to jest jednak stream z Excela.
2139:  Z ładną grafiką, ale co tam.
2145:  No ten trailer Pana Lodowego Ogrodu wygląda jak każdy trailer gry nordyckiej, po prostu, a...
2151:  A pana nowego rodu to jest coś więcej.
2154:  Dobrze, co tutaj jest?
2154:  W ogóle nie ma... Nie wiem, co my możemy zrobić.
2160:  Teoretycznie przynajmniej.
2162:  Bo tutaj nie ma, moi drodzy, żadnych praktycznie strzelających jednostek, jak to u wampirów.
2169:  Więc trzeba tutaj znaleźć jakieś ładne miejsce, żeby mieć możliwie najdalej do nas, ażebyśmy my mogli skorzystać z naszej przewagi, jaką są łucznicy.
2179:  Zrobimy sobie taką ciekawą formację.
2186:  O tak, dobrze.
2191:  Może nawet tak.
2197:  Okej, w ten sposób.
2198:  I teraz tak.
2201:  Co to jest?
2202:  Złowieszcze wilki.
2202:  Dobrze, więc wycinamy wpierw ich jednostki dystansowe.
2205:  Ja postrzelają Kenobi, nie ruszam Star Warsów.
2207:  Nie dziwię się absolutnie.
2208:  Ja miałem już problem straszny ze Star Warsami, ale Acolyte przynajmniej rozgrywa się w innym okresie rozwoju tego uniwersum, więc dlatego dla mnie lepsze to rozwiązanie jest.
2219:  Nasze ukochane wydawnictwo Gregg otrwało się na beletrystykę.
2223:  Okej, super.
2224:  Myślałem, żeby im tekstu swojego nie przesłać.
2227:  Nie, nie, nie rób tego po Solona.
2228:  Nie, nie, nie.
2230:  Miałem wrażenie, że dokonam zdrady stanu.
2232:  Tak.
2232:  Znaczy nie, to po prostu wiesz, są rzeczy, których się nie robi po to, żeby nie stracić godności.
2239:  To jest troszeczkę tak, jak ja bym opublikował coś w wydawnictwie Elseviera.
2247:  Naprawdę on strzelił w wydmę, on strzelił w wydmę, on strzelił w wydmę, ja nie wierzę, on strzelił w wydmę.
2253:  Wiecie co, prędzej zagrozimy im w ten sposób.
2258:  Jaki ładny... Pinsir maneuver, jak to się mawia.
2264:  Dobra.
2266:  Teraz tak, atakują nas wielkie nietoperze, nie wierzę.
2271:  Nie wierzę w nietoperze.
2273:  Naprawdę złowieszcze wilki zadały nam takie obrażenia, naprawdę tak się stało, tak się stało.
2278:  Teraz złowieszcze wilki nie są już złowieszcze.
2281:  Strielać mi w te nietoperze, strielać mi w nie.
2284:  Dobrze, dobrze, dobrze, dobrze, dobrze.
2287:  Wbrew pozorom, wbrew pozorom te nietoperze mogłyby nam bardzo zaszkodzić, moi drodzy.
2291:  Teraz strzelajcie w to.
2297:  Jezus, to jest silne.
2299:  Zostały jakoś potwornie zbuffowane ostatnio, zauważyłem.
2307:  No strzelać mi do nich!
2313:  Konnica jest żałosna tutaj, niestety.
2317:  Potem dostaniemy troszeczkę lepszą konnicę, tylko z tego względu, że to będą potężne skorpiono-wężo-skolopendromorfy.
2328:  Ciężka sprawa w każdym razie.
2337:  Ale wiecie, lepszy taki garnizon niż żaden.
2340:  Oj, oj, oj, oj, oj, oj, oj, niedobrze.
2351:  Trzeba było im dać te chorągiew.
2354:  Jezus, te nietoperze są straszne!
2358:  Jaki cripple fight.
2360:  Czemu nietoperze to są nietoperze, a nietoperze?
2362:  Dobre pytanie.
