Przyczajony regres, ziewający smok | RÓD SMOKA — sezon 2 (recenzja)
🔗 https://www.youtube.com/watch?v=uWn0u08ZzqU

0:  Drugi sezon Rodu Smoka jest z pewnością godnym następcą Gry o Tron.
578:  Poza jednym.
579:  I to jest wątek, który uznam za absolutnie najlepszy, mianowicie wątek Larysa Stronga i nie spodziewałem się tego zupełnie.
585:  Ten człowiek jest wcieleniem Littlefingera i Lorda Varysa z jednej strony, a z drugiej strony trochę Tyriona Lannistera, człowieka, który jest w stanie...
594:  Rozmawiać absolutnie z każdym i w inteligentny sposób wyciągać informacje, a równocześnie manipulować rozmówcą.
601:  Więc to chyba trzy moje ulubione postaci z Gry o Tron i one nagle się zbiegają w jednej.
607:  Dla Lorda Larysa oglądałem drugi sezon.
612:  House of the Dragon i może jeszcze właśnie dla wcześniej wyróżnionego Eymonda Targaryena, bo Eymond Targaryen rzeczywiście absolutnie lśni.
620:  Spośród wszystkich aktorów widać, że najlepiej zrozumiał swoje motywacje, chyba najbardziej się wczuł i też dostał, nie oszukujmy się, najlepsze sceny akcji, najlepsze sceny pod względem dramatycznym i rzeczywiście w momencie, w którym on się tam pojawia, dzieją się rzeczy.
632:  Drugi moment, kiedy się coś rzeczywiście zaczyna dziać, to wtedy, kiedy pojawiają się też smoki, ale hej, na to chyba wszyscy liczyliśmy.
638:  A też nie ma za bardzo co liczyć na to, że został pogłębiony jakoś specjalnie lore, czyli wiedza na temat tego, jak smokiki uznano, w ogóle w jaki sposób one były przywiązane do Targaryenów, czy to była magia krwi.
649:  Jeżeli magia krwi, to pojawia się po raz kolejny pytanie, które ja zadawałem jeszcze w pierwszym sezonie, to znaczy dlaczego, dlaczego na wszystkich siedmiu bogów
657:  Nie mamy prequelu pokazującego Zagładę Walirii i później, nie wiem, Eksodus Targaryenów stamtąd.
664:  Przecież to byłoby absolutnie przecudowne i byłoby takim samym świetnym otwarciem seriala, jakim świetnym było pokazanie również konfrontacji z Białymi Wędrowcami na samym początku, no nie Pieśni, Lodu i Ognia, tylko w tym przypadku serialowej gry o tron.
677:  Więc tak, no niestety, moi drodzy, jest nudno.
680:  Jest bardzo nudno.
682:  Może też dlatego, że z serialu zniknął kompletnie bohater, na którym spoczywała cała praktycznie intryga i narracja polityczna, mianowicie Otto Hightower.
692:  Gdzieś w jednej trzeciej serialu zaczyna on znikać i w którymś momencie zostaje zmieciony z szachownicy, tak jak wcześniej został zmieciony, tylko że z przyczyn naturalnych, Viserys Targaryen i...
703:  Przez to tracimy bardzo dużo tej dynamiki, która była wcześniej, więc nie chodzi o to, że tutaj nie ma bitew, nie ma spektakularnych walk, bo nie nimi stała gra o tron.
713:  Gra o tron, moi drodzy, stała rozmową Tywina Lannistera i Oleny Tyrell.
718:  Tym stała gra o tron.
719:  Dialogami inteligentnymi, złośliwymi, pełnymi komentarza politycznego, który wprowadzał to nowum do fantazy, charakterystyczne dla George'a R. R. Martin'a, nowum związane bardziej z prozą historyczną.
731:  Ale to nie chodzi o to, że mamy zamiast serialu fantasy nagle mieć Bridgertonów.
737:  To chodzi o to, że miało być połączenia, amalgamat tych komponentów fantasy magicznych z komponentem historycznym.
744:  To nie miało oznaczać, że będzie wiało, nudo, bo nie na tym polega serial fantasy, w serialu fantasy.
751:  Zawsze ma być gdzieś tam opowieść o mocy.
753:  To może być potęga polityczna, to może być moc władania piorunami, ale niech to będzie rzeczywiście opowieść o mocy.
760:  Takiej opowieści nie dostaniecie w drugim sezonie House of the Dragon, dlatego że jest on po prostu do ciężkiej cholery za krótki.
767:  I widać ewidentnie, że gdyby zdecydowano się na to, żeby pokazać trochę więcej jednak w pierwszym sezonie z dzieciństwa wszystkich tych postaci, a jest ich naprawdę, naprawdę bardzo dużo,
780:  bardzo dużo, więcej niż myślicie i więcej niż tu jest napisane na oficjalnej stronie HBO.
788:  I wtedy byłoby troszeczkę, odrobinkę łatwiej widzowi śledzić ich poszczególne losy i przede wszystkim identyfikować się z niektórymi, bo nie każdy przeczytał tak jak ja Świat Lodu i Ognia, swoją drogą bardzo polecam.
802:  Nie każdy czytał wszystkie ptomy Piesi Lodu i Ognia.
806:  Ba, sądzę, że znajdą się tacy widzowie, którzy nie obejrzeli wcześniej Gry o Tron
809:  I naprawdę wiele wątków jest takich, które mogą ich kompletnie zagubić, a równocześnie wiemy, że są takie wątki, które były wypełniaczami.
818:  A zatem, gdyby dano nam szansę, żeby z tymi kluczowymi postaciami zaznajomić się troszeczkę dłużej i gdybyśmy przeskok te ileś lat później, 15, 20, wszystko jedno, mieli w drugim sezonie,
829:  to wówczas siłą rzeczy doszłoby do kompresji wydarzeń, bo dostalibyśmy połówkę z pierwszego sezonu w drugim sezonie, z drugiego sezonu byśmy mogli wyciepać te wszystkie wątki, które były przedłużane niepotrzebnie i dorzucić jeszcze te dwa odcinki, gdzie rzeczywiście pokazalibyśmy bitwę.
844:  Bo tak unikam spoilerów na tym kanale, ale nie, nie dostaniecie żadnej finałowej bitwy.
849:  Trajlery kłamały.
851:  W dosłownie kulminacyjnej scenie ostatniego odcinka mówiłem sobie, no Boże, wreszcie zmierzają do siebie różne armie, niech oni nic spróbują tego teraz.
864:  Przerwać.
865:  I co zrobili?
866:  Przerwali.
867:  Fade to black.
869:  Oczywiście, że tak.
870:  Oczywiście, że dostaliśmy Cliffhanger.
872:  Oczywiście, że dostaliśmy uciętą fabułę.
874:  Tylko, że jest jeden zasadniczy problem.
876:  Cliffhanger działa i to działa bardzo dobrze i zawsze działał w serialach kryminalnych, w serialach, które mają podkręcone do jedenastki tempo opowiadanej historii i dynamikę narracyjną.
885:  Cliffhanger nie działa wtedy, kiedy nic się nie dzieje.
888:  Cliffhanger mógł działać w Attack on Titan, gdzie mieliśmy dosłownie co drugi odcinek.
892:  Attack Titanu na miasto...
894:  I mogliśmy mieć odcinek spokojniejszy, gdzie postaci ze sobą rozmawiały.
898:  Można było go przewinąć, jak ja.
900:  Można było go nie przewijać, jak pewnie ktoś inny.
902:  Ale był wybór, była dynamika jakaś zachowana.
906:  Tutaj gdybyście chcieli przewinąć dłużyzny fabularne, przewinęlibyście cały serial.
912:  I wiecie co?
912:  Może po prostu trzeba tak zrobić.
915:  Bo nie jestem w stanie za bardzo stwierdzić, czy będzie dla kogoś niesamowitą różnicą obejrzeć krótki recap przed sezonem trzecim i podarować sobie sezon drugi.
925:  Bo obawiam się, że dostaliśmy jakoś niższą niż w przypadku ósmego sezonu Gry o Tron.
930:  I będę na tym wzgórzu trwał i będę go bronić.
934:  Nie dlatego, że nie lubię Rodu Smoka.
937:  Wręcz przeciwnie, bardzo polubiłem początek pierwszego sezonu.
941:  Ale właśnie dlatego, że zależy mi na tym uniwersum i chciałbym, żeby kolejne odcinki, kolejne sezony wróciły do tego poziomu jakościowego, który mieliśmy na początku Gry o Tron, a nie cały czas odcinały kupony od sławy serialu, który już dawno przeminął i przeminął właśnie z uwagi na tego rodzaju scenariuszowe błędy, które pojawiały się tutaj i w ósmym sezonie Gry o Tron.
963:  Czy nie polecam?
965:  Polecam, to jest fantazo, obejrzyjcie, ale polecam również trzymanie ręki, ciężkiej ręki na pilocie i przewijanie tego, co was po prostu nudzi, bo szkoda waszego czasu na oglądanie owoców niełudztwa scenarzystów.
982:  To co, następnym razem się spotykamy przy Rings of Power.
985:  Będzie na pewno lepiej.
